iters,fevals,fitness
0,1256,74.0
1,17097,76.0
2,17411,76.0
3,44936,75.0
4,50179,75.0
5,50808,75.0
6,52490,75.0
7,52596,75.0
8,52702,75.0
9,52805,75.0
10,52910,75.0
11,53015,75.0
12,53119,75.0
13,53223,75.0
14,53331,75.0
15,53436,75.0
16,53542,75.0
17,53649,75.0
18,53754,75.0
19,53860,75.0
20,53962,75.0
21,54069,75.0
22,54172,75.0
23,54279,75.0
24,54380,75.0
25,54485,76.0
26,54591,75.0
27,54696,75.0
28,54803,75.0
29,54909,75.0
30,55011,75.0
31,55118,76.0
32,55225,76.0
33,55329,76.0
34,55434,76.0
35,55538,76.0
36,55644,76.0
37,55749,75.0
38,55854,75.0
39,55959,75.0
40,56064,75.0
41,56171,75.0
42,56275,75.0
43,56379,75.0
44,56486,77.0
45,56595,75.0
46,56699,76.0
47,56805,76.0
48,56909,76.0
49,57015,75.0
50,57120,75.0
51,57228,75.0
52,57331,75.0
53,57435,75.0
54,57538,75.0
55,57645,75.0
56,57752,75.0
57,57856,75.0
58,57958,76.0
59,58061,76.0
60,58165,77.0
61,58269,75.0
62,58374,75.0
63,58476,75.0
64,58582,75.0
65,58688,75.0
66,58795,75.0
67,58898,75.0
68,59004,75.0
69,59106,75.0
70,59212,75.0
71,59319,75.0
72,59424,75.0
73,59531,75.0
74,59638,75.0
75,59740,75.0
76,59845,75.0
77,59951,75.0
78,60057,75.0
79,60162,75.0
80,60263,75.0
81,60368,75.0
82,60472,75.0
83,60578,75.0
84,60685,75.0
85,60790,75.0
86,60899,75.0
87,61004,76.0
88,61108,76.0
89,61213,76.0
90,61316,75.0
91,61420,75.0
92,61523,75.0
93,61629,75.0
94,61734,75.0
95,61838,75.0
96,61945,75.0
97,62049,75.0
98,62153,75.0
99,62259,75.0
100,62363,75.0
101,62470,75.0
102,62575,75.0
103,62680,75.0
104,62785,75.0
105,62889,75.0
106,62992,75.0
107,63096,75.0
108,63199,75.0
109,63303,75.0
110,63408,75.0
111,63514,75.0
112,63618,75.0
113,63723,75.0
114,63830,75.0
115,63933,75.0
116,64038,77.0
117,64144,77.0
118,64249,77.0
119,64353,77.0
120,64458,75.0
121,64561,75.0
122,64667,75.0
123,64774,75.0
124,64883,75.0
125,64988,76.0
126,65093,76.0
127,65197,75.0
128,65302,75.0
129,65407,76.0
130,65514,76.0
131,65621,76.0
132,65729,76.0
133,65837,76.0
134,65941,76.0
135,66046,76.0
136,66152,76.0
137,66256,76.0
138,66359,76.0
139,66466,76.0
140,66572,76.0
141,66677,76.0
142,66782,76.0
143,66888,76.0
144,66994,76.0
145,67098,76.0
146,67203,76.0
147,67308,76.0
148,67415,76.0
149,67521,76.0
150,67625,76.0
151,67729,76.0
152,67832,76.0
153,67936,76.0
154,68042,76.0
155,68150,76.0
156,68252,76.0
157,68356,77.0
158,68461,76.0
159,68565,76.0
160,68669,76.0
161,68776,76.0
162,68882,77.0
163,68988,76.0
164,69092,76.0
165,69196,76.0
166,69299,76.0
167,69402,76.0
168,69505,76.0
169,69608,78.0
170,69711,76.0
171,69816,76.0
172,69921,76.0
173,70025,76.0
174,70132,76.0
175,70239,76.0
176,70343,78.0
177,70448,78.0
178,70555,78.0
179,70663,78.0
180,70768,78.0
181,70874,76.0
182,70980,76.0
183,71087,78.0
184,71193,78.0
185,71297,78.0
186,71403,76.0
187,71508,76.0
188,71613,76.0
189,71719,76.0
190,71821,76.0
191,71925,76.0
192,72029,76.0
193,72132,76.0
194,72239,76.0
195,72344,76.0
196,72448,76.0
197,72553,76.0
198,72657,76.0
199,72764,76.0
200,72872,76.0
201,72978,76.0
202,73083,76.0
203,73186,76.0
204,73292,76.0
205,73397,76.0
206,73503,78.0
207,73607,76.0
208,73714,76.0
209,73816,76.0
210,73921,78.0
211,74022,78.0
212,74127,78.0
213,74236,78.0
214,74343,78.0
215,74447,76.0
216,74552,76.0
217,74653,76.0
218,74757,76.0
219,74860,76.0
220,74964,76.0
221,75066,76.0
222,75170,76.0
223,75274,76.0
224,75380,76.0
225,75483,76.0
226,75591,76.0
227,75698,76.0
228,75802,76.0
229,75905,76.0
230,76010,76.0
231,76115,76.0
232,76221,76.0
233,76326,76.0
234,76433,76.0
235,76537,77.0
236,76642,77.0
237,76746,76.0
238,76851,76.0
239,76955,76.0
240,77061,76.0
241,77168,76.0
242,77276,76.0
243,77380,76.0
244,77483,76.0
