iters,fevals,fitness
0,6591,17.0
1,9516,19.0
2,10771,19.0
3,12554,20.0
4,12874,20.0
5,13823,20.0
6,14559,20.0
7,16241,20.0
8,18006,20.0
9,20523,20.0
10,25343,20.0
11,25969,21.0
12,28075,20.0
13,29643,20.0
14,31625,20.0
15,33512,20.0
16,34244,20.0
17,34454,20.0
18,34665,20.0
19,34876,20.0
20,35083,20.0
21,35296,20.0
22,36866,20.0
23,37590,20.0
24,38010,20.0
25,38223,20.0
26,38646,20.0
27,38858,20.0
28,39283,20.0
29,41389,20.0
30,42744,20.0
31,42956,20.0
32,43167,20.0
33,43481,20.0
34,43687,21.0
35,45682,21.0
36,46729,21.0
37,47046,20.0
38,47672,20.0
39,47882,20.0
40,49670,21.0
41,49992,21.0
42,50722,20.0
43,50930,20.0
44,51455,20.0
45,51666,20.0
46,52091,20.0
47,52302,20.0
48,52407,20.0
49,52514,20.0
50,52618,20.0
51,52721,20.0
52,52825,20.0
53,52928,20.0
54,53035,20.0
55,53141,20.0
56,53245,20.0
57,53352,20.0
58,53456,20.0
59,53561,20.0
60,53665,20.0
61,53769,20.0
62,53875,20.0
63,53982,20.0
64,54087,20.0
65,54189,20.0
66,54293,20.0
67,54401,20.0
68,54503,20.0
69,54606,20.0
70,54710,20.0
71,54815,20.0
72,54919,20.0
73,55021,20.0
74,55124,20.0
75,55231,20.0
76,55333,20.0
77,55436,20.0
78,55543,20.0
79,55649,20.0
80,55754,20.0
81,55858,20.0
82,55963,20.0
83,56069,20.0
84,56172,20.0
85,56278,20.0
86,56383,20.0
87,56488,20.0
88,56595,20.0
89,56700,20.0
90,56806,20.0
91,56909,20.0
92,57014,20.0
93,57119,20.0
94,57224,20.0
95,57328,20.0
96,57433,20.0
97,57537,20.0
98,57641,20.0
99,57745,20.0
100,57852,20.0
101,57959,20.0
102,58062,20.0
103,58169,20.0
104,58270,20.0
105,58373,20.0
106,58476,20.0
107,58584,20.0
108,58687,20.0
109,58792,20.0
110,58897,20.0
111,59002,20.0
112,59104,20.0
113,59209,20.0
114,59316,20.0
115,59421,20.0
116,59526,20.0
117,59630,20.0
118,59736,20.0
119,59842,20.0
120,59946,20.0
121,60052,20.0
122,60155,20.0
123,60259,20.0
124,60364,20.0
125,60465,20.0
126,60569,20.0
127,60675,20.0
128,60779,20.0
129,60885,20.0
130,60992,20.0
131,61098,20.0
132,61204,20.0
133,61309,20.0
134,61412,20.0
135,61517,20.0
136,61621,20.0
137,61725,20.0
138,61826,20.0
139,61933,20.0
140,62037,20.0
141,62144,20.0
142,62250,20.0
143,62353,20.0
144,62456,20.0
145,62562,20.0
146,62667,20.0
147,62770,20.0
148,62875,20.0
149,62980,20.0
150,63085,20.0
151,63189,20.0
152,63294,20.0
153,63399,20.0
154,63502,20.0
155,63608,20.0
156,63715,20.0
157,63818,20.0
158,63923,20.0
159,64025,20.0
160,64129,20.0
161,64235,20.0
162,64338,20.0
163,64442,20.0
164,64548,20.0
165,64653,20.0
166,64760,20.0
167,64866,20.0
168,64972,20.0
169,65077,20.0
170,65184,20.0
171,65290,20.0
172,65395,20.0
173,65499,20.0
174,65604,20.0
175,65709,20.0
176,65814,20.0
177,65917,20.0
178,66023,20.0
179,66128,20.0
180,66235,20.0
181,66338,20.0
182,66442,20.0
183,66548,20.0
184,66655,20.0
185,66758,21.0
186,66865,20.0
187,66969,21.0
188,67075,21.0
189,67180,21.0
190,67286,21.0
191,67392,21.0
192,67497,21.0
193,67602,21.0
194,67707,21.0
195,67811,21.0
196,67916,21.0
197,68018,21.0
198,68124,21.0
199,68230,21.0
200,68336,21.0
201,68442,21.0
202,68544,21.0
203,68648,21.0
204,68753,20.0
205,68856,20.0
206,68963,20.0
207,69069,20.0
208,69176,20.0
209,69281,20.0
210,69387,20.0
211,69490,20.0
212,69594,20.0
213,69699,20.0
214,69804,20.0
215,69909,20.0
216,70012,20.0
217,70117,20.0
218,70220,20.0
219,70326,20.0
220,70428,20.0
221,70531,20.0
222,70637,20.0
223,70740,21.0
224,70846,20.0
225,70949,20.0
226,71053,20.0
227,71159,20.0
228,71266,20.0
229,71372,20.0
230,71476,20.0
231,71581,20.0
232,71687,20.0
233,71791,20.0
234,71897,20.0
235,72003,20.0
236,72108,20.0
237,72213,20.0
238,72316,20.0
239,72418,20.0
240,72522,20.0
241,72631,20.0
242,72735,20.0
243,72838,20.0
244,72940,20.0
245,73044,20.0
246,73148,20.0
247,73252,20.0
248,73356,20.0
249,73463,20.0
250,73570,20.0
251,73674,20.0
252,73778,20.0
253,73884,20.0
254,73992,20.0
255,74099,20.0
256,74203,20.0
257,74309,20.0
258,74411,20.0
259,74516,20.0
260,74621,20.0
261,74725,20.0
262,74829,20.0
263,74934,20.0
264,75038,20.0
265,75142,20.0
266,75247,20.0
267,75351,20.0
268,75455,20.0
269,75557,20.0
270,75660,20.0
271,75765,20.0
272,75870,20.0
273,75974,20.0
274,76079,20.0
275,76183,20.0
276,76288,20.0
277,76394,20.0
278,76498,20.0
279,76604,20.0
280,76711,20.0
281,76818,20.0
282,76924,20.0
283,77030,20.0
284,77135,20.0
285,77240,20.0
286,77345,20.0
287,77451,20.0
288,77557,20.0
289,77665,20.0
290,77771,20.0
291,77876,20.0
292,77981,20.0
293,78088,20.0
294,78194,20.0
295,78298,20.0
296,78401,20.0
297,78508,20.0
298,78612,20.0
299,78715,20.0
300,78820,20.0
301,78924,20.0
302,79031,20.0
303,79136,20.0
304,79242,20.0
305,79346,20.0
306,79448,20.0
307,79551,20.0
308,79654,20.0
309,79761,20.0
310,79866,20.0
311,79972,20.0
312,80074,21.0
313,80178,21.0
314,80281,21.0
315,80386,21.0
316,80488,21.0
317,80592,21.0
318,80698,21.0
319,80802,21.0
320,80907,21.0
321,81011,21.0
322,81116,21.0
323,81221,21.0
324,81324,20.0
325,81429,20.0
326,81533,20.0
327,81639,20.0
328,81742,20.0
329,81845,20.0
330,81951,20.0
331,82057,20.0
332,82163,20.0
333,82269,20.0
334,82376,20.0
335,82484,20.0
336,82591,20.0
337,82695,20.0
338,82800,20.0
339,82905,20.0
340,83008,20.0
341,83112,20.0
342,83217,20.0
343,83319,20.0
344,83425,20.0
345,83529,20.0
346,83635,20.0
347,83740,20.0
348,83846,20.0
349,83952,20.0
350,84056,20.0
351,84160,20.0
352,84267,20.0
353,84372,20.0
354,84479,20.0
355,84585,20.0
356,84690,20.0
357,84797,20.0
358,84903,20.0
359,85004,20.0
360,85110,20.0
361,85214,20.0
362,85321,20.0
363,85426,20.0
364,85533,20.0
365,85638,20.0
366,85744,20.0
367,85848,20.0
368,85956,20.0
369,86061,20.0
370,86167,20.0
371,86272,20.0
372,86375,20.0
373,86480,20.0
374,86585,20.0
375,86689,20.0
376,86795,20.0
377,86899,20.0
378,87004,20.0
379,87111,20.0
380,87217,20.0
381,87321,20.0
382,87428,20.0
383,87531,20.0
384,87637,20.0
385,87742,20.0
386,87848,20.0
387,87954,20.0
388,88062,20.0
389,88165,20.0
390,88270,20.0
391,88377,20.0
392,88483,20.0
393,88585,20.0
394,88690,20.0
395,88794,20.0
396,88898,20.0
397,89004,20.0
398,89109,20.0
399,89216,20.0
400,89321,20.0
401,89427,20.0
402,89531,20.0
403,89633,20.0
404,89736,20.0
405,89841,20.0
406,89945,21.0
407,90053,21.0
408,90159,21.0
409,90263,21.0
410,90368,21.0
411,90474,21.0
412,90580,21.0
413,90684,21.0
414,90789,21.0
415,90895,20.0
416,91000,20.0
417,91107,20.0
418,91214,20.0
419,91321,20.0
420,91423,20.0
421,91527,20.0
422,91632,20.0
423,91738,20.0
424,91844,20.0
425,91949,20.0
426,92053,20.0
427,92156,20.0
428,92260,20.0
429,92365,20.0
430,92469,20.0
431,92572,20.0
432,92679,20.0
433,92783,20.0
434,92890,20.0
435,92996,20.0
436,93103,20.0
437,93205,20.0
438,93310,20.0
439,93411,20.0
440,93517,20.0
441,93621,20.0
442,93729,20.0
443,93836,20.0
444,93940,20.0
445,94043,20.0
446,94148,20.0
447,94252,20.0
448,94356,20.0
449,94459,20.0
450,94564,20.0
451,94668,20.0
452,94776,20.0
453,94879,20.0
454,94983,20.0
455,95089,20.0
456,95195,20.0
457,95300,20.0
458,95402,20.0
459,95508,20.0
460,95612,20.0
461,95716,20.0
462,95823,20.0
463,95929,20.0
464,96035,20.0
465,96141,20.0
466,96250,20.0
467,96355,20.0
468,96460,20.0
469,96563,20.0
470,96671,20.0
471,96776,20.0
472,96881,20.0
473,96988,20.0
474,97093,21.0
475,97198,20.0
476,97302,20.0
477,97408,20.0
478,97513,20.0
479,97622,20.0
480,97728,20.0
481,97832,20.0
482,97937,20.0
483,98039,20.0
484,98144,20.0
485,98249,20.0
486,98356,20.0
487,98460,20.0
488,98564,21.0
489,98670,20.0
490,98773,20.0
491,98877,20.0
492,98982,20.0
493,99085,20.0
494,99189,20.0
495,99295,20.0
496,99401,20.0
497,99506,20.0
498,99612,20.0
499,99716,20.0
500,99820,20.0
501,99926,20.0
502,100031,20.0
503,100137,20.0
504,100243,20.0
505,100348,20.0
506,100453,20.0
507,100555,20.0
508,100663,20.0
509,100769,20.0
510,100875,20.0
511,100981,20.0
512,101084,20.0
513,101190,20.0
514,101294,20.0
515,101398,21.0
516,101501,21.0
517,101604,21.0
518,101708,21.0
519,101812,21.0
520,101915,21.0
521,102021,21.0
522,102126,21.0
523,102230,21.0
524,102336,21.0
525,102440,21.0
526,102545,21.0
527,102650,21.0
528,102753,20.0
529,102858,20.0
530,102964,20.0
531,103068,20.0
532,103175,20.0
533,103279,20.0
534,103388,20.0
535,103494,20.0
536,103599,20.0
537,103701,20.0
538,103804,20.0
539,103909,20.0
540,104013,20.0
541,104118,20.0
542,104221,20.0
543,104326,20.0
544,104432,20.0
545,104537,20.0
546,104642,20.0
547,104748,20.0
548,104853,20.0
549,104956,20.0
550,105063,20.0
551,105166,20.0
552,105272,20.0
553,105378,21.0
554,105484,21.0
555,105590,21.0
556,105695,20.0
557,105801,20.0
558,105906,20.0
559,106013,20.0
560,106117,20.0
