iters,fevals,fitness
0,1600,79.0
1,2200,79.0
2,2800,79.0
3,3400,79.0
4,4000,79.0
5,4600,79.0
6,5200,79.0
7,5800,79.0
8,6400,79.0
9,7000,80.0
10,7600,79.0
11,8200,79.0
12,8800,79.0
13,9400,78.0
14,10000,78.0
15,10600,78.0
16,11200,79.0
17,11800,79.0
18,12400,79.0
19,13000,80.0
20,13600,79.0
21,14200,79.0
22,14800,79.0
23,15400,80.0
24,16000,80.0
25,16600,80.0
26,17200,80.0
27,17800,80.0
28,18400,80.0
29,19000,80.0
30,19600,80.0
31,20200,83.0
32,20800,80.0
33,21400,80.0
34,22000,80.0
35,22600,81.0
36,23200,80.0
37,23800,81.0
38,24400,81.0
39,25000,80.0
40,25600,81.0
41,26400,83.0
42,27000,82.0
43,27800,82.0
44,28400,83.0
45,29000,83.0
46,29600,82.0
47,30200,82.0
48,30800,83.0
49,31400,83.0
50,32000,82.0
51,32600,82.0
52,33200,82.0
53,33800,82.0
54,34400,83.0
55,35000,82.0
56,35600,83.0
57,36200,83.0
58,36800,84.0
59,37400,82.0
60,38000,83.0
61,38600,82.0
62,39200,82.0
63,39800,83.0
64,40400,83.0
65,41000,83.0
66,41600,83.0
67,42200,82.0
68,42800,82.0
69,43400,83.0
70,44000,83.0
71,44600,83.0
72,45400,83.0
73,46000,84.0
74,46600,83.0
75,47200,83.0
76,47800,83.0
77,48400,83.0
78,49000,86.0
79,49600,86.0
80,50200,83.0
81,50800,85.0
82,51400,83.0
83,52000,83.0
84,52600,86.0
85,53200,86.0
86,53800,84.0
87,54800,86.0
88,55400,86.0
89,56000,87.0
90,56600,87.0
91,57200,86.0
92,57800,87.0
93,58400,87.0
94,59200,88.0
95,59800,88.0
96,60400,88.0
97,61000,88.0
98,61600,87.0
99,62200,87.0
100,62800,88.0
101,63400,87.0
102,64000,87.0
103,64600,87.0
104,65200,88.0
105,65800,88.0
106,66400,88.0
107,67200,88.0
108,67800,91.0
109,68400,91.0
110,69000,91.0
111,69600,91.0
112,70200,88.0
113,70800,91.0
114,71400,88.0
115,72000,88.0
116,72600,88.0
117,73200,91.0
118,73800,91.0
119,74400,88.0
120,75000,88.0
121,75600,91.0
122,76200,91.0
123,76800,91.0
124,77400,91.0
125,78000,94.0
126,78600,91.0
127,79200,91.0
128,79800,91.0
129,80400,94.0
130,81000,91.0
131,81600,97.0
132,82400,94.0
133,83000,97.0
134,83600,97.0
135,84200,94.0
136,84800,94.0
137,85400,97.0
138,86000,94.0
139,86600,94.0
140,87200,94.0
141,87800,94.0
142,88400,97.0
143,89000,97.0
144,89600,95.0
145,90200,94.0
146,90800,97.0
147,91400,95.0
148,92000,94.0
149,92600,95.0
150,93200,95.0
151,93800,94.0
152,94400,95.0
153,95000,95.0
154,95600,94.0
155,96200,94.0
156,96800,94.0
157,97400,94.0
158,98000,94.0
159,98600,94.0
160,99200,94.0
161,99800,94.0
162,100400,95.0
163,101000,95.0
164,101600,95.0
165,102200,95.0
166,102800,94.0
167,103400,94.0
168,104000,94.0
169,104600,94.0
170,105200,94.0
171,105800,95.0
172,106400,95.0
173,107000,94.0
174,107600,94.0
175,108200,94.0
176,108800,95.0
177,109400,95.0
178,110000,94.0
179,110600,94.0
180,111200,95.0
181,111800,95.0
182,112400,95.0
183,113000,95.0
184,113600,98.0
185,114200,97.0
186,114800,97.0
187,115400,95.0
188,116000,97.0
189,116600,95.0
190,117200,95.0
191,117800,95.0
192,118400,95.0
193,119000,95.0
194,119600,97.0
195,120200,95.0
196,120800,95.0
197,121400,97.0
198,122000,97.0
199,122600,95.0
200,123200,96.0
201,123800,98.0
202,124400,95.0
203,125000,97.0
204,125600,97.0
205,126200,95.0
206,126800,95.0
207,127400,95.0
208,128000,96.0
209,128600,97.0
210,129200,95.0
211,129800,95.0
212,130400,95.0
213,131000,95.0
214,131600,95.0
215,132200,95.0
216,132800,95.0
217,133400,98.0
218,134000,98.0
219,134600,96.0
220,135200,95.0
221,135800,95.0
222,136400,96.0
223,137000,98.0
224,137600,95.0
225,138200,95.0
226,138800,95.0
227,139400,96.0
228,140000,95.0
229,140600,95.0
230,141200,95.0
231,141800,95.0
232,142400,96.0
233,143200,97.0
234,143800,96.0
235,144400,97.0
236,145000,96.0
237,145600,96.0
238,146200,96.0
239,146800,96.0
240,147400,96.0
241,148000,96.0
242,148400,98.0
243,148800,98.0
244,149200,98.0
245,149600,97.0
246,150000,96.0
247,150400,97.0
248,150800,96.0
249,151200,96.0
250,151600,96.0
251,152000,96.0
252,152400,96.0
253,152800,97.0
254,153200,96.0
255,153600,97.0
256,154000,96.0
257,154400,96.0
258,154800,96.0
259,155200,96.0
260,155600,97.0
261,156000,96.0
262,156400,96.0
263,156800,97.0
264,157200,96.0
265,157600,96.0
266,158000,97.0
267,158400,97.0
268,158800,96.0
269,159200,97.0
270,159600,96.0
271,160000,96.0
272,160400,97.0
273,160800,96.0
274,161200,96.0
275,161600,97.0
276,162000,96.0
277,162400,96.0
278,162800,96.0
279,163200,96.0
280,163600,96.0
281,164000,96.0
282,164400,97.0
283,164800,96.0
284,165200,96.0
285,165600,96.0
286,166000,97.0
287,166400,96.0
288,166800,96.0
289,167200,96.0
290,167600,96.0
291,168000,96.0
292,168400,96.0
293,168800,97.0
294,169200,97.0
295,169600,97.0
296,170000,97.0
297,170400,97.0
298,170800,97.0
299,171200,97.0
300,171600,98.0
301,172000,98.0
302,172400,97.0
303,172800,98.0
304,173200,97.0
305,173600,98.0
306,174000,97.0
307,174400,98.0
308,174800,97.0
309,175200,97.0
310,175600,100.0
311,176000,97.0
312,176400,97.0
313,176800,97.0
314,177200,97.0
315,177600,97.0
316,178000,97.0
317,178400,97.0
318,178800,97.0
319,179200,97.0
320,179600,97.0
321,180000,98.0
322,180400,97.0
323,180800,97.0
324,181200,97.0
325,181600,97.0
326,182000,97.0
327,182400,97.0
328,182800,97.0
329,183200,98.0
330,183600,97.0
331,184000,98.0
332,184400,97.0
333,184800,98.0
334,185200,97.0
335,185600,97.0
336,186000,98.0
337,186400,98.0
338,186800,98.0
339,187200,97.0
340,187600,97.0
341,188000,97.0
342,188400,97.0
343,188800,97.0
344,189200,97.0
345,189600,98.0
346,190000,98.0
347,190400,97.0
348,190800,100.0
349,191200,98.0
350,191600,97.0
351,192000,98.0
352,192400,97.0
353,192800,97.0
354,193200,98.0
355,193600,97.0
356,194000,99.0
