iters,fevals,fitness
0,1800,19.0
1,2400,19.0
2,3200,20.0
3,3800,19.0
4,4400,19.0
5,5000,22.0
6,5600,22.0
7,6200,23.0
8,6800,19.0
9,7400,19.0
10,8000,22.0
11,8600,22.0
12,9200,22.0
13,9800,20.0
14,10400,19.0
15,11000,22.0
16,11600,19.0
17,12200,22.0
18,12800,22.0
19,13400,22.0
20,14000,19.0
21,14600,22.0
22,15200,22.0
23,15800,22.0
24,16400,22.0
25,17000,22.0
26,17600,29.0
27,18200,29.0
28,18800,23.0
29,19400,29.0
30,20000,29.0
31,20600,29.0
32,21200,29.0
33,21800,29.0
34,22400,22.0
35,23000,29.0
36,23600,29.0
37,24200,22.0
38,24800,29.0
39,25400,22.0
40,26000,29.0
41,26600,28.0
42,27200,29.0
43,27800,29.0
44,28400,22.0
45,29000,23.0
46,29600,22.0
47,30200,22.0
48,30800,22.0
49,31400,29.0
50,32000,22.0
51,32600,29.0
52,33200,29.0
53,33800,29.0
54,34400,22.0
55,35000,22.0
56,35600,25.0
57,36200,22.0
58,36800,30.0
59,37400,22.0
60,38000,22.0
61,38600,30.0
62,39200,24.0
63,39800,24.0
64,40400,27.0
65,41000,24.0
66,41600,29.0
67,42200,29.0
68,42800,22.0
69,43400,22.0
70,44000,22.0
71,44600,29.0
72,45200,22.0
73,45800,27.0
74,46400,29.0
75,47000,27.0
76,47600,22.0
77,48200,24.0
78,48800,27.0
79,49400,22.0
80,50000,28.0
81,50800,29.0
82,51400,28.0
83,52000,29.0
84,52600,30.0
85,53200,30.0
86,53800,33.0
87,54400,30.0
88,55000,35.0
89,55800,36.0
90,56400,36.0
91,57000,39.0
92,57600,39.0
93,58200,41.0
94,58800,39.0
95,59400,41.0
96,60000,39.0
97,60600,39.0
98,61200,41.0
99,61800,41.0
100,62400,41.0
101,63000,41.0
102,63600,39.0
103,64200,39.0
104,64800,41.0
105,65400,40.0
106,66000,41.0
107,66800,43.0
108,67400,43.0
109,68200,43.0
110,68800,45.0
111,69400,45.0
112,70000,45.0
113,70600,43.0
114,71200,43.0
115,71800,45.0
116,72400,43.0
117,73000,45.0
118,73600,43.0
119,74200,45.0
120,74800,45.0
121,75400,43.0
122,76000,43.0
123,76600,43.0
124,77200,47.0
125,77800,47.0
126,78400,47.0
127,79000,46.0
128,79600,46.0
129,80200,49.0
130,81200,50.0
131,81800,50.0
132,82400,49.0
133,83000,50.0
134,83600,49.0
135,84200,49.0
136,84800,49.0
137,85400,49.0
138,86000,50.0
139,86600,49.0
140,87200,49.0
141,87800,49.0
142,88400,50.0
143,89000,50.0
144,89600,49.0
145,90200,50.0
146,90800,49.0
147,91400,50.0
148,92000,49.0
149,92600,49.0
150,93200,50.0
151,93800,50.0
152,94400,51.0
153,95000,50.0
154,95600,51.0
155,96200,51.0
156,96800,51.0
157,97400,50.0
158,98000,51.0
159,98600,51.0
160,99200,51.0
161,99800,51.0
162,100400,51.0
163,101000,51.0
164,101600,51.0
165,102200,51.0
166,102800,50.0
167,103400,50.0
168,104000,50.0
169,104600,51.0
170,105200,51.0
171,105800,51.0
172,106400,50.0
173,107000,50.0
174,107600,51.0
175,108200,51.0
176,108800,51.0
177,109400,51.0
178,110000,50.0
179,110600,51.0
180,111200,50.0
181,111800,50.0
182,112400,51.0
183,113000,51.0
184,113600,51.0
185,114200,51.0
186,114800,51.0
187,115400,50.0
188,116000,51.0
189,116600,50.0
190,117200,50.0
191,117800,50.0
192,118400,51.0
193,119000,51.0
194,119600,51.0
195,120200,50.0
196,120800,50.0
197,121400,51.0
198,122000,51.0
199,122600,51.0
200,123200,51.0
201,123800,50.0
202,124400,53.0
203,125000,53.0
204,125600,53.0
205,126200,50.0
206,126800,53.0
207,127400,50.0
208,128000,50.0
209,128600,53.0
210,129200,53.0
211,129800,53.0
212,130400,50.0
213,131000,53.0
214,131600,50.0
215,132200,50.0
216,132800,50.0
217,133400,53.0
218,134000,53.0
219,134600,55.0
220,135200,53.0
221,135800,55.0
222,136400,53.0
223,137000,55.0
224,137600,55.0
225,138200,55.0
226,138800,55.0
227,139400,57.0
228,140000,55.0
229,140600,55.0
230,141200,56.0
231,141800,56.0
232,142400,56.0
233,143000,56.0
234,143600,56.0
235,144200,57.0
236,144800,57.0
237,145400,57.0
238,146000,57.0
239,146600,56.0
240,147200,57.0
241,147800,56.0
242,148400,57.0
243,148800,56.0
244,149200,57.0
245,149600,57.0
246,150000,57.0
247,150400,57.0
248,150800,57.0
249,151200,56.0
250,151600,56.0
251,152000,56.0
252,152400,57.0
253,152800,57.0
254,153200,57.0
255,153600,57.0
256,154000,57.0
257,154400,57.0
258,154800,57.0
259,155200,57.0
260,155600,57.0
261,156000,58.0
262,156400,58.0
263,156800,57.0
264,157200,58.0
265,157600,57.0
266,158000,58.0
267,158400,58.0
268,158800,58.0
269,159200,58.0
270,159600,58.0
271,160000,58.0
272,160400,57.0
273,160800,57.0
274,161200,58.0
275,161600,58.0
276,162000,58.0
277,162400,59.0
278,162800,59.0
279,163200,59.0
280,163600,66.0
281,164000,59.0
282,164400,66.0
283,164800,66.0
284,165200,64.0
285,165600,66.0
286,166000,66.0
287,166400,66.0
288,166800,66.0
289,167200,68.0
290,167600,69.0
291,168000,68.0
292,168400,69.0
293,168800,68.0
294,169200,68.0
295,169600,68.0
296,170000,69.0
297,170400,69.0
298,170800,68.0
299,171200,68.0
300,171600,69.0
301,172000,68.0
302,172400,68.0
303,172800,69.0
304,173200,69.0
305,173600,69.0
306,174000,69.0
307,174400,69.0
308,174800,70.0
309,175200,70.0
310,175600,70.0
311,176000,70.0
312,176400,69.0
313,176800,70.0
314,177200,70.0
315,177600,69.0
316,178000,70.0
317,178400,70.0
318,178800,69.0
319,179200,70.0
320,179600,70.0
321,180000,70.0
322,180400,70.0
323,180800,70.0
324,181200,71.0
325,181600,70.0
326,182000,70.0
327,182400,72.0
328,182800,70.0
329,183200,70.0
330,183600,71.0
331,184000,70.0
332,184400,71.0
333,184800,70.0
334,185200,70.0
335,185600,70.0
336,186000,71.0
337,186400,70.0
338,186800,71.0
339,187200,70.0
340,187600,71.0
341,188000,71.0
342,188400,70.0
343,188800,71.0
344,189200,71.0
345,189600,70.0
346,190000,71.0
347,190400,71.0
348,190800,71.0
349,191200,70.0
350,191600,71.0
351,192000,71.0
352,192400,71.0
353,192800,71.0
354,193200,71.0
355,193600,72.0
356,194000,71.0
357,194400,72.0
358,194800,72.0
359,195200,71.0
360,195600,71.0
361,196000,72.0
362,196400,72.0
363,196800,74.0
364,197200,72.0
365,197600,71.0
366,198000,71.0
367,198400,72.0
368,198800,72.0
369,199200,72.0
370,199600,72.0
371,200000,71.0
372,200400,71.0
373,200800,71.0
374,201200,72.0
375,201600,72.0
376,202000,72.0
377,202400,72.0
378,202800,71.0
379,203200,72.0
380,203600,71.0
381,204000,71.0
382,204400,72.0
383,204800,71.0
384,205200,71.0
385,205600,71.0
386,206000,71.0
387,206400,72.0
388,206800,72.0
389,207200,71.0
390,207600,72.0
391,208000,71.0
392,208400,71.0
393,208800,71.0
394,209200,71.0
395,209600,72.0
396,210000,72.0
397,210400,71.0
398,210800,71.0
399,211200,72.0
400,211600,71.0
401,212000,71.0
402,212400,72.0
403,212800,71.0
404,213200,72.0
405,213600,72.0
406,214000,78.0
407,214400,78.0
408,214800,78.0
409,215200,78.0
410,215600,78.0
411,216000,78.0
412,216400,78.0
413,216800,81.0
414,217200,81.0
415,217600,78.0
416,218000,81.0
417,218400,81.0
418,218800,81.0
419,219200,78.0
420,219600,78.0
421,220000,78.0
422,220400,78.0
423,220800,78.0
424,221200,78.0
425,221600,81.0
426,222000,78.0
427,222400,81.0
428,222800,78.0
429,223200,78.0
430,223600,78.0
431,224000,78.0
432,224400,81.0
433,224800,81.0
434,225200,81.0
435,225600,81.0
436,226000,81.0
437,226400,83.0
438,226800,83.0
439,227200,83.0
440,227600,81.0
441,228000,81.0
442,228400,81.0
443,228800,83.0
444,229200,81.0
445,229600,81.0
446,230000,81.0
447,230400,82.0
448,230800,82.0
449,231200,81.0
450,231600,83.0
451,232000,85.0
452,232400,81.0
453,232800,81.0
454,233200,81.0
455,233600,81.0
456,234000,81.0
457,234400,83.0
458,234800,81.0
459,235200,81.0
460,235600,81.0
461,236000,81.0
462,236400,83.0
463,236800,81.0
464,237200,83.0
465,237600,83.0
466,238000,83.0
467,238400,83.0
468,238800,81.0
469,239200,83.0
470,239600,81.0
471,240000,81.0
472,240400,81.0
473,240800,83.0
474,241200,81.0
475,241600,81.0
476,242000,81.0
477,242400,81.0
478,242800,83.0
479,243200,85.0
480,243600,85.0
481,244000,85.0
482,244400,83.0
483,244800,83.0
484,245200,83.0
485,245600,85.0
486,246000,81.0
487,246400,83.0
488,246800,83.0
489,247200,83.0
490,247600,83.0
491,248000,83.0
492,248400,83.0
493,248800,83.0
494,249200,81.0
495,249600,81.0
496,250000,81.0
497,250400,83.0
498,250800,81.0
499,251200,83.0
500,251600,81.0
501,252000,81.0
502,252400,81.0
503,252800,83.0
504,253200,81.0
505,253600,81.0
506,254000,81.0
507,254400,83.0
508,254800,81.0
509,255200,81.0
510,255600,81.0
511,256000,81.0
512,256400,85.0
513,256800,83.0
514,257200,81.0
515,257600,83.0
516,258000,83.0
517,258400,85.0
518,258800,85.0
519,259200,85.0
520,259600,83.0
521,260000,81.0
522,260400,83.0
523,260800,86.0
524,261200,81.0
525,261600,81.0
526,262000,81.0
527,262400,81.0
528,262800,83.0
529,263200,81.0
530,263600,83.0
531,264000,83.0
532,264400,81.0
533,264800,83.0
534,265200,83.0
535,265600,83.0
536,266000,81.0
537,266400,83.0
538,266800,83.0
539,267200,82.0
540,267600,81.0
541,268000,81.0
542,268400,83.0
543,268800,83.0
544,269200,81.0
545,269600,83.0
546,270000,81.0
547,270400,81.0
548,270800,83.0
549,271200,81.0
550,271600,81.0
551,272000,81.0
552,272400,83.0
553,272800,83.0
554,273200,83.0
555,273600,83.0
556,274000,81.0
557,274400,81.0
558,274800,81.0
559,275200,83.0
560,275600,83.0
561,276000,84.0
562,276400,85.0
563,276800,83.0
564,277200,84.0
565,277600,85.0
566,278000,83.0
567,278400,84.0
568,278800,83.0
569,279200,84.0
570,279600,85.0
571,280000,84.0
572,280400,84.0
573,280800,83.0
574,281200,84.0
575,281600,84.0
576,282000,83.0
577,282400,84.0
578,282800,84.0
579,283200,83.0
580,283600,84.0
581,284000,83.0
582,284400,84.0
583,284800,83.0
584,285200,84.0
585,285600,83.0
586,286000,83.0
587,286400,83.0
588,286800,84.0
589,287200,83.0
590,287600,84.0
591,288000,84.0
592,288400,83.0
593,288800,83.0
594,289200,83.0
595,289600,83.0
596,290000,83.0
597,290400,83.0
598,290800,84.0
599,291200,84.0
600,291600,83.0
601,292000,83.0
602,292400,84.0
603,292800,84.0
604,293200,84.0
605,293600,84.0
606,294000,85.0
607,294400,85.0
608,294800,85.0
609,295200,85.0
610,295600,84.0
611,296000,84.0
612,296400,84.0
613,296800,84.0
614,297200,84.0
615,297600,84.0
616,298000,84.0
617,298400,84.0
618,298800,84.0
619,299200,85.0
620,299600,84.0
621,300000,84.0
622,300400,84.0
623,300800,85.0
624,301200,84.0
625,301600,84.0
626,302000,85.0
627,302400,85.0
628,302800,84.0
629,303200,85.0
630,303600,84.0
631,304000,84.0
632,304400,85.0
633,304800,84.0
634,305200,85.0
635,305600,84.0
636,306000,85.0
637,306400,84.0
638,306800,84.0
639,307200,84.0
640,307600,85.0
641,308000,85.0
642,308400,84.0
643,308800,85.0
644,309200,84.0
645,309600,84.0
646,310000,85.0
647,310400,84.0
648,310800,84.0
649,311200,85.0
650,311600,85.0
