iters,fevals,fitness
0,2,5.0
1,4,5.0
2,6,5.0
3,8,5.0
4,10,5.0
5,12,5.0
6,14,5.0
7,16,5.0
8,18,5.0
9,20,5.0
10,22,5.0
11,24,5.0
12,26,5.0
13,28,5.0
14,30,5.0
15,32,6.0
16,34,6.0
17,36,6.0
18,38,6.0
19,40,6.0
20,42,6.0
21,44,6.0
22,46,6.0
23,48,6.0
24,50,6.0
25,52,6.0
26,54,6.0
27,56,6.0
28,58,6.0
29,60,6.0
30,62,6.0
31,64,6.0
32,66,6.0
33,68,6.0
34,70,6.0
35,72,6.0
36,74,6.0
37,76,6.0
38,78,6.0
39,80,6.0
40,82,6.0
41,84,6.0
42,86,7.0
43,89,67.0
44,91,67.0
45,93,67.0
46,95,67.0
47,97,67.0
48,99,67.0
49,101,67.0
50,103,67.0
51,105,67.0
52,107,67.0
53,109,67.0
54,111,67.0
55,113,67.0
56,115,67.0
57,117,67.0
58,119,67.0
59,121,67.0
60,124,70.0
61,126,70.0
62,128,70.0
63,130,70.0
64,133,71.0
65,135,71.0
66,137,71.0
67,139,71.0
68,141,71.0
69,143,71.0
70,145,71.0
71,147,71.0
72,149,71.0
73,151,71.0
74,153,71.0
75,155,71.0
76,157,71.0
77,159,71.0
78,161,71.0
79,163,71.0
80,165,71.0
81,167,71.0
82,169,71.0
83,171,71.0
84,173,71.0
85,175,71.0
86,177,71.0
87,179,71.0
88,181,71.0
89,183,71.0
90,185,71.0
91,187,71.0
92,189,71.0
93,191,71.0
94,193,71.0
95,195,71.0
96,197,71.0
97,199,71.0
98,201,71.0
99,203,71.0
100,205,71.0
101,207,71.0
102,209,71.0
103,211,71.0
104,213,71.0
105,215,71.0
106,217,71.0
107,219,71.0
108,221,71.0
109,223,71.0
110,225,71.0
111,227,71.0
112,229,71.0
113,231,71.0
114,233,71.0
115,235,71.0
116,237,71.0
117,239,71.0
118,241,71.0
119,243,71.0
120,245,71.0
121,247,71.0
122,249,71.0
123,251,71.0
124,253,71.0
125,255,71.0
126,257,71.0
127,259,71.0
128,261,71.0
129,263,71.0
130,265,71.0
131,267,71.0
132,269,71.0
133,271,71.0
134,273,71.0
135,275,71.0
136,277,71.0
137,279,71.0
138,281,71.0
139,283,71.0
140,285,71.0
141,287,71.0
142,289,71.0
143,291,71.0
144,293,71.0
145,295,71.0
146,297,71.0
147,299,71.0
148,301,71.0
149,303,71.0
150,305,71.0
151,307,71.0
152,309,71.0
153,311,71.0
154,313,71.0
155,315,71.0
156,317,71.0
157,319,71.0
158,321,71.0
159,323,71.0
160,325,71.0
161,327,71.0
162,329,71.0
163,332,72.0
164,334,72.0
165,336,72.0
166,338,72.0
167,340,72.0
168,342,72.0
169,344,74.0
170,346,74.0
171,348,74.0
172,350,74.0
173,352,74.0
174,354,74.0
175,356,74.0
176,358,74.0
177,360,74.0
178,362,74.0
179,364,74.0
180,366,74.0
181,369,75.0
182,371,75.0
183,373,75.0
184,375,75.0
185,377,75.0
186,379,75.0
187,381,75.0
188,383,75.0
189,385,75.0
190,387,75.0
191,389,75.0
192,391,75.0
193,393,75.0
194,395,75.0
195,397,75.0
196,399,75.0
197,401,75.0
198,403,75.0
199,405,75.0
200,407,75.0
201,409,75.0
202,411,75.0
203,413,75.0
204,415,75.0
205,417,75.0
206,419,75.0
207,421,75.0
208,423,75.0
209,425,75.0
210,427,75.0
211,429,75.0
212,431,75.0
213,433,75.0
214,435,75.0
215,437,75.0
216,439,75.0
217,441,75.0
218,443,75.0
219,445,75.0
220,447,75.0
221,449,75.0
222,451,75.0
223,453,75.0
224,455,77.0
225,457,77.0
226,459,77.0
227,461,77.0
228,463,77.0
229,465,77.0
230,467,77.0
