iters,fevals,fitness
0,9232,133.0
1,13851,133.0
2,15106,133.0
3,17424,133.0
4,20165,133.0
5,20896,133.0
6,34934,132.0
7,36295,132.0
8,36509,132.0
9,38191,132.0
10,39038,132.0
11,41864,133.0
12,44167,133.0
13,45940,132.0
14,46260,132.0
15,46782,132.0
16,48665,132.0
17,52450,132.0
18,52554,132.0
19,52658,132.0
20,52765,132.0
21,52871,132.0
22,52976,132.0
23,53083,132.0
24,53188,132.0
25,53293,132.0
26,53401,133.0
27,53505,133.0
28,53609,133.0
29,53713,132.0
30,53817,132.0
31,53923,132.0
32,54028,132.0
33,54133,132.0
34,54240,132.0
35,54346,132.0
36,54452,132.0
37,54558,132.0
38,54662,132.0
39,54765,132.0
40,54871,132.0
41,54975,132.0
42,55080,132.0
43,55187,132.0
44,55292,132.0
45,55396,132.0
46,55500,132.0
47,55605,132.0
48,55709,132.0
49,55818,132.0
50,55923,132.0
51,56027,132.0
52,56133,132.0
53,56239,132.0
54,56344,132.0
55,56451,132.0
56,56553,132.0
57,56658,132.0
58,56762,132.0
59,56867,133.0
60,56972,132.0
61,57079,133.0
62,57182,133.0
63,57286,133.0
64,57394,133.0
65,57499,133.0
66,57607,133.0
67,57714,133.0
68,57820,133.0
69,57924,133.0
70,58029,133.0
71,58134,133.0
72,58240,133.0
73,58344,133.0
74,58449,133.0
75,58555,133.0
76,58662,133.0
77,58766,133.0
78,58871,133.0
79,58977,133.0
80,59083,133.0
81,59186,133.0
82,59290,133.0
83,59395,133.0
84,59503,133.0
85,59608,133.0
86,59714,133.0
87,59822,133.0
88,59925,133.0
89,60030,133.0
90,60134,133.0
91,60236,133.0
92,60340,133.0
93,60444,133.0
94,60551,133.0
95,60653,133.0
96,60760,133.0
97,60865,133.0
98,60970,133.0
99,61074,133.0
100,61179,133.0
101,61283,133.0
102,61388,133.0
103,61493,133.0
104,61597,133.0
105,61702,133.0
106,61808,133.0
107,61915,133.0
108,62022,133.0
109,62125,132.0
110,62229,132.0
111,62334,132.0
112,62438,132.0
113,62544,132.0
114,62650,132.0
115,62754,132.0
116,62861,132.0
117,62966,132.0
118,63072,132.0
119,63180,132.0
120,63284,132.0
121,63392,132.0
122,63496,132.0
123,63602,132.0
