iters,fevals,fitness
0,10163,166.0
1,24328,165.0
2,31783,165.0
3,37339,166.0
4,38599,166.0
5,42273,166.0
6,52456,166.0
7,52563,166.0
8,52667,166.0
9,52772,166.0
10,52877,166.0
11,52981,166.0
12,53084,166.0
13,53191,166.0
14,53296,166.0
15,53401,165.0
16,53505,166.0
17,53611,166.0
18,53714,165.0
19,53821,165.0
20,53925,165.0
21,54029,165.0
22,54136,165.0
23,54240,165.0
24,54346,165.0
25,54452,165.0
26,54557,165.0
27,54662,165.0
28,54763,165.0
29,54869,165.0
30,54972,165.0
31,55077,165.0
32,55182,165.0
33,55287,165.0
34,55392,165.0
35,55497,165.0
36,55601,165.0
37,55706,165.0
38,55811,165.0
39,55916,165.0
40,56024,165.0
41,56131,165.0
42,56240,165.0
43,56345,165.0
44,56449,165.0
45,56554,165.0
46,56658,165.0
47,56764,165.0
48,56871,165.0
49,56977,165.0
50,57082,165.0
51,57187,165.0
52,57290,165.0
53,57398,165.0
54,57502,165.0
55,57605,165.0
56,57708,165.0
57,57812,167.0
58,57919,167.0
59,58026,167.0
60,58133,167.0
61,58237,165.0
62,58340,165.0
63,58446,165.0
64,58550,165.0
65,58653,165.0
66,58756,165.0
67,58861,165.0
68,58964,165.0
69,59068,165.0
70,59172,165.0
71,59277,165.0
72,59385,165.0
73,59491,165.0
74,59594,165.0
75,59697,165.0
76,59802,165.0
77,59909,165.0
78,60013,165.0
79,60119,165.0
80,60222,165.0
81,60326,165.0
82,60429,165.0
83,60535,165.0
84,60638,167.0
85,60742,167.0
86,60846,167.0
87,60951,167.0
88,61056,167.0
89,61162,167.0
90,61268,167.0
91,61374,167.0
92,61480,167.0
93,61584,167.0
94,61688,167.0
95,61792,167.0
96,61896,167.0
97,62005,167.0
98,62109,167.0
99,62213,167.0
100,62318,167.0
101,62423,167.0
102,62528,167.0
103,62631,167.0
104,62739,167.0
105,62844,167.0
106,62947,167.0
107,63049,167.0
108,63154,167.0
109,63260,167.0
110,63363,167.0
111,63467,167.0
112,63571,167.0
113,63678,167.0
114,63782,167.0
115,63888,167.0
116,63993,167.0
117,64097,167.0
118,64200,167.0
119,64305,167.0
120,64412,167.0
121,64515,167.0
122,64619,167.0
123,64724,167.0
124,64832,167.0
125,64940,167.0
126,65046,167.0
127,65151,167.0
128,65255,167.0
129,65363,167.0
130,65467,167.0
131,65571,167.0
132,65677,167.0
133,65784,167.0
134,65890,167.0
135,65995,167.0
136,66103,167.0
137,66206,167.0
138,66310,165.0
139,66414,165.0
140,66519,165.0
141,66625,165.0
142,66732,165.0
143,66835,165.0
144,66939,165.0
145,67042,165.0
146,67146,165.0
147,67254,165.0
148,67358,165.0
149,67463,165.0
150,67568,165.0
151,67671,165.0
152,67776,165.0
153,67882,166.0
154,67985,166.0
155,68089,166.0
156,68194,166.0
157,68298,166.0
158,68404,165.0
159,68507,165.0
160,68612,165.0
161,68716,165.0
162,68820,165.0
163,68926,165.0
164,69030,165.0
165,69135,165.0
166,69240,165.0
167,69342,165.0
168,69447,165.0
169,69551,167.0
170,69659,165.0
171,69768,165.0
172,69874,165.0
173,69979,165.0
174,70085,165.0
175,70188,165.0
176,70295,165.0
177,70398,167.0
178,70504,167.0
179,70609,167.0
180,70713,167.0
181,70817,167.0
182,70924,167.0
183,71028,167.0
184,71132,167.0
185,71236,167.0
186,71341,165.0
187,71446,165.0
188,71552,165.0
189,71657,165.0
190,71762,165.0
191,71867,165.0
192,71973,165.0
193,72081,165.0
194,72184,165.0
195,72290,165.0
196,72395,165.0
197,72501,165.0
198,72606,165.0
199,72712,165.0
200,72817,165.0
201,72924,165.0
202,73029,165.0
203,73134,165.0
204,73236,165.0
205,73341,165.0
206,73444,165.0
207,73548,165.0
208,73654,166.0
209,73761,166.0
210,73867,165.0
211,73972,165.0
212,74079,165.0
213,74185,165.0
214,74290,165.0
215,74397,165.0
216,74503,165.0
217,74608,165.0
218,74712,166.0
219,74815,166.0
220,74918,166.0
221,75023,166.0
222,75128,166.0
223,75235,166.0
224,75338,166.0
225,75443,166.0
226,75549,165.0
227,75651,165.0
228,75755,165.0
229,75860,165.0
230,75966,165.0
231,76071,165.0
232,76176,165.0
233,76278,165.0
234,76386,165.0
235,76488,165.0
236,76591,165.0
237,76696,165.0
238,76803,165.0
239,76907,165.0
240,77010,165.0
241,77116,165.0
242,77223,165.0
243,77327,165.0
244,77430,165.0
245,77531,165.0
246,77639,165.0
247,77745,165.0
248,77852,165.0
249,77958,165.0
250,78063,165.0
251,78166,165.0
252,78271,165.0
253,78376,165.0
254,78481,165.0
255,78589,165.0
256,78694,165.0
257,78800,165.0
258,78904,165.0
259,79008,165.0
260,79111,165.0
261,79218,165.0
262,79319,165.0
263,79424,165.0
264,79530,165.0
265,79633,165.0
266,79738,165.0
267,79845,165.0
268,79951,165.0
269,80056,165.0
270,80160,165.0
271,80264,165.0
272,80370,165.0
273,80478,165.0
274,80583,165.0
275,80689,165.0
276,80792,165.0
277,80897,165.0
278,81004,165.0
279,81107,165.0
280,81210,165.0
281,81315,165.0
282,81423,165.0
283,81532,165.0
284,81637,165.0
285,81743,165.0
286,81845,165.0
287,81950,165.0
288,82053,165.0
289,82157,165.0
290,82259,165.0
291,82363,165.0
292,82468,165.0
293,82570,165.0
294,82676,165.0
295,82780,165.0
296,82886,165.0
297,82987,165.0
298,83093,165.0
299,83201,165.0
300,83303,165.0
301,83404,165.0
302,83510,165.0
303,83615,165.0
304,83720,165.0
305,83825,165.0
306,83932,165.0
307,84039,165.0
308,84145,165.0
309,84252,167.0
