iters,fevals,fitness
0,2000,147.0
1,2600,147.0
2,3200,147.0
3,3800,146.0
4,4400,146.0
5,5000,147.0
6,5600,144.0
7,6200,146.0
8,6800,147.0
9,7600,147.0
10,8200,150.0
11,8800,150.0
12,9400,147.0
13,10000,149.0
14,10600,150.0
15,11200,150.0
16,11800,149.0
17,12400,147.0
18,13000,152.0
19,13600,152.0
20,14200,152.0
21,14800,153.0
22,15400,152.0
23,16000,152.0
24,16600,152.0
25,17200,152.0
26,17800,152.0
27,18400,154.0
28,19000,153.0
29,19600,154.0
30,20200,152.0
31,20800,152.0
32,21400,163.0
33,22200,163.0
34,22800,169.0
35,23400,169.0
36,24000,169.0
37,24800,171.0
38,25400,174.0
39,26400,175.0
40,27000,176.0
41,27600,175.0
42,28200,176.0
43,28800,176.0
44,29400,176.0
45,30000,176.0
46,30800,177.0
47,31400,177.0
48,32000,177.0
49,32600,176.0
50,33200,177.0
51,33800,177.0
52,34400,177.0
53,35000,176.0
54,35600,178.0
55,36200,176.0
56,36800,177.0
57,37400,177.0
58,38200,177.0
59,38800,177.0
60,39400,178.0
61,40000,178.0
62,40800,180.0
63,41400,179.0
64,42000,178.0
65,42600,178.0
66,43200,180.0
67,43800,180.0
68,44600,181.0
69,45200,180.0
70,45800,183.0
71,46400,183.0
72,47000,181.0
73,47600,182.0
74,48200,183.0
75,48800,183.0
76,49400,180.0
77,50000,181.0
78,50600,184.0
79,51200,183.0
80,52000,184.0
81,52600,184.0
82,53200,183.0
83,53800,184.0
84,54400,184.0
85,55000,186.0
86,55600,184.0
87,56200,183.0
88,56800,183.0
89,57400,184.0
90,58000,185.0
91,58600,184.0
92,59200,183.0
93,59800,184.0
94,60400,184.0
95,61000,184.0
96,61600,184.0
97,62200,184.0
98,62800,184.0
99,63400,184.0
100,64000,184.0
101,64600,184.0
102,65200,184.0
103,65800,184.0
104,66400,184.0
105,67000,183.0
106,67600,184.0
107,68200,184.0
108,68800,183.0
109,69400,184.0
110,70000,184.0
111,70600,184.0
112,71200,184.0
113,71800,183.0
114,72400,184.0
115,73000,183.0
116,73600,184.0
117,74200,183.0
118,74800,184.0
119,75400,184.0
120,76000,184.0
121,76600,183.0
122,77200,184.0
123,77800,184.0
124,78600,187.0
125,79200,184.0
126,79800,187.0
127,80400,184.0
128,81000,184.0
129,81600,184.0
130,82200,186.0
131,82800,187.0
132,83400,184.0
133,84000,187.0
134,84600,187.0
135,85200,184.0
136,85800,185.0
137,86400,187.0
138,87000,185.0
139,87600,185.0
140,88200,188.0
141,88800,187.0
142,89400,185.0
143,90000,188.0
144,90600,185.0
145,91200,185.0
146,91800,186.0
147,92400,185.0
148,93000,186.0
149,93600,188.0
150,94200,185.0
151,94800,186.0
152,95400,186.0
153,96000,188.0
154,96600,188.0
155,97200,188.0
156,97800,189.0
157,98400,188.0
158,99000,189.0
159,99600,188.0
160,100200,189.0
161,100800,188.0
162,101400,188.0
163,102000,188.0
164,102600,189.0
165,103200,189.0
166,103800,189.0
167,104400,191.0
168,105000,189.0
169,105600,189.0
170,106200,189.0
171,106800,189.0
172,107400,188.0
173,108000,188.0
174,108600,188.0
175,109200,188.0
176,109800,190.0
177,110400,192.0
178,111000,192.0
179,111600,189.0
180,112200,188.0
181,112800,191.0
182,113600,191.0
183,114200,192.0
184,114800,191.0
185,115400,194.0
186,116000,192.0
187,116600,192.0
188,117200,192.0
189,117800,192.0
190,118600,193.0
191,119200,193.0
192,119800,193.0
193,120400,193.0
194,121000,193.0
195,121600,193.0
196,122200,193.0
197,122800,193.0
198,123400,193.0
199,124000,192.0
200,124600,193.0
201,125200,193.0
202,125800,193.0
203,126400,192.0
204,127000,193.0
205,127600,193.0
206,128200,193.0
207,129000,193.0
208,129600,194.0
209,130200,194.0
210,130800,195.0
211,131400,194.0
212,132200,195.0
213,132800,195.0
214,133400,195.0
215,134000,196.0
216,134600,195.0
217,135200,195.0
218,135800,195.0
219,136400,195.0
220,137000,195.0
221,137600,195.0
222,138200,195.0
223,138800,196.0
224,139400,195.0
225,140000,195.0
226,140600,195.0
227,141200,195.0
228,141800,195.0
229,142400,195.0
230,143000,195.0
231,143600,196.0
232,144200,195.0
233,144800,195.0
234,145400,196.0
235,146000,195.0
236,146600,195.0
237,147200,196.0
238,147600,197.0
239,148000,196.0
240,148400,195.0
241,148800,196.0
242,149200,196.0
243,149600,195.0
244,150000,195.0
245,150400,195.0
246,150800,195.0
247,151200,196.0
248,151600,195.0
249,152000,195.0
250,152400,195.0
251,152800,196.0
252,153200,195.0
253,153600,196.0
254,154000,196.0
255,154400,195.0
256,154800,196.0
257,155200,195.0
258,155600,196.0
259,156000,195.0
260,156400,195.0
261,156800,197.0
262,157200,195.0
263,157600,195.0
264,158000,196.0
265,158400,195.0
266,158800,196.0
267,159200,195.0
268,159600,195.0
269,160000,195.0
270,160400,195.0
271,160800,195.0
272,161200,195.0
273,161600,196.0
274,162000,195.0
275,162400,196.0
276,162800,196.0
277,163200,195.0
278,163600,195.0
279,164000,195.0
280,164400,195.0
281,164800,196.0
282,165200,196.0
283,165600,196.0
284,166000,196.0
285,166400,196.0
286,166800,196.0
287,167200,196.0
288,167600,196.0
289,168000,196.0
290,168400,197.0
291,168800,197.0
292,169200,197.0
293,169600,197.0
294,170000,197.0
295,170400,197.0
296,170800,197.0
297,171200,197.0
298,171600,199.0
299,172000,197.0
300,172400,197.0
301,172800,199.0
302,173200,199.0
303,173600,199.0
304,174000,199.0
305,174400,199.0
306,174800,197.0
307,175200,197.0
308,175600,199.0
309,176000,197.0
310,176400,199.0
311,176800,197.0
312,177200,197.0
313,177600,197.0
314,178000,197.0
315,178400,199.0
316,178800,199.0
317,179200,199.0
318,179600,197.0
319,180000,197.0
320,180400,197.0
321,180800,197.0
322,181200,197.0
323,181600,199.0
324,182000,197.0
325,182400,199.0
326,182800,199.0
327,183200,197.0
328,183600,197.0
329,184000,197.0
330,184400,197.0
331,184800,197.0
332,185200,197.0
333,185600,197.0
334,186000,199.0
335,186400,199.0
336,186800,199.0
337,187200,199.0
338,187600,197.0
339,188000,197.0
340,188400,199.0
341,188800,197.0
342,189200,197.0
343,189600,200.0
344,190000,199.0
345,190400,197.0
346,190800,197.0
347,191200,199.0
348,191600,197.0
349,192000,199.0
350,192400,197.0
351,192800,197.0
352,193200,199.0
353,193600,197.0
354,194000,199.0
355,194400,197.0
356,194800,199.0
357,195200,197.0
358,195600,197.0
359,196000,197.0
360,196400,197.0
361,196800,199.0
362,197200,199.0
363,197600,199.0
364,198000,199.0
365,198400,199.0
366,198800,199.0
367,199200,199.0
368,199600,199.0
369,200000,199.0
370,200400,200.0
371,200800,199.0
372,201200,199.0
373,201600,199.0
374,202000,200.0
375,202400,199.0
376,202800,199.0
377,203200,200.0
378,203600,200.0
379,204000,199.0
380,204400,201.0
381,204800,201.0
382,205200,199.0
383,205600,199.0
384,206000,200.0
385,206400,201.0
386,206800,201.0
387,207200,199.0
388,207600,200.0
389,208000,199.0
390,208400,199.0
391,208800,201.0
392,209200,201.0
393,209600,199.0
394,210000,201.0
395,210400,199.0
396,210800,199.0
397,211200,201.0
398,211600,199.0
399,212000,199.0
400,212400,201.0
401,212800,201.0
402,213200,201.0
403,213600,201.0
404,214000,201.0
405,214400,199.0
406,214800,199.0
407,215200,199.0
408,215600,199.0
409,216000,199.0
