iters,fevals,fitness
0,400,215.0
1,1800,220.0
2,2400,219.0
3,3000,220.0
4,3800,225.0
5,4600,226.0
6,5200,227.0
7,5800,226.0
8,6400,226.0
9,7000,226.0
10,7600,225.0
11,8200,225.0
12,8800,226.0
13,9400,227.0
14,10000,227.0
15,10600,229.0
16,11200,226.0
17,11800,233.0
18,12400,233.0
19,13000,236.0
20,13600,229.0
21,14200,233.0
22,14800,228.0
23,15400,229.0
24,16000,234.0
25,17000,235.0
26,17600,234.0
27,18200,237.0
28,18800,235.0
29,19400,234.0
30,20000,235.0
31,20600,237.0
32,21200,237.0
33,21800,238.0
34,22600,238.0
35,23200,237.0
36,23800,240.0
37,24400,240.0
38,25000,238.0
39,25600,240.0
40,26200,238.0
41,26800,238.0
42,27400,239.0
43,28000,238.0
44,28600,238.0
45,29200,238.0
46,29800,238.0
47,30600,243.0
48,31200,242.0
49,31800,243.0
50,32400,242.0
51,33200,243.0
52,33800,244.0
53,34400,245.0
54,35000,244.0
55,35800,247.0
56,36400,245.0
57,37000,245.0
58,37600,255.0
59,38200,250.0
60,38800,249.0
61,39400,248.0
62,40000,250.0
63,40800,250.0
64,41600,254.0
65,42200,251.0
66,42800,255.0
67,43400,255.0
68,44000,255.0
69,44600,255.0
70,45200,255.0
71,45800,255.0
72,46400,250.0
73,47000,255.0
74,47800,256.0
75,48400,256.0
76,49000,256.0
77,49600,256.0
78,50200,256.0
79,50800,255.0
80,51400,255.0
81,52000,256.0
82,52600,256.0
83,53200,255.0
84,53800,256.0
85,54400,256.0
86,55200,258.0
87,55800,257.0
88,56400,256.0
89,57000,257.0
90,57600,257.0
91,58200,257.0
92,58800,257.0
93,60000,264.0
94,60800,267.0
95,61400,268.0
96,62000,268.0
97,62800,268.0
98,63400,268.0
99,64000,267.0
100,64600,268.0
101,65200,268.0
102,66000,270.0
103,66600,269.0
104,67200,270.0
105,67800,270.0
106,68400,272.0
107,69000,273.0
108,69600,270.0
109,70200,270.0
110,70800,270.0
111,71400,270.0
