iters,fevals,fitness
0,2,126.0
1,4,126.0
2,7,127.0
3,9,127.0
4,11,127.0
5,13,127.0
6,15,127.0
7,17,127.0
8,19,127.0
9,21,127.0
10,23,127.0
11,25,127.0
12,27,127.0
13,29,127.0
14,31,127.0
15,33,127.0
16,35,127.0
17,37,127.0
18,39,127.0
19,41,127.0
20,43,127.0
21,45,127.0
22,47,127.0
23,49,127.0
24,51,127.0
25,53,127.0
26,55,127.0
27,57,127.0
28,59,127.0
29,61,127.0
30,63,127.0
31,65,127.0
32,67,127.0
33,69,127.0
34,71,127.0
35,73,127.0
36,75,127.0
37,77,127.0
38,79,127.0
39,81,127.0
40,83,127.0
41,85,127.0
42,87,127.0
43,89,127.0
44,91,127.0
45,93,127.0
46,95,127.0
47,97,127.0
48,99,127.0
49,101,127.0
50,103,127.0
51,105,127.0
52,107,127.0
53,109,127.0
54,111,127.0
55,113,127.0
56,115,127.0
57,117,127.0
58,119,127.0
59,121,127.0
60,123,127.0
61,125,127.0
62,127,127.0
63,129,127.0
64,131,127.0
65,133,127.0
66,135,127.0
67,137,127.0
68,139,127.0
69,141,127.0
70,143,127.0
71,145,127.0
72,147,127.0
73,149,127.0
74,151,127.0
75,153,127.0
76,155,127.0
77,157,127.0
78,159,127.0
79,161,127.0
80,163,127.0
81,165,127.0
82,167,127.0
83,169,127.0
84,171,127.0
85,173,127.0
86,175,127.0
87,177,127.0
88,179,127.0
89,181,127.0
90,183,127.0
91,185,127.0
92,187,127.0
93,189,127.0
94,191,127.0
95,193,127.0
96,195,127.0
97,197,127.0
98,199,127.0
99,201,127.0
100,203,127.0
101,205,127.0
102,208,128.0
103,210,128.0
104,212,128.0
105,214,128.0
106,216,128.0
107,218,128.0
108,220,128.0
109,222,128.0
110,224,128.0
111,226,128.0
112,228,128.0
113,230,128.0
114,232,128.0
115,234,128.0
116,236,128.0
117,238,128.0
118,240,128.0
119,242,128.0
120,244,128.0
121,246,128.0
122,248,128.0
123,250,128.0
124,252,128.0
125,254,128.0
126,256,128.0
127,258,128.0
128,260,128.0
129,262,128.0
130,264,128.0
131,266,128.0
132,268,128.0
133,270,128.0
134,272,128.0
135,274,128.0
136,276,128.0
137,278,128.0
138,280,128.0
139,282,128.0
140,284,128.0
141,286,128.0
142,288,128.0
143,290,128.0
144,292,128.0
145,294,128.0
146,296,128.0
147,298,128.0
148,300,128.0
149,302,128.0
150,304,128.0
151,306,128.0
152,308,128.0
153,310,128.0
154,312,128.0
155,314,128.0
156,316,128.0
157,318,128.0
158,320,128.0
159,322,128.0
160,324,128.0
161,326,128.0
162,328,128.0
163,330,128.0
164,332,128.0
165,334,128.0
166,336,128.0
167,338,128.0
168,340,128.0
169,342,128.0
170,344,128.0
171,346,128.0
172,348,128.0
173,350,128.0
174,352,128.0
175,354,128.0
176,356,128.0
177,358,128.0
178,360,128.0
179,362,128.0
180,364,128.0
181,366,128.0
182,368,128.0
183,370,128.0
184,372,128.0
185,374,128.0
186,376,128.0
187,378,128.0
188,380,128.0
189,382,128.0
190,384,128.0
191,386,128.0
192,388,128.0
193,390,128.0
194,392,128.0
195,394,128.0
196,396,128.0
197,398,128.0
198,400,128.0
199,402,128.0
200,404,128.0
201,406,128.0
202,408,128.0
203,410,128.0
204,412,128.0
205,414,128.0
206,416,128.0
207,418,128.0
208,420,128.0
209,422,128.0
210,424,128.0
211,426,128.0
212,428,128.0
213,430,128.0
214,432,128.0
215,434,128.0
216,436,128.0
217,438,128.0
218,440,128.0
219,442,128.0
220,444,128.0
221,446,128.0
222,448,128.0
223,450,128.0
224,452,128.0
225,454,128.0
226,456,128.0
227,458,128.0
228,460,128.0
229,462,128.0
230,464,128.0
231,466,128.0
232,468,128.0
233,470,128.0
234,472,128.0
235,474,128.0
236,476,128.0
237,478,128.0
238,480,128.0
239,482,128.0
240,484,128.0
241,486,128.0
242,488,128.0
243,490,128.0
244,492,128.0
245,494,128.0
246,496,128.0
247,498,128.0
248,500,128.0
249,501,128.0
250,502,128.0
251,503,128.0
252,504,128.0
253,505,128.0
254,506,128.0
255,507,128.0
256,508,128.0
257,509,128.0
258,510,128.0
259,511,128.0
260,512,128.0
261,513,128.0
262,514,128.0
263,515,128.0
264,516,128.0
265,517,128.0
266,518,128.0
267,519,128.0
268,520,128.0
269,521,128.0
270,522,128.0
271,523,128.0
272,524,128.0
273,525,128.0
274,526,128.0
275,527,128.0
276,528,128.0
277,529,128.0
278,530,128.0
279,531,128.0
280,532,128.0
281,533,128.0
282,534,128.0
283,535,128.0
284,536,128.0
285,537,128.0
286,538,128.0
287,539,128.0
288,540,128.0
289,541,128.0
290,542,128.0
291,543,128.0
292,544,128.0
293,545,128.0
294,546,128.0
295,547,128.0
296,548,128.0
297,549,128.0
298,550,128.0
299,551,128.0
300,552,128.0
301,553,128.0
302,554,128.0
303,555,128.0
304,556,128.0
305,557,128.0
306,558,128.0
307,559,128.0
308,560,128.0
309,561,128.0
310,562,128.0
311,563,128.0
312,564,128.0
313,565,128.0
314,566,128.0
315,567,128.0
316,568,128.0
317,569,128.0
318,570,128.0
319,571,128.0
320,572,128.0
321,573,128.0
322,574,128.0
323,575,128.0
324,576,128.0
325,577,128.0
326,578,128.0
327,579,128.0
328,580,128.0
329,581,128.0
330,582,128.0
331,583,128.0
332,584,128.0
333,585,128.0
334,586,128.0
335,587,128.0
336,588,128.0
337,589,128.0
338,590,128.0
339,591,128.0
340,592,128.0
341,593,128.0
342,594,128.0
343,595,128.0
344,596,128.0
345,597,128.0
346,598,128.0
347,599,128.0
348,600,128.0
349,601,128.0
350,602,128.0
351,603,128.0
352,604,128.0
353,605,128.0
354,606,128.0
355,607,128.0
356,608,128.0
357,609,128.0
358,610,128.0
359,611,128.0
360,612,128.0
361,613,128.0
362,614,128.0
363,615,128.0
364,616,128.0
365,617,128.0
366,618,128.0
367,619,128.0
368,620,128.0
369,621,128.0
370,622,128.0
371,623,128.0
372,624,128.0
373,625,128.0
374,626,128.0
375,627,128.0
376,628,128.0
377,629,128.0
378,630,128.0
379,631,128.0
380,632,128.0
381,633,128.0
382,634,128.0
383,635,128.0
384,636,128.0
385,637,128.0
386,638,128.0
387,639,128.0
388,640,128.0
389,641,128.0
390,642,128.0
391,643,128.0
392,644,128.0
393,645,128.0
394,646,128.0
395,647,128.0
396,648,129.0
397,649,129.0
398,650,129.0
399,651,129.0
400,652,129.0
401,653,129.0
402,654,129.0
403,655,129.0
404,656,129.0
405,657,129.0
406,658,129.0
407,659,129.0
408,660,129.0
409,661,129.0
410,662,129.0
411,663,129.0
412,664,129.0
413,665,129.0
414,666,129.0
415,667,129.0
416,668,129.0
417,669,129.0
418,670,129.0
419,671,129.0
420,672,129.0
421,673,129.0
422,674,129.0
423,675,129.0
424,676,129.0
425,677,129.0
426,678,129.0
427,679,129.0
428,680,129.0
429,681,129.0
430,682,129.0
431,683,129.0
432,684,129.0
433,685,129.0
434,686,129.0
435,687,129.0
436,688,129.0
437,689,129.0
438,690,129.0
439,691,129.0
440,692,129.0
441,693,129.0
442,694,129.0
443,695,129.0
444,696,129.0
445,697,129.0
446,698,129.0
447,699,129.0
448,700,129.0
449,701,129.0
450,702,129.0
451,703,129.0
452,704,129.0
453,705,129.0
454,706,129.0
455,707,129.0
456,708,129.0
457,709,129.0
458,710,129.0
459,711,129.0
460,712,129.0
461,713,129.0
462,714,129.0
463,715,129.0
464,716,129.0
465,717,129.0
466,718,129.0
467,719,129.0
468,720,129.0
469,721,129.0
470,722,129.0
471,723,129.0
472,724,129.0
473,725,129.0
474,726,129.0
475,727,129.0
476,728,129.0
477,729,129.0
478,730,129.0
479,731,129.0
480,732,129.0
481,733,129.0
482,734,129.0
483,735,129.0
484,736,129.0
485,737,129.0
486,738,129.0
487,739,129.0
488,740,130.0
489,741,130.0
490,742,130.0
491,743,130.0
492,744,130.0
493,745,130.0
494,746,130.0
495,747,130.0
496,748,130.0
497,749,130.0
498,750,130.0
499,751,130.0
500,752,130.0
501,753,130.0
502,754,130.0
503,755,130.0
504,756,130.0
505,757,130.0
506,758,130.0
507,759,130.0
508,760,130.0
509,761,130.0
510,762,130.0
511,763,130.0
512,764,130.0
513,765,130.0
514,766,130.0
515,767,130.0
516,768,130.0
517,769,130.0
518,770,130.0
519,771,130.0
520,772,130.0
521,773,130.0
522,774,130.0
523,775,130.0
524,776,130.0
525,777,130.0
526,778,130.0
527,779,130.0
528,780,130.0
529,781,130.0
530,782,130.0
531,783,130.0
532,784,130.0
533,785,130.0
534,786,130.0
535,787,130.0
536,788,130.0
537,789,130.0
538,790,130.0
539,791,130.0
540,792,130.0
541,793,130.0
542,794,130.0
543,795,130.0
544,796,130.0
545,797,130.0
546,798,130.0
547,799,130.0
548,800,130.0
549,801,130.0
550,802,130.0
551,803,130.0
552,804,130.0
553,805,130.0
554,806,130.0
555,807,130.0
556,808,130.0
557,809,130.0
558,810,130.0
559,811,130.0
560,812,130.0
561,813,130.0
562,814,130.0
563,815,130.0
564,816,130.0
565,817,130.0
566,818,130.0
567,819,130.0
568,820,130.0
569,821,130.0
570,822,130.0
571,823,130.0
572,824,130.0
573,825,130.0
574,826,130.0
575,827,130.0
576,828,130.0
577,829,130.0
578,830,130.0
579,831,130.0
580,832,130.0
581,833,130.0
582,834,130.0
583,835,130.0
584,836,130.0
585,837,130.0
586,838,130.0
587,839,130.0
588,840,130.0
589,841,130.0
590,842,130.0
591,843,130.0
592,844,130.0
593,845,130.0
594,846,130.0
595,847,130.0
596,848,130.0
597,849,130.0
598,850,130.0
599,851,130.0
600,852,130.0
601,853,130.0
602,854,130.0
603,855,130.0
604,856,130.0
605,857,130.0
606,858,130.0
607,859,130.0
608,860,130.0
609,861,130.0
610,862,130.0
611,863,130.0
612,864,130.0
613,865,130.0
614,866,130.0
615,867,130.0
616,868,130.0
617,869,130.0
618,870,130.0
619,871,130.0
620,872,130.0
621,873,130.0
622,874,130.0
623,875,130.0
624,876,130.0
625,877,130.0
626,878,130.0
627,879,130.0
628,880,130.0
629,881,130.0
630,882,130.0
631,883,130.0
632,884,130.0
633,885,130.0
634,886,130.0
635,887,130.0
636,888,130.0
637,889,130.0
638,890,130.0
639,891,130.0
640,892,130.0
641,893,130.0
642,894,130.0
643,895,130.0
644,896,130.0
645,897,130.0
646,898,130.0
647,899,130.0
648,900,130.0
649,901,130.0
650,902,130.0
651,903,130.0
652,904,130.0
653,905,130.0
654,906,130.0
655,907,130.0
656,908,130.0
657,909,130.0
658,910,130.0
659,911,130.0
660,912,130.0
661,913,130.0
662,914,130.0
663,915,130.0
664,916,130.0
665,917,130.0
666,918,130.0
667,919,130.0
668,920,130.0
669,921,130.0
670,922,130.0
671,923,130.0
672,924,130.0
673,925,130.0
674,926,130.0
675,927,130.0
676,928,130.0
677,929,130.0
678,930,130.0
679,931,130.0
680,932,130.0
681,933,130.0
682,934,130.0
683,935,130.0
684,936,130.0
685,937,130.0
686,938,130.0
687,939,130.0
688,940,130.0
689,941,130.0
690,942,130.0
691,943,130.0
692,944,130.0
693,945,130.0
694,946,130.0
695,947,130.0
696,948,130.0
697,949,130.0
698,950,130.0
699,951,130.0
700,952,130.0
701,953,130.0
702,954,130.0
703,955,132.0
704,956,132.0
705,957,132.0
706,958,132.0
707,959,132.0
708,960,132.0
709,961,132.0
710,962,132.0
711,963,132.0
712,964,132.0
713,965,132.0
714,966,132.0
715,967,132.0
716,968,132.0
717,969,132.0
718,970,132.0
719,971,132.0
720,972,132.0
721,973,132.0
722,974,132.0
723,975,132.0
724,976,132.0
725,977,132.0
726,978,132.0
727,979,132.0
728,980,132.0
729,981,132.0
730,982,132.0
731,983,132.0
732,984,132.0
733,985,132.0
734,986,132.0
735,987,132.0
736,988,132.0
737,989,132.0
738,990,132.0
739,991,132.0
740,992,132.0
741,993,132.0
742,994,132.0
743,995,132.0
744,996,132.0
745,997,132.0
746,998,132.0
747,999,132.0
748,1000,132.0
749,1001,132.0
750,1002,132.0
751,1003,132.0
752,1004,132.0
753,1005,132.0
754,1006,132.0
755,1007,132.0
756,1008,132.0
757,1009,132.0
758,1010,132.0
759,1011,132.0
760,1012,132.0
761,1013,132.0
762,1014,132.0
763,1015,132.0
764,1016,132.0
765,1017,132.0
766,1018,132.0
767,1019,132.0
768,1020,132.0
769,1021,132.0
770,1022,132.0
771,1023,132.0
772,1024,132.0
773,1025,132.0
774,1026,133.0
775,1027,133.0
776,1028,133.0
777,1029,133.0
778,1030,133.0
779,1031,133.0
780,1032,133.0
781,1033,133.0
782,1034,133.0
783,1035,133.0
784,1036,133.0
785,1037,133.0
786,1038,133.0
787,1039,133.0
788,1040,133.0
789,1041,133.0
790,1042,133.0
791,1043,133.0
792,1044,133.0
793,1045,133.0
794,1046,133.0
795,1047,133.0
796,1048,133.0
797,1049,133.0
798,1050,133.0
799,1051,133.0
800,1052,133.0
801,1053,133.0
802,1054,133.0
803,1055,133.0
804,1056,133.0
805,1057,133.0
806,1058,133.0
807,1059,133.0
808,1060,133.0
809,1061,133.0
810,1062,133.0
811,1063,133.0
812,1064,133.0
813,1065,133.0
814,1066,133.0
815,1067,133.0
816,1068,133.0
817,1069,133.0
818,1070,133.0
819,1071,133.0
820,1072,133.0
821,1073,133.0
822,1074,133.0
823,1075,133.0
824,1076,133.0
825,1077,133.0
826,1078,133.0
827,1079,133.0
828,1080,133.0
829,1081,133.0
830,1082,133.0
831,1083,133.0
832,1084,133.0
833,1085,133.0
834,1086,133.0
835,1087,133.0
836,1088,133.0
837,1089,133.0
838,1090,133.0
839,1091,133.0
840,1092,133.0
841,1093,133.0
842,1094,133.0
843,1095,133.0
844,1096,133.0
845,1097,133.0
846,1098,133.0
847,1099,133.0
848,1100,133.0
849,1101,133.0
850,1102,133.0
851,1103,133.0
852,1104,133.0
853,1105,133.0
854,1106,133.0
855,1107,133.0
856,1108,133.0
857,1109,133.0
858,1110,133.0
859,1111,133.0
860,1112,133.0
861,1113,133.0
862,1114,133.0
863,1115,133.0
864,1116,133.0
865,1117,133.0
866,1118,133.0
867,1119,133.0
868,1120,133.0
869,1121,133.0
870,1122,133.0
871,1123,133.0
872,1124,133.0
873,1125,133.0
874,1126,133.0
875,1127,133.0
876,1128,133.0
877,1129,133.0
878,1130,133.0
879,1131,133.0
880,1132,133.0
881,1133,133.0
882,1134,133.0
883,1135,133.0
884,1136,133.0
885,1137,133.0
886,1138,133.0
887,1139,133.0
888,1140,133.0
889,1141,133.0
890,1142,133.0
891,1143,133.0
892,1144,133.0
893,1145,133.0
894,1146,133.0
895,1147,133.0
896,1148,133.0
897,1149,133.0
898,1150,133.0
899,1151,133.0
900,1152,133.0
901,1153,133.0
902,1154,133.0
903,1155,133.0
904,1156,133.0
905,1157,133.0
906,1158,133.0
907,1159,133.0
908,1160,133.0
909,1161,133.0
910,1162,133.0
911,1163,133.0
912,1164,133.0
913,1165,133.0
914,1166,133.0
915,1167,133.0
916,1168,133.0
917,1169,133.0
918,1170,133.0
919,1171,133.0
920,1172,133.0
921,1173,133.0
922,1174,133.0
923,1175,133.0
924,1176,133.0
925,1177,133.0
926,1178,133.0
927,1179,133.0
928,1180,133.0
929,1181,133.0
930,1182,133.0
931,1183,133.0
932,1184,133.0
933,1185,133.0
934,1186,133.0
935,1187,133.0
936,1188,133.0
937,1189,133.0
938,1190,133.0
939,1191,133.0
940,1192,133.0
941,1193,133.0
942,1194,133.0
943,1195,133.0
944,1196,133.0
945,1197,133.0
946,1198,133.0
947,1199,133.0
948,1200,133.0
949,1201,133.0
950,1202,133.0
951,1203,133.0
952,1204,133.0
953,1205,133.0
954,1206,133.0
955,1207,133.0
956,1208,133.0
957,1209,133.0
958,1210,133.0
959,1211,133.0
960,1212,133.0
961,1213,133.0
962,1214,133.0
963,1215,133.0
964,1216,133.0
965,1217,133.0
966,1218,133.0
967,1219,133.0
968,1220,133.0
969,1221,133.0
970,1222,133.0
971,1223,133.0
972,1224,133.0
973,1225,133.0
974,1226,133.0
975,1227,134.0
976,1228,134.0
977,1229,134.0
978,1230,134.0
979,1231,134.0
980,1232,134.0
981,1233,134.0
982,1234,134.0
983,1235,134.0
984,1236,134.0
985,1237,134.0
986,1238,134.0
987,1239,134.0
988,1240,134.0
989,1241,134.0
990,1242,134.0
991,1243,134.0
992,1244,134.0
993,1245,134.0
994,1246,134.0
995,1247,134.0
996,1248,134.0
997,1249,134.0
998,1250,134.0
999,1251,134.0
1000,1252,134.0
1001,1253,134.0
1002,1254,134.0
1003,1255,134.0
1004,1256,134.0
1005,1257,134.0
1006,1258,134.0
1007,1259,134.0
1008,1260,134.0
1009,1261,134.0
1010,1262,134.0
1011,1263,134.0
1012,1264,134.0
1013,1265,134.0
1014,1266,134.0
1015,1267,134.0
1016,1268,134.0
1017,1269,134.0
1018,1270,134.0
1019,1271,136.0
1020,1272,136.0
1021,1273,136.0
1022,1274,136.0
1023,1275,136.0
1024,1276,136.0
1025,1277,136.0
1026,1278,136.0
1027,1279,136.0
1028,1280,136.0
1029,1281,136.0
1030,1282,136.0
1031,1283,136.0
1032,1284,136.0
1033,1285,136.0
1034,1286,136.0
1035,1287,136.0
1036,1288,136.0
1037,1289,136.0
1038,1290,136.0
1039,1291,136.0
1040,1292,136.0
1041,1293,136.0
1042,1294,136.0
1043,1295,136.0
1044,1296,136.0
1045,1297,136.0
1046,1298,136.0
1047,1299,136.0
1048,1300,136.0
1049,1301,136.0
1050,1302,136.0
1051,1303,136.0
1052,1304,136.0
1053,1305,136.0
1054,1306,136.0
1055,1307,136.0
1056,1308,136.0
1057,1309,136.0
1058,1310,136.0
1059,1311,136.0
1060,1312,136.0
1061,1313,136.0
1062,1314,136.0
1063,1315,136.0
1064,1316,136.0
1065,1317,136.0
1066,1318,136.0
1067,1319,136.0
1068,1320,136.0
1069,1321,136.0
1070,1322,136.0
1071,1323,136.0
1072,1324,136.0
1073,1325,136.0
1074,1326,136.0
1075,1327,136.0
1076,1328,136.0
1077,1329,136.0
1078,1330,136.0
1079,1331,136.0
1080,1332,136.0
1081,1333,136.0
1082,1334,136.0
1083,1335,136.0
1084,1336,136.0
1085,1337,136.0
1086,1338,136.0
1087,1339,136.0
1088,1340,136.0
1089,1341,136.0
1090,1342,136.0
1091,1343,136.0
1092,1344,136.0
1093,1345,136.0
1094,1346,136.0
1095,1347,136.0
1096,1348,136.0
1097,1349,136.0
1098,1350,136.0
1099,1351,136.0
1100,1352,136.0
1101,1353,136.0
1102,1354,136.0
1103,1355,136.0
1104,1356,136.0
1105,1357,136.0
1106,1358,136.0
1107,1359,136.0
1108,1360,136.0
1109,1361,136.0
1110,1362,136.0
1111,1363,136.0
1112,1364,138.0
1113,1365,138.0
1114,1366,138.0
1115,1367,138.0
1116,1368,138.0
1117,1369,138.0
1118,1370,138.0
1119,1371,138.0
1120,1372,138.0
1121,1373,138.0
1122,1374,138.0
1123,1375,138.0
1124,1376,138.0
1125,1377,138.0
1126,1378,138.0
1127,1379,138.0
1128,1380,138.0
1129,1381,138.0
1130,1382,138.0
1131,1383,138.0
1132,1384,138.0
1133,1385,138.0
1134,1386,138.0
1135,1387,138.0
1136,1388,138.0
1137,1389,138.0
1138,1390,138.0
1139,1391,138.0
1140,1392,138.0
1141,1393,138.0
1142,1394,138.0
1143,1395,138.0
1144,1396,138.0
1145,1397,138.0
1146,1398,138.0
1147,1399,138.0
1148,1400,138.0
1149,1401,138.0
1150,1402,138.0
1151,1403,138.0
1152,1404,138.0
1153,1405,138.0
1154,1406,138.0
1155,1407,138.0
1156,1408,138.0
1157,1409,138.0
1158,1410,138.0
1159,1411,138.0
1160,1412,138.0
1161,1413,138.0
1162,1414,138.0
1163,1415,138.0
1164,1416,138.0
1165,1417,138.0
1166,1418,138.0
1167,1419,138.0
1168,1420,138.0
1169,1421,138.0
1170,1422,138.0
1171,1423,138.0
1172,1424,138.0
1173,1425,138.0
1174,1426,138.0
1175,1427,138.0
1176,1428,138.0
1177,1429,138.0
1178,1430,138.0
1179,1431,138.0
1180,1432,138.0
1181,1433,138.0
1182,1434,138.0
1183,1435,138.0
1184,1436,138.0
1185,1437,138.0
1186,1438,138.0
1187,1439,138.0
1188,1440,138.0
1189,1441,138.0
1190,1442,138.0
1191,1443,138.0
1192,1444,138.0
1193,1445,138.0
1194,1446,138.0
1195,1447,138.0
1196,1448,138.0
1197,1449,138.0
1198,1450,138.0
1199,1451,138.0
