iters,fevals,fitness
0,2,62.0
1,4,62.0
2,6,62.0
3,9,65.0
4,11,65.0
5,13,65.0
6,15,65.0
7,17,65.0
8,19,65.0
9,21,65.0
10,23,65.0
11,25,65.0
12,27,65.0
13,29,67.0
14,31,67.0
15,33,67.0
16,35,67.0
17,37,67.0
18,39,67.0
19,41,67.0
20,43,67.0
21,45,67.0
22,47,67.0
23,49,67.0
24,51,67.0
25,53,67.0
26,55,67.0
27,57,67.0
28,59,67.0
29,61,67.0
30,63,67.0
31,65,67.0
32,67,67.0
33,69,67.0
34,71,67.0
35,73,67.0
36,75,67.0
37,77,67.0
38,79,67.0
39,82,72.0
40,84,72.0
41,86,72.0
42,88,72.0
43,90,72.0
44,92,72.0
45,94,72.0
46,96,72.0
47,98,72.0
48,100,72.0
49,102,72.0
50,104,72.0
51,106,72.0
52,108,72.0
53,110,72.0
54,112,72.0
55,114,72.0
56,116,72.0
57,118,72.0
58,120,72.0
59,122,72.0
60,124,72.0
61,126,72.0
62,128,72.0
63,130,72.0
64,132,72.0
65,134,72.0
66,136,72.0
67,138,73.0
68,140,73.0
69,142,73.0
70,144,74.0
71,146,74.0
72,148,74.0
73,150,74.0
74,152,74.0
75,154,74.0
76,156,74.0
77,158,74.0
78,160,74.0
79,162,74.0
80,164,74.0
81,166,74.0
82,168,74.0
83,170,74.0
84,172,74.0
85,174,74.0
86,176,74.0
87,178,74.0
88,180,74.0
89,182,74.0
90,184,74.0
91,186,74.0
92,188,74.0
93,190,74.0
94,192,76.0
95,194,76.0
96,196,76.0
97,198,76.0
98,200,76.0
99,202,76.0
100,204,76.0
101,206,76.0
102,208,76.0
103,210,76.0
104,212,76.0
105,214,76.0
106,216,76.0
107,218,76.0
108,220,76.0
109,222,76.0
110,224,76.0
111,226,76.0
112,228,76.0
113,230,76.0
114,232,76.0
115,234,76.0
116,236,76.0
117,238,76.0
118,241,79.0
119,243,79.0
120,245,79.0
121,247,79.0
122,249,79.0
123,251,79.0
124,253,79.0
125,255,79.0
126,257,79.0
127,259,79.0
128,261,79.0
129,263,79.0
130,265,79.0
131,267,79.0
132,269,79.0
133,271,79.0
134,273,79.0
135,275,79.0
136,277,79.0
137,279,79.0
138,281,79.0
139,283,79.0
140,285,79.0
141,287,79.0
142,289,79.0
143,291,79.0
144,293,79.0
145,295,79.0
146,297,79.0
147,299,79.0
148,301,79.0
149,303,79.0
150,305,79.0
151,307,79.0
152,309,79.0
153,311,79.0
154,313,79.0
155,315,79.0
156,317,79.0
157,319,79.0
158,321,79.0
159,323,79.0
160,325,79.0
161,327,79.0
162,329,79.0
163,331,79.0
164,333,79.0
165,335,79.0
166,337,79.0
167,339,79.0
168,341,79.0
169,343,79.0
170,345,79.0
171,347,79.0
172,349,79.0
173,351,79.0
174,353,79.0
175,355,79.0
176,357,79.0
177,359,79.0
178,361,79.0
179,363,79.0
180,365,79.0
181,367,79.0
182,369,79.0
183,371,79.0
184,373,79.0
185,375,79.0
186,377,79.0
187,379,79.0
188,381,79.0
189,383,79.0
190,385,79.0
191,387,79.0
192,389,79.0
193,391,79.0
194,393,79.0
195,395,79.0
196,397,79.0
197,399,79.0
198,401,79.0
199,403,79.0
200,405,79.0
201,407,79.0
202,409,79.0
203,411,79.0
204,413,79.0
205,415,79.0
206,417,79.0
207,419,79.0
208,421,79.0
209,423,79.0
210,425,79.0
211,427,79.0
212,429,79.0
213,431,79.0
214,433,79.0
215,435,79.0
216,437,79.0
217,439,79.0
218,441,79.0
219,443,79.0
220,445,79.0
221,447,79.0
222,449,79.0
223,451,79.0
224,453,79.0
225,455,79.0
226,457,79.0
227,459,79.0
