iters,fevals,fitness
0,2,126.0
1,4,126.0
2,6,126.0
3,8,126.0
4,10,126.0
5,12,126.0
6,14,126.0
7,16,126.0
8,18,126.0
9,20,127.0
10,22,127.0
11,24,127.0
12,26,127.0
13,28,127.0
14,30,127.0
15,32,127.0
16,34,127.0
17,36,127.0
18,38,127.0
19,40,127.0
20,42,127.0
21,44,127.0
22,46,127.0
23,48,127.0
24,50,127.0
25,52,127.0
26,54,127.0
27,56,127.0
28,58,127.0
29,60,127.0
30,62,127.0
31,64,127.0
32,66,127.0
33,68,127.0
34,70,127.0
35,72,127.0
36,74,127.0
37,76,127.0
38,78,127.0
39,80,127.0
40,82,127.0
41,84,127.0
42,86,127.0
43,88,127.0
44,90,127.0
45,92,127.0
46,94,127.0
47,96,127.0
48,98,127.0
49,100,127.0
50,102,127.0
51,104,127.0
52,106,127.0
53,108,127.0
54,110,127.0
55,112,127.0
56,114,127.0
57,116,127.0
58,118,127.0
59,121,126.0
60,123,126.0
61,125,126.0
62,127,125.0
63,129,125.0
64,131,125.0
65,133,125.0
66,135,125.0
67,137,125.0
68,139,125.0
69,141,125.0
70,143,125.0
71,145,125.0
72,147,125.0
73,149,125.0
74,151,125.0
75,153,125.0
76,155,125.0
77,157,125.0
78,160,126.0
79,162,126.0
80,164,126.0
81,166,126.0
82,168,126.0
83,170,126.0
84,172,126.0
85,174,126.0
86,176,126.0
87,178,126.0
88,180,126.0
89,182,126.0
90,184,126.0
91,186,126.0
92,188,126.0
93,190,126.0
94,192,126.0
95,194,126.0
96,196,126.0
97,198,126.0
98,200,126.0
99,202,126.0
100,204,126.0
101,206,126.0
102,208,126.0
103,210,126.0
104,212,126.0
105,214,126.0
106,216,126.0
107,218,126.0
108,220,126.0
109,222,126.0
110,224,126.0
111,226,126.0
112,228,126.0
113,230,126.0
114,232,126.0
115,234,126.0
116,236,125.0
117,238,125.0
118,240,125.0
119,242,125.0
120,244,125.0
121,246,125.0
122,248,125.0
123,250,125.0
124,252,125.0
125,254,125.0
126,256,125.0
127,258,125.0
128,260,125.0
129,262,125.0
130,264,125.0
131,266,125.0
132,268,125.0
133,270,125.0
134,273,127.0
135,275,127.0
136,277,127.0
137,279,127.0
138,281,127.0
139,283,127.0
140,285,127.0
141,287,127.0
142,289,127.0
143,291,127.0
144,293,127.0
145,295,127.0
146,297,127.0
147,299,127.0
148,301,127.0
149,303,127.0
150,305,127.0
151,307,127.0
152,309,127.0
153,311,127.0
154,313,127.0
155,315,127.0
156,317,127.0
157,319,127.0
158,321,127.0
159,323,127.0
160,325,127.0
161,327,127.0
162,329,127.0
163,331,127.0
164,333,127.0
165,336,125.0
166,338,125.0
167,340,125.0
168,342,125.0
169,344,125.0
170,346,125.0
171,348,125.0
172,350,125.0
173,352,125.0
174,354,125.0
175,356,125.0
176,358,125.0
177,360,125.0
178,362,125.0
179,364,125.0
180,366,125.0
181,368,125.0
182,370,125.0
183,372,125.0
184,374,125.0
185,376,125.0
186,378,125.0
187,380,125.0
188,382,125.0
189,384,125.0
190,387,126.0
191,389,126.0
192,392,125.0
193,394,125.0
194,396,125.0
195,399,128.0
196,401,128.0
197,403,128.0
198,405,128.0
199,407,128.0
200,409,128.0
201,411,128.0
202,413,128.0
203,415,128.0
204,417,128.0
205,419,128.0
206,421,128.0
207,423,128.0
208,425,128.0
209,427,128.0
210,429,128.0
211,431,128.0
212,433,128.0
213,435,128.0
214,437,128.0
215,439,128.0
216,441,128.0
217,443,128.0
218,445,128.0
219,447,128.0
220,449,128.0
221,451,128.0
222,453,128.0
223,455,128.0
224,457,128.0
225,459,128.0
226,461,128.0
227,463,128.0
228,465,128.0
229,467,128.0
230,469,128.0
231,471,128.0
232,473,128.0
233,475,128.0
234,477,128.0
235,479,128.0
236,481,128.0
237,483,128.0
238,485,128.0
239,487,128.0
240,489,127.0
241,491,127.0
242,493,127.0
243,495,127.0
244,497,127.0
245,499,127.0
246,500,127.0
247,501,127.0
248,502,127.0
249,503,127.0
250,504,127.0
251,505,127.0
252,506,127.0
253,507,127.0
254,508,127.0
255,509,127.0
256,510,127.0
257,511,127.0
258,512,127.0
259,513,127.0
260,514,127.0
261,515,127.0
262,516,127.0
263,517,127.0
264,518,127.0
265,519,127.0
266,520,127.0
267,521,127.0
268,522,127.0
269,523,127.0
270,524,127.0
271,525,127.0
272,526,127.0
273,527,127.0
274,528,127.0
275,529,127.0
276,530,127.0
277,531,127.0
278,532,127.0
279,533,127.0
280,534,127.0
281,535,127.0
282,536,127.0
283,537,127.0
284,538,127.0
285,539,127.0
286,540,127.0
287,541,127.0
288,542,127.0
289,543,127.0
290,544,127.0
291,545,127.0
292,546,127.0
293,547,127.0
294,548,127.0
295,549,127.0
296,550,127.0
297,551,127.0
298,552,127.0
299,553,127.0
300,554,127.0
301,555,127.0
302,556,127.0
303,557,127.0
304,558,127.0
305,559,127.0
306,560,127.0
307,561,127.0
308,562,127.0
309,563,127.0
310,564,127.0
311,565,127.0
312,566,127.0
313,567,127.0
314,568,127.0
315,569,127.0
316,570,127.0
317,571,127.0
318,572,127.0
319,573,127.0
320,574,127.0
321,575,127.0
322,576,127.0
323,577,127.0
324,578,127.0
325,579,127.0
326,580,127.0
327,581,127.0
328,582,127.0
329,583,127.0
330,584,127.0
331,585,127.0
332,586,127.0
333,587,127.0
334,588,127.0
335,589,127.0
336,590,127.0
337,591,127.0
338,592,127.0
339,593,127.0
340,594,127.0
341,595,127.0
342,596,127.0
343,597,127.0
344,598,127.0
345,599,127.0
346,600,127.0
347,601,127.0
348,602,127.0
349,603,127.0
350,604,127.0
351,605,127.0
352,606,127.0
353,607,127.0
354,608,127.0
355,609,127.0
356,610,127.0
357,611,127.0
358,612,127.0
359,613,127.0
360,614,127.0
361,615,127.0
362,616,127.0
363,617,127.0
364,618,127.0
365,619,127.0
366,620,127.0
367,621,127.0
368,622,127.0
369,623,127.0
370,624,127.0
371,625,127.0
372,626,127.0
373,627,127.0
374,628,127.0
375,629,127.0
376,630,127.0
377,631,127.0
378,632,127.0
379,633,127.0
380,634,127.0
381,635,127.0
382,636,127.0
383,637,127.0
384,638,127.0
385,639,127.0
386,640,127.0
387,641,127.0
388,642,127.0
389,643,127.0
390,644,127.0
391,645,127.0
392,646,127.0
393,647,127.0
394,648,127.0
395,649,127.0
396,650,127.0
397,651,127.0
398,652,127.0
399,653,127.0
400,654,127.0
401,655,127.0
402,656,127.0
403,657,127.0
404,658,127.0
405,659,127.0
406,660,127.0
407,661,131.0
408,662,131.0
409,663,131.0
410,664,131.0
411,665,131.0
412,666,131.0
413,667,131.0
414,668,131.0
415,669,131.0
416,670,131.0
417,671,131.0
418,672,131.0
419,673,131.0
420,674,131.0
421,675,131.0
422,676,131.0
423,677,131.0
424,678,131.0
425,679,131.0
426,680,131.0
427,681,131.0
428,682,131.0
429,683,132.0
430,684,132.0
431,685,132.0
432,686,132.0
433,687,132.0
434,688,132.0
435,689,132.0
436,690,132.0
437,691,132.0
438,692,132.0
439,693,132.0
440,694,132.0
441,695,132.0
442,696,132.0
443,697,132.0
444,698,132.0
445,699,132.0
446,700,132.0
447,701,132.0
448,702,132.0
449,703,132.0
450,704,132.0
451,705,132.0
452,706,132.0
453,707,132.0
454,708,132.0
455,709,132.0
456,710,132.0
457,711,132.0
458,712,132.0
459,713,132.0
460,714,132.0
461,715,132.0
462,716,132.0
463,717,132.0
464,718,132.0
465,719,132.0
466,720,132.0
467,721,132.0
468,722,132.0
469,723,132.0
470,724,132.0
471,725,132.0
472,726,132.0
473,727,132.0
474,728,132.0
475,729,132.0
476,730,132.0
477,731,132.0
478,732,132.0
479,733,132.0
480,734,132.0
481,735,132.0
482,736,132.0
483,737,132.0
484,738,132.0
485,739,132.0
486,740,132.0
487,741,132.0
488,742,132.0
489,743,132.0
490,744,132.0
491,745,132.0
492,746,132.0
493,747,132.0
494,748,132.0
495,749,132.0
496,750,132.0
497,751,132.0
498,752,132.0
499,753,132.0
500,754,132.0
501,755,132.0
502,756,132.0
503,757,132.0
504,758,132.0
505,759,132.0
506,760,132.0
507,761,132.0
508,762,132.0
509,763,132.0
510,764,132.0
511,765,132.0
512,766,132.0
513,767,132.0
514,768,132.0
515,769,132.0
516,770,132.0
517,771,132.0
518,772,132.0
519,773,132.0
520,774,132.0
521,775,132.0
522,776,132.0
523,777,132.0
524,778,132.0
525,779,132.0
526,780,132.0
527,781,132.0
528,782,132.0
529,783,132.0
530,784,132.0
531,785,132.0
532,786,132.0
533,787,132.0
534,788,132.0
535,789,132.0
536,790,132.0
537,791,132.0
538,792,132.0
539,793,132.0
540,794,132.0
541,795,132.0
542,796,132.0
543,797,132.0
544,798,132.0
545,799,132.0
546,800,132.0
547,801,132.0
548,802,132.0
549,803,132.0
550,804,132.0
551,805,132.0
552,806,132.0
553,807,132.0
554,808,132.0
555,809,132.0
556,810,132.0
557,811,132.0
558,812,132.0
559,813,132.0
560,814,132.0
561,815,132.0
562,816,132.0
563,817,132.0
564,818,132.0
565,819,132.0
566,820,132.0
567,821,132.0
568,822,132.0
569,823,132.0
570,824,132.0
571,825,132.0
572,826,132.0
573,827,132.0
574,828,132.0
575,829,132.0
576,830,132.0
577,831,132.0
578,832,132.0
579,833,132.0
580,834,132.0
581,835,132.0
582,836,132.0
583,837,132.0
584,838,132.0
585,839,132.0
586,840,132.0
587,841,132.0
588,842,132.0
589,843,132.0
590,844,132.0
591,845,132.0
592,846,132.0
593,847,132.0
594,848,132.0
595,849,132.0
596,850,132.0
597,851,132.0
598,852,132.0
599,853,132.0
600,854,132.0
601,855,132.0
602,856,132.0
603,857,132.0
604,858,132.0
605,859,132.0
606,860,132.0
607,861,132.0
608,862,132.0
609,863,132.0
610,864,132.0
611,865,132.0
612,866,132.0
613,867,132.0
614,868,132.0
615,869,132.0
616,870,132.0
617,871,132.0
618,872,132.0
619,873,132.0
620,874,132.0
621,875,132.0
622,876,132.0
623,877,132.0
624,878,132.0
625,879,132.0
626,880,132.0
627,881,132.0
628,882,132.0
629,883,132.0
630,884,132.0
631,885,132.0
632,886,132.0
633,887,132.0
634,888,132.0
635,889,132.0
636,890,132.0
637,891,132.0
638,892,132.0
639,893,132.0
640,894,132.0
641,895,132.0
642,896,132.0
643,897,132.0
644,898,132.0
645,899,132.0
646,900,132.0
647,901,132.0
648,902,132.0
649,903,136.0
650,904,136.0
651,905,136.0
652,906,136.0
653,907,136.0
654,908,139.0
655,909,139.0
656,910,139.0
657,911,139.0
658,912,139.0
659,913,139.0
660,914,139.0
661,915,139.0
662,916,139.0
663,917,139.0
664,918,139.0
665,919,139.0
666,920,139.0
667,921,139.0
668,922,139.0
669,923,139.0
670,924,139.0
671,925,139.0
672,926,139.0
673,927,139.0
674,928,139.0
675,929,139.0
676,930,139.0
677,931,139.0
678,932,139.0
679,933,139.0
680,934,139.0
681,935,139.0
682,936,139.0
683,937,139.0
684,938,139.0
685,939,139.0
686,940,139.0
687,941,139.0
688,942,139.0
689,943,139.0
690,944,141.0
691,945,141.0
692,946,141.0
693,947,141.0
694,948,141.0
695,949,141.0
696,950,143.0
697,951,143.0
698,952,143.0
699,953,143.0
700,954,143.0
701,955,143.0
702,956,143.0
703,957,143.0
704,958,143.0
705,959,143.0
706,960,143.0
707,961,143.0
708,962,143.0
709,963,143.0
710,964,143.0
711,965,143.0
712,966,143.0
713,967,143.0
714,968,143.0
715,969,143.0
716,970,143.0
717,971,143.0
718,972,143.0
719,973,143.0
720,974,143.0
721,975,143.0
722,976,143.0
723,977,143.0
724,978,143.0
725,979,143.0
726,980,147.0
727,981,147.0
728,982,147.0
729,983,147.0
730,984,147.0
731,985,147.0
732,986,147.0
733,987,147.0
734,988,147.0
735,989,147.0
736,990,147.0
737,991,147.0
738,992,147.0
739,993,147.0
740,994,147.0
741,995,147.0
742,996,147.0
743,997,147.0
744,998,147.0
745,999,147.0
746,1000,147.0
747,1001,147.0
748,1002,147.0
749,1003,147.0
750,1004,147.0
751,1005,147.0
752,1006,147.0
753,1007,147.0
754,1008,147.0
755,1009,147.0
756,1010,147.0
757,1011,147.0
758,1012,147.0
759,1013,147.0
760,1014,147.0
761,1015,147.0
762,1016,147.0
763,1017,147.0
764,1018,147.0
765,1019,147.0
766,1020,147.0
767,1021,147.0
768,1022,147.0
769,1023,147.0
770,1024,147.0
771,1025,147.0
772,1026,147.0
773,1027,147.0
774,1028,147.0
775,1029,147.0
776,1030,147.0
777,1031,147.0
778,1032,147.0
779,1033,147.0
780,1034,147.0
781,1035,147.0
782,1036,147.0
783,1037,147.0
784,1038,147.0
785,1039,147.0
786,1040,147.0
787,1041,147.0
788,1042,147.0
789,1043,147.0
790,1044,147.0
791,1045,147.0
792,1046,147.0
793,1047,147.0
794,1048,147.0
795,1049,147.0
796,1050,147.0
797,1051,147.0
798,1052,147.0
799,1053,147.0
800,1054,147.0
801,1055,147.0
802,1056,147.0
803,1057,147.0
804,1058,147.0
805,1059,147.0
806,1060,147.0
807,1061,147.0
808,1062,147.0
809,1063,147.0
810,1064,147.0
811,1065,147.0
812,1066,147.0
813,1067,147.0
814,1068,147.0
815,1069,147.0
816,1070,150.0
817,1071,151.0
818,1072,151.0
819,1073,151.0
820,1074,151.0
821,1075,151.0
822,1076,151.0
823,1077,151.0
824,1078,151.0
825,1079,151.0
826,1080,151.0
827,1081,151.0
828,1082,151.0
829,1083,151.0
830,1084,151.0
831,1085,151.0
832,1086,151.0
833,1087,151.0
834,1088,151.0
835,1089,151.0
836,1090,151.0
837,1091,151.0
838,1092,151.0
839,1093,151.0
840,1094,151.0
841,1095,151.0
842,1096,151.0
843,1097,151.0
844,1098,151.0
845,1099,151.0
846,1100,151.0
847,1101,151.0
848,1102,151.0
849,1103,151.0
850,1104,151.0
851,1105,151.0
852,1106,151.0
853,1107,151.0
854,1108,151.0
855,1109,151.0
856,1110,151.0
857,1111,151.0
858,1112,151.0
859,1113,151.0
860,1114,151.0
861,1115,151.0
862,1116,151.0
863,1117,151.0
864,1118,151.0
865,1119,151.0
866,1120,151.0
867,1121,151.0
868,1122,151.0
869,1123,151.0
870,1124,151.0
871,1125,151.0
872,1126,151.0
873,1127,151.0
874,1128,151.0
875,1129,151.0
876,1130,151.0
877,1131,151.0
878,1132,151.0
879,1133,151.0
880,1134,151.0
881,1135,151.0
882,1136,152.0
883,1137,152.0
884,1138,152.0
885,1139,152.0
886,1140,152.0
887,1141,152.0
888,1142,152.0
889,1143,152.0
890,1144,152.0
891,1145,152.0
892,1146,152.0
893,1147,152.0
894,1148,152.0
895,1149,152.0
896,1150,152.0
897,1151,152.0
898,1152,152.0
899,1153,152.0
900,1154,152.0
901,1155,152.0
902,1156,152.0
903,1157,152.0
904,1158,152.0
905,1159,152.0
906,1160,152.0
907,1161,152.0
908,1162,152.0
909,1163,152.0
910,1164,152.0
911,1165,152.0
912,1166,152.0
913,1167,152.0
914,1168,152.0
915,1169,152.0
916,1170,152.0
917,1171,152.0
918,1172,152.0
919,1173,152.0
920,1174,152.0
921,1175,152.0
922,1176,152.0
923,1177,152.0
924,1178,152.0
925,1179,152.0
926,1180,152.0
927,1181,152.0
928,1182,152.0
929,1183,152.0
930,1184,152.0
931,1185,152.0
932,1186,152.0
933,1187,153.0
934,1188,153.0
935,1189,153.0
936,1190,153.0
937,1191,153.0
938,1192,153.0
939,1193,155.0
940,1194,155.0
941,1195,155.0
942,1196,155.0
943,1197,155.0
944,1198,155.0
945,1199,155.0
946,1200,155.0
947,1201,155.0
948,1202,155.0
949,1203,155.0
950,1204,155.0
951,1205,155.0
952,1206,155.0
953,1207,155.0
954,1208,155.0
955,1209,155.0
956,1210,155.0
957,1211,155.0
958,1212,155.0
959,1213,155.0
960,1214,155.0
961,1215,155.0
962,1216,155.0
963,1217,155.0
964,1218,155.0
965,1219,155.0
966,1220,155.0
967,1221,155.0
968,1222,155.0
969,1223,155.0
970,1224,155.0
971,1225,155.0
972,1226,155.0
973,1227,155.0
974,1228,155.0
975,1229,155.0
976,1230,155.0
977,1231,155.0
978,1232,155.0
979,1233,155.0
980,1234,155.0
981,1235,155.0
982,1236,155.0
983,1237,155.0
984,1238,155.0
985,1239,155.0
986,1240,155.0
987,1241,155.0
988,1242,155.0
989,1243,155.0
990,1244,155.0
991,1245,155.0
992,1246,155.0
993,1247,155.0
994,1248,155.0
995,1249,155.0
996,1250,155.0
997,1251,155.0
998,1252,155.0
999,1253,155.0
1000,1254,155.0
1001,1255,155.0
1002,1256,155.0
1003,1257,155.0
1004,1258,155.0
1005,1259,155.0
1006,1260,155.0
1007,1261,155.0
1008,1262,155.0
1009,1263,155.0
1010,1264,155.0
1011,1265,155.0
1012,1266,155.0
1013,1267,155.0
1014,1268,155.0
1015,1269,155.0
1016,1270,155.0
1017,1271,155.0
1018,1272,155.0
1019,1273,155.0
1020,1274,155.0
1021,1275,155.0
1022,1276,155.0
1023,1277,155.0
1024,1278,155.0
1025,1279,155.0
1026,1280,155.0
1027,1281,155.0
1028,1282,155.0
1029,1283,155.0
1030,1284,155.0
1031,1285,155.0
1032,1286,155.0
1033,1287,155.0
1034,1288,155.0
1035,1289,155.0
1036,1290,155.0
1037,1291,155.0
1038,1292,155.0
1039,1293,155.0
1040,1294,155.0
1041,1295,155.0
1042,1296,155.0
1043,1297,155.0
1044,1298,155.0
1045,1299,155.0
1046,1300,155.0
1047,1301,155.0
1048,1302,155.0
1049,1303,155.0
1050,1304,155.0
1051,1305,155.0
1052,1306,155.0
1053,1307,155.0
1054,1308,155.0
1055,1309,155.0
1056,1310,155.0
1057,1311,155.0
1058,1312,155.0
1059,1313,155.0
1060,1314,155.0
1061,1315,155.0
1062,1316,155.0
1063,1317,155.0
1064,1318,155.0
1065,1319,155.0
1066,1320,155.0
1067,1321,155.0
1068,1322,155.0
1069,1323,155.0
1070,1324,155.0
1071,1325,155.0
1072,1326,155.0
1073,1327,155.0
1074,1328,155.0
1075,1329,155.0
1076,1330,155.0
1077,1331,155.0
1078,1332,155.0
1079,1333,155.0
1080,1334,155.0
1081,1335,155.0
1082,1336,155.0
1083,1337,155.0
1084,1338,155.0
1085,1339,155.0
1086,1340,155.0
1087,1341,155.0
1088,1342,155.0
1089,1343,155.0
1090,1344,155.0
1091,1345,155.0
1092,1346,155.0
1093,1347,155.0
1094,1348,155.0
1095,1349,155.0
1096,1350,155.0
1097,1351,155.0
1098,1352,155.0
1099,1353,155.0
1100,1354,155.0
1101,1355,155.0
1102,1356,155.0
1103,1357,155.0
1104,1358,155.0
1105,1359,155.0
1106,1360,155.0
1107,1361,155.0
1108,1362,155.0
1109,1363,155.0
1110,1364,155.0
1111,1365,155.0
1112,1366,155.0
1113,1367,155.0
1114,1368,155.0
1115,1369,155.0
1116,1370,155.0
1117,1371,157.0
1118,1372,157.0
1119,1373,157.0
1120,1374,157.0
1121,1375,157.0
1122,1376,157.0
1123,1377,157.0
1124,1378,157.0
1125,1379,157.0
1126,1380,157.0
1127,1381,157.0
1128,1382,157.0
1129,1383,157.0
1130,1384,157.0
1131,1385,157.0
1132,1386,157.0
1133,1387,157.0
1134,1388,157.0
1135,1389,157.0
1136,1390,157.0
1137,1391,157.0
1138,1392,157.0
1139,1393,157.0
1140,1394,157.0
1141,1395,157.0
1142,1396,157.0
1143,1397,157.0
1144,1398,157.0
1145,1399,157.0
1146,1400,157.0
1147,1401,157.0
1148,1402,157.0
1149,1403,157.0
1150,1404,157.0
1151,1405,157.0
1152,1406,157.0
1153,1407,157.0
1154,1408,157.0
1155,1409,157.0
1156,1410,157.0
1157,1411,157.0
1158,1412,157.0
1159,1413,157.0
1160,1414,157.0
1161,1415,157.0
1162,1416,157.0
1163,1417,157.0
1164,1418,157.0
1165,1419,157.0
1166,1420,157.0
1167,1421,157.0
1168,1422,157.0
1169,1423,157.0
1170,1424,157.0
1171,1425,157.0
1172,1426,157.0
1173,1427,157.0
1174,1428,157.0
1175,1429,157.0
1176,1430,157.0
1177,1431,157.0
1178,1432,157.0
1179,1433,157.0
1180,1434,157.0
1181,1435,157.0
1182,1436,157.0
1183,1437,157.0
1184,1438,157.0
1185,1439,157.0
1186,1440,157.0
1187,1441,157.0
1188,1442,157.0
1189,1443,157.0
1190,1444,157.0
1191,1445,157.0
1192,1446,157.0
1193,1447,157.0
1194,1448,157.0
1195,1449,157.0
1196,1450,157.0
1197,1451,157.0
1198,1452,157.0
1199,1453,157.0
