iters,fevals,fitness
0,2,54.0
1,4,54.0
2,7,55.0
3,9,55.0
4,11,55.0
5,13,55.0
6,15,55.0
7,17,55.0
8,19,55.0
9,21,55.0
10,23,55.0
11,25,55.0
12,27,55.0
13,29,55.0
14,31,55.0
15,33,55.0
16,35,55.0
17,38,56.0
18,40,56.0
19,43,55.0
20,45,55.0
21,47,55.0
22,49,55.0
23,51,55.0
24,53,55.0
25,55,55.0
26,57,55.0
27,61,59.0
28,63,59.0
29,65,59.0
30,67,59.0
31,70,58.0
32,72,58.0
33,74,58.0
34,76,57.0
35,78,57.0
36,80,57.0
37,82,57.0
38,84,57.0
39,87,56.0
40,89,54.0
41,91,54.0
42,93,54.0
43,95,54.0
44,97,54.0
45,99,54.0
46,102,57.0
47,104,57.0
48,106,57.0
49,108,57.0
50,110,57.0
51,113,62.0
52,116,56.0
53,118,56.0
54,120,55.0
55,122,55.0
56,124,55.0
57,126,55.0
58,128,55.0
59,130,55.0
60,132,55.0
61,134,55.0
62,136,55.0
63,138,55.0
64,140,55.0
65,142,55.0
66,144,55.0
67,146,55.0
68,148,55.0
69,150,55.0
70,152,55.0
71,154,55.0
72,156,55.0
73,158,55.0
74,160,55.0
75,162,55.0
76,165,57.0
77,167,57.0
78,169,57.0
79,171,57.0
80,173,57.0
81,176,56.0
82,179,54.0
83,181,54.0
84,183,54.0
85,185,54.0
86,187,55.0
87,189,55.0
88,191,55.0
89,193,55.0
90,196,60.0
91,198,60.0
92,201,57.0
93,203,57.0
94,205,57.0
95,207,57.0
96,209,56.0
97,211,54.0
98,213,54.0
99,215,54.0
100,217,54.0
101,219,54.0
102,221,54.0
103,223,54.0
104,225,54.0
105,227,54.0
106,229,54.0
107,231,54.0
108,233,54.0
109,235,54.0
110,237,54.0
111,239,54.0
112,241,54.0
113,243,54.0
114,246,55.0
115,248,55.0
116,250,55.0
117,252,55.0
118,254,55.0
119,256,59.0
120,258,59.0
121,261,55.0
122,263,55.0
123,265,55.0
124,267,55.0
125,269,55.0
126,271,55.0
127,273,55.0
128,275,55.0
129,278,54.0
130,280,54.0
131,282,57.0
132,284,57.0
133,286,57.0
134,288,57.0
135,290,57.0
136,292,57.0
137,294,57.0
138,296,57.0
139,298,57.0
140,300,58.0
141,302,58.0
142,304,58.0
143,306,58.0
144,308,58.0
145,310,58.0
146,312,58.0
147,314,58.0
148,316,58.0
149,318,58.0
150,320,58.0
151,322,58.0
152,324,58.0
153,326,58.0
154,328,58.0
155,330,58.0
156,333,56.0
157,335,56.0
158,337,56.0
159,340,58.0
160,342,58.0
161,344,58.0
162,346,58.0
163,348,58.0
164,351,56.0
165,353,54.0
166,355,54.0
167,357,54.0
168,360,53.0
169,362,53.0
170,364,53.0
171,366,55.0
172,368,55.0
173,370,55.0
174,372,55.0
175,374,55.0
176,376,55.0
177,378,55.0
178,380,55.0
179,382,55.0
180,384,55.0
181,386,55.0
182,388,58.0
183,390,58.0
184,392,59.0
185,395,57.0
186,397,57.0
187,399,57.0
188,401,57.0
189,403,57.0
190,405,57.0
191,407,57.0
192,409,57.0
193,411,57.0
194,413,57.0
195,415,57.0
196,417,55.0
197,419,55.0
198,421,55.0
199,423,55.0
200,425,55.0
201,427,55.0
202,429,55.0
203,431,55.0
204,433,55.0
205,436,54.0
206,438,54.0
207,440,54.0
208,444,55.0
209,446,55.0
210,448,55.0
211,450,55.0
212,452,55.0
213,455,54.0
214,457,54.0
215,460,56.0
216,462,56.0
217,464,56.0
218,466,56.0
219,468,56.0
220,470,56.0
221,472,56.0
222,474,60.0
223,476,60.0
224,478,60.0
225,480,60.0
226,482,60.0
227,484,60.0
228,486,60.0
229,488,60.0
230,490,60.0
231,492,60.0
232,494,60.0
233,496,60.0
234,498,60.0
235,500,60.0
236,501,60.0
237,502,60.0
238,503,60.0
239,504,60.0
240,505,60.0
241,506,60.0
242,507,60.0
243,508,60.0
244,509,60.0
245,510,60.0
246,511,60.0
247,512,60.0
248,513,60.0
249,514,60.0
250,515,60.0
251,516,60.0
252,517,60.0
253,518,60.0
254,519,60.0
