iters,fevals,fitness,time
0,2,107.0,0.003999948501586914
1,4,107.0,0.003999948501586914
2,6,107.0,0.003999948501586914
3,8,107.0,0.003999948501586914
4,10,107.0,0.003999948501586914
5,12,107.0,0.004999876022338867
6,14,107.0,0.004999876022338867
7,16,107.0,0.004999876022338867
8,18,107.0,0.004999876022338867
9,20,107.0,0.004999876022338867
10,22,107.0,0.004999876022338867
11,24,107.0,0.004999876022338867
12,26,107.0,0.004999876022338867
13,28,107.0,0.004999876022338867
14,30,107.0,0.004999876022338867
15,32,107.0,0.004999876022338867
16,34,107.0,0.004999876022338867
17,36,107.0,0.004999876022338867
18,38,107.0,0.004999876022338867
19,40,107.0,0.004999876022338867
20,42,107.0,0.004999876022338867
21,44,107.0,0.004999876022338867
22,46,107.0,0.004999876022338867
23,48,107.0,0.004999876022338867
24,50,107.0,0.004999876022338867
25,52,107.0,0.004999876022338867
26,54,107.0,0.004999876022338867
27,56,107.0,0.004999876022338867
28,58,107.0,0.004999876022338867
29,60,107.0,0.004999876022338867
30,62,107.0,0.004999876022338867
31,64,107.0,0.004999876022338867
32,66,107.0,0.004999876022338867
33,68,107.0,0.004999876022338867
34,70,107.0,0.004999876022338867
35,72,107.0,0.004999876022338867
36,74,107.0,0.004999876022338867
37,76,107.0,0.004999876022338867
38,78,107.0,0.004999876022338867
39,80,107.0,0.004999876022338867
40,82,107.0,0.006000041961669922
41,84,107.0,0.006000041961669922
42,86,107.0,0.006000041961669922
43,88,107.0,0.006000041961669922
44,90,107.0,0.006000041961669922
45,92,107.0,0.006000041961669922
46,94,107.0,0.006000041961669922
47,96,107.0,0.006000041961669922
48,98,107.0,0.006000041961669922
49,100,108.0,0.006000041961669922
50,102,108.0,0.006000041961669922
51,104,108.0,0.006000041961669922
52,106,108.0,0.006000041961669922
53,108,108.0,0.006000041961669922
54,110,108.0,0.006000041961669922
55,113,107.0,0.006000041961669922
56,115,107.0,0.006000041961669922
57,117,107.0,0.006000041961669922
58,119,107.0,0.006000041961669922
59,121,107.0,0.006000041961669922
60,123,107.0,0.006000041961669922
61,125,105.0,0.006000041961669922
62,127,105.0,0.006000041961669922
63,129,105.0,0.006000041961669922
64,131,105.0,0.006000041961669922
65,133,105.0,0.006000041961669922
66,135,106.0,0.006000041961669922
67,137,106.0,0.006000041961669922
68,139,106.0,0.006000041961669922
69,141,106.0,0.006000041961669922
70,143,106.0,0.006000041961669922
71,145,106.0,0.006000041961669922
72,147,106.0,0.006000041961669922
73,149,106.0,0.006000041961669922
74,151,106.0,0.006000041961669922
75,155,107.0,0.006000041961669922
76,157,107.0,0.006000041961669922
77,159,107.0,0.006000041961669922
78,161,107.0,0.006000041961669922
79,163,107.0,0.006000041961669922
80,165,107.0,0.006000041961669922
81,167,107.0,0.006000041961669922
82,169,106.0,0.006000041961669922
83,171,106.0,0.006000041961669922
84,173,106.0,0.006000041961669922
85,175,106.0,0.006000041961669922
86,177,106.0,0.006000041961669922
87,179,105.0,0.006000041961669922
88,181,105.0,0.006000041961669922
89,183,105.0,0.006000041961669922
90,185,105.0,0.006000041961669922
91,187,105.0,0.006000041961669922
92,189,105.0,0.006000041961669922
93,191,105.0,0.006000041961669922
94,194,106.0,0.006000041961669922
95,196,106.0,0.006000041961669922
96,198,106.0,0.006000041961669922
97,200,106.0,0.006000041961669922
98,202,106.0,0.006000041961669922
99,204,106.0,0.006999969482421875
100,206,106.0,0.006999969482421875
101,208,106.0,0.006999969482421875
102,210,106.0,0.006999969482421875
103,212,106.0,0.006999969482421875
104,214,106.0,0.006999969482421875
105,216,106.0,0.006999969482421875
106,218,106.0,0.006999969482421875
107,220,106.0,0.006999969482421875
108,222,106.0,0.006999969482421875
109,224,106.0,0.006999969482421875
110,226,106.0,0.006999969482421875
111,228,106.0,0.006999969482421875
112,231,107.0,0.006999969482421875
113,233,107.0,0.006999969482421875
114,235,107.0,0.006999969482421875
115,237,107.0,0.006999969482421875
116,239,107.0,0.006999969482421875
117,241,107.0,0.006999969482421875
118,243,107.0,0.006999969482421875
119,245,107.0,0.006999969482421875
120,247,107.0,0.006999969482421875
121,249,107.0,0.006999969482421875
122,251,107.0,0.006999969482421875
123,253,110.0,0.006999969482421875
124,255,110.0,0.006999969482421875
125,257,110.0,0.006999969482421875
126,259,110.0,0.006999969482421875
127,261,110.0,0.006999969482421875
128,263,110.0,0.006999969482421875
129,265,110.0,0.006999969482421875
130,267,110.0,0.006999969482421875
131,269,110.0,0.006999969482421875
132,271,110.0,0.006999969482421875
133,273,110.0,0.006999969482421875
134,275,110.0,0.006999969482421875
135,278,110.0,0.006999969482421875
136,280,110.0,0.006999969482421875
137,282,110.0,0.006999969482421875
138,284,110.0,0.006999969482421875
139,286,110.0,0.006999969482421875
140,288,110.0,0.006999969482421875
141,290,110.0,0.006999969482421875
142,292,110.0,0.006999969482421875
143,294,110.0,0.006999969482421875
144,296,108.0,0.006999969482421875
145,298,108.0,0.006999969482421875
146,300,107.0,0.006999969482421875
147,303,106.0,0.006999969482421875
148,305,106.0,0.006999969482421875
149,307,106.0,0.006999969482421875
150,309,106.0,0.006999969482421875
151,311,106.0,0.006999969482421875
152,313,106.0,0.006999969482421875
153,315,106.0,0.006999969482421875
154,317,106.0,0.006999969482421875
155,319,106.0,0.006999969482421875
156,321,106.0,0.006999969482421875
157,323,106.0,0.006999969482421875
158,325,106.0,0.006999969482421875
159,328,105.0,0.006999969482421875
160,330,105.0,0.006999969482421875
161,332,105.0,0.006999969482421875
162,334,105.0,0.006999969482421875
163,336,105.0,0.006999969482421875
164,338,105.0,0.006999969482421875
165,340,105.0,0.006999969482421875
166,342,105.0,0.006999969482421875
167,344,105.0,0.006999969482421875
168,347,106.0,0.007999897003173828
169,349,106.0,0.007999897003173828
170,351,106.0,0.007999897003173828
171,353,106.0,0.007999897003173828
172,356,107.0,0.007999897003173828
173,358,107.0,0.007999897003173828
174,360,107.0,0.007999897003173828
175,362,107.0,0.007999897003173828
176,364,107.0,0.007999897003173828
177,366,107.0,0.007999897003173828
178,368,107.0,0.007999897003173828
179,370,107.0,0.007999897003173828
180,372,107.0,0.007999897003173828
181,374,107.0,0.007999897003173828
182,376,107.0,0.007999897003173828
183,378,107.0,0.007999897003173828
184,380,107.0,0.007999897003173828
185,382,107.0,0.007999897003173828
186,384,107.0,0.007999897003173828
187,386,107.0,0.007999897003173828
188,388,107.0,0.007999897003173828
189,390,107.0,0.007999897003173828
190,392,107.0,0.007999897003173828
191,394,107.0,0.007999897003173828
192,396,107.0,0.007999897003173828
193,398,107.0,0.007999897003173828
194,400,107.0,0.007999897003173828
195,402,107.0,0.007999897003173828
196,404,107.0,0.007999897003173828
197,407,106.0,0.007999897003173828
198,410,109.0,0.007999897003173828
199,412,109.0,0.007999897003173828
200,414,109.0,0.007999897003173828
201,416,109.0,0.007999897003173828
202,418,109.0,0.007999897003173828
203,420,109.0,0.007999897003173828
204,422,109.0,0.007999897003173828
205,424,109.0,0.007999897003173828
206,426,109.0,0.007999897003173828
207,428,109.0,0.007999897003173828
208,430,109.0,0.007999897003173828
209,432,109.0,0.007999897003173828
210,434,109.0,0.007999897003173828
211,436,109.0,0.007999897003173828
212,438,109.0,0.007999897003173828
213,440,109.0,0.007999897003173828
214,442,109.0,0.007999897003173828
215,444,109.0,0.007999897003173828
216,446,109.0,0.007999897003173828
217,448,109.0,0.007999897003173828
218,450,109.0,0.007999897003173828
219,452,109.0,0.007999897003173828
220,454,109.0,0.007999897003173828
221,456,109.0,0.007999897003173828
222,458,109.0,0.007999897003173828
223,460,109.0,0.007999897003173828
224,462,109.0,0.007999897003173828
225,464,109.0,0.007999897003173828
226,466,109.0,0.007999897003173828
227,468,109.0,0.007999897003173828
228,470,109.0,0.007999897003173828
229,472,109.0,0.007999897003173828
230,474,109.0,0.007999897003173828
231,476,109.0,0.007999897003173828
232,478,109.0,0.007999897003173828
233,480,109.0,0.008999824523925781
234,482,109.0,0.008999824523925781
235,484,109.0,0.008999824523925781
236,486,109.0,0.008999824523925781
237,488,109.0,0.008999824523925781
238,490,109.0,0.008999824523925781
239,492,109.0,0.008999824523925781
240,494,109.0,0.008999824523925781
241,496,109.0,0.008999824523925781
242,498,109.0,0.008999824523925781
243,500,109.0,0.008999824523925781
244,501,109.0,0.008999824523925781
245,502,109.0,0.008999824523925781
246,503,109.0,0.008999824523925781
247,504,109.0,0.008999824523925781
248,505,109.0,0.008999824523925781
249,506,109.0,0.008999824523925781
250,507,109.0,0.008999824523925781
251,508,109.0,0.008999824523925781
252,509,109.0,0.008999824523925781
253,510,109.0,0.008999824523925781
254,511,109.0,0.008999824523925781
255,512,109.0,0.008999824523925781
256,513,109.0,0.008999824523925781
257,514,109.0,0.008999824523925781
258,515,109.0,0.008999824523925781
259,516,109.0,0.008999824523925781
260,517,109.0,0.008999824523925781
261,518,109.0,0.008999824523925781
262,519,109.0,0.008999824523925781
263,520,109.0,0.008999824523925781
264,521,109.0,0.008999824523925781
265,522,109.0,0.008999824523925781
266,523,109.0,0.008999824523925781
267,524,109.0,0.008999824523925781
268,525,109.0,0.008999824523925781
269,526,109.0,0.008999824523925781
270,527,109.0,0.008999824523925781
271,528,109.0,0.008999824523925781
272,529,109.0,0.008999824523925781
273,530,109.0,0.008999824523925781
274,531,109.0,0.008999824523925781
275,532,109.0,0.008999824523925781
276,533,109.0,0.008999824523925781
277,534,109.0,0.008999824523925781
278,535,109.0,0.008999824523925781
279,536,109.0,0.008999824523925781
280,537,109.0,0.008999824523925781
281,538,109.0,0.008999824523925781
282,539,109.0,0.008999824523925781
283,540,109.0,0.008999824523925781
284,541,109.0,0.008999824523925781
285,542,109.0,0.008999824523925781
286,543,109.0,0.008999824523925781
287,544,109.0,0.008999824523925781
288,545,109.0,0.008999824523925781
289,546,109.0,0.008999824523925781
290,547,109.0,0.008999824523925781
291,548,109.0,0.008999824523925781
292,549,109.0,0.008999824523925781
293,550,109.0,0.008999824523925781
294,551,109.0,0.008999824523925781
295,552,109.0,0.008999824523925781
296,553,109.0,0.008999824523925781
297,554,109.0,0.008999824523925781
298,555,109.0,0.008999824523925781
299,556,109.0,0.008999824523925781
300,557,109.0,0.008999824523925781
301,558,109.0,0.008999824523925781
302,559,109.0,0.008999824523925781
303,560,109.0,0.008999824523925781
304,561,109.0,0.008999824523925781
305,562,109.0,0.008999824523925781
306,563,109.0,0.008999824523925781
307,564,109.0,0.008999824523925781
308,565,109.0,0.008999824523925781
309,566,109.0,0.008999824523925781
310,567,109.0,0.008999824523925781
311,568,109.0,0.008999824523925781
312,569,109.0,0.008999824523925781
313,570,109.0,0.008999824523925781
314,571,109.0,0.008999824523925781
315,572,109.0,0.008999824523925781
316,573,109.0,0.008999824523925781
317,574,109.0,0.008999824523925781
318,575,109.0,0.008999824523925781
319,576,109.0,0.008999824523925781
320,577,109.0,0.008999824523925781
321,578,109.0,0.008999824523925781
322,579,109.0,0.008999824523925781
323,580,109.0,0.008999824523925781
324,581,109.0,0.008999824523925781
325,582,109.0,0.008999824523925781
326,583,109.0,0.008999824523925781
327,584,109.0,0.008999824523925781
328,585,109.0,0.008999824523925781
329,586,109.0,0.008999824523925781
330,587,109.0,0.009999990463256836
331,588,109.0,0.009999990463256836
332,589,109.0,0.009999990463256836
333,590,109.0,0.009999990463256836
334,591,109.0,0.009999990463256836
335,592,109.0,0.009999990463256836
336,593,109.0,0.009999990463256836
337,594,109.0,0.009999990463256836
338,595,109.0,0.009999990463256836
339,596,109.0,0.009999990463256836
340,597,109.0,0.009999990463256836
341,598,109.0,0.009999990463256836
342,599,109.0,0.009999990463256836
343,600,109.0,0.009999990463256836
344,601,109.0,0.009999990463256836
345,602,109.0,0.009999990463256836
346,603,109.0,0.009999990463256836
347,604,109.0,0.009999990463256836
348,605,109.0,0.009999990463256836
349,606,109.0,0.009999990463256836
350,607,109.0,0.009999990463256836
351,608,109.0,0.009999990463256836
352,609,109.0,0.009999990463256836
353,610,109.0,0.009999990463256836
354,611,109.0,0.009999990463256836
355,612,109.0,0.009999990463256836
356,613,109.0,0.009999990463256836
357,614,109.0,0.009999990463256836
358,615,109.0,0.009999990463256836
359,616,110.0,0.009999990463256836
360,617,110.0,0.009999990463256836
361,618,110.0,0.009999990463256836
362,619,110.0,0.009999990463256836
363,620,110.0,0.009999990463256836
364,621,110.0,0.009999990463256836
365,622,110.0,0.009999990463256836
366,623,110.0,0.009999990463256836
367,624,110.0,0.009999990463256836
368,625,110.0,0.009999990463256836
369,626,110.0,0.009999990463256836
370,627,110.0,0.009999990463256836
371,628,110.0,0.009999990463256836
372,629,110.0,0.009999990463256836
373,630,110.0,0.009999990463256836
374,631,110.0,0.009999990463256836
375,632,110.0,0.009999990463256836
376,633,110.0,0.009999990463256836
377,634,110.0,0.009999990463256836
378,635,110.0,0.009999990463256836
379,636,110.0,0.009999990463256836
380,637,110.0,0.009999990463256836
381,638,110.0,0.009999990463256836
382,639,110.0,0.009999990463256836
383,640,110.0,0.009999990463256836
384,641,110.0,0.009999990463256836
385,642,111.0,0.009999990463256836
386,643,111.0,0.009999990463256836
387,644,111.0,0.009999990463256836
388,645,111.0,0.009999990463256836
389,646,111.0,0.009999990463256836
390,647,111.0,0.009999990463256836
391,648,111.0,0.009999990463256836
392,649,111.0,0.009999990463256836
393,650,111.0,0.009999990463256836
394,651,111.0,0.009999990463256836
395,652,111.0,0.009999990463256836
396,653,111.0,0.009999990463256836
397,654,111.0,0.009999990463256836
398,655,111.0,0.009999990463256836
399,656,111.0,0.009999990463256836
400,657,111.0,0.009999990463256836
401,658,111.0,0.009999990463256836
402,659,111.0,0.009999990463256836
403,660,111.0,0.009999990463256836
404,661,111.0,0.009999990463256836
405,662,111.0,0.009999990463256836
406,663,111.0,0.009999990463256836
407,664,111.0,0.010999917984008789
408,665,111.0,0.010999917984008789
409,666,111.0,0.010999917984008789
410,667,111.0,0.010999917984008789
411,668,111.0,0.010999917984008789
412,669,111.0,0.010999917984008789
413,670,111.0,0.010999917984008789
414,671,111.0,0.010999917984008789
415,672,111.0,0.010999917984008789
416,673,111.0,0.010999917984008789
417,674,111.0,0.010999917984008789
418,675,111.0,0.010999917984008789
419,676,111.0,0.010999917984008789
420,677,111.0,0.010999917984008789
421,678,111.0,0.010999917984008789
422,679,111.0,0.010999917984008789
423,680,111.0,0.010999917984008789
424,681,111.0,0.010999917984008789
425,682,111.0,0.010999917984008789
426,683,111.0,0.010999917984008789
427,684,111.0,0.010999917984008789
428,685,111.0,0.010999917984008789
429,686,111.0,0.010999917984008789
430,687,111.0,0.010999917984008789
431,688,111.0,0.010999917984008789
432,689,111.0,0.010999917984008789
433,690,111.0,0.010999917984008789
434,691,111.0,0.010999917984008789
435,692,111.0,0.010999917984008789
436,693,111.0,0.010999917984008789
437,694,111.0,0.010999917984008789
438,695,111.0,0.010999917984008789
439,696,111.0,0.010999917984008789
440,697,111.0,0.010999917984008789
441,698,111.0,0.010999917984008789
442,699,111.0,0.010999917984008789
443,700,111.0,0.010999917984008789
444,701,111.0,0.010999917984008789
445,702,111.0,0.010999917984008789
446,703,111.0,0.010999917984008789
447,704,111.0,0.010999917984008789
448,705,111.0,0.010999917984008789
449,706,111.0,0.010999917984008789
450,707,111.0,0.010999917984008789
451,708,111.0,0.010999917984008789
452,709,111.0,0.010999917984008789
453,710,111.0,0.010999917984008789
454,711,111.0,0.010999917984008789
455,712,111.0,0.010999917984008789
456,713,111.0,0.010999917984008789
457,714,111.0,0.010999917984008789
458,715,111.0,0.010999917984008789
459,716,111.0,0.010999917984008789
460,717,111.0,0.010999917984008789
461,718,111.0,0.010999917984008789
462,719,111.0,0.010999917984008789
463,720,111.0,0.010999917984008789
464,721,111.0,0.010999917984008789
465,722,111.0,0.010999917984008789
466,723,111.0,0.010999917984008789
467,724,111.0,0.010999917984008789
468,725,111.0,0.010999917984008789
469,726,111.0,0.010999917984008789
470,727,111.0,0.010999917984008789
471,728,111.0,0.010999917984008789
472,729,111.0,0.010999917984008789
473,730,111.0,0.010999917984008789
474,731,111.0,0.010999917984008789
475,732,111.0,0.010999917984008789
476,733,111.0,0.010999917984008789
477,734,111.0,0.010999917984008789
478,735,111.0,0.010999917984008789
479,736,111.0,0.010999917984008789
480,737,111.0,0.010999917984008789
481,738,111.0,0.010999917984008789
482,739,111.0,0.011999845504760742
483,740,111.0,0.011999845504760742
484,741,111.0,0.011999845504760742
485,742,111.0,0.011999845504760742
486,743,111.0,0.011999845504760742
487,744,111.0,0.011999845504760742
488,745,111.0,0.011999845504760742
489,746,111.0,0.011999845504760742
490,747,111.0,0.011999845504760742
491,748,111.0,0.011999845504760742
492,749,111.0,0.011999845504760742
493,750,111.0,0.011999845504760742
494,751,111.0,0.011999845504760742
495,752,111.0,0.011999845504760742
496,753,111.0,0.011999845504760742
497,754,111.0,0.011999845504760742
498,755,111.0,0.011999845504760742
499,756,111.0,0.011999845504760742
500,757,111.0,0.011999845504760742
501,758,111.0,0.011999845504760742
502,759,111.0,0.011999845504760742
503,760,111.0,0.011999845504760742
504,761,111.0,0.011999845504760742
505,762,111.0,0.011999845504760742
506,763,111.0,0.011999845504760742
507,764,111.0,0.011999845504760742
508,765,111.0,0.011999845504760742
509,766,111.0,0.011999845504760742
510,767,111.0,0.011999845504760742
511,768,111.0,0.011999845504760742
512,769,111.0,0.011999845504760742
513,770,111.0,0.011999845504760742
514,771,111.0,0.011999845504760742
515,772,111.0,0.011999845504760742
516,773,111.0,0.011999845504760742
517,774,111.0,0.011999845504760742
518,775,111.0,0.011999845504760742
519,776,111.0,0.011999845504760742
520,777,111.0,0.011999845504760742
521,778,111.0,0.011999845504760742
522,779,111.0,0.011999845504760742
523,780,111.0,0.011999845504760742
524,781,111.0,0.011999845504760742
525,782,111.0,0.011999845504760742
526,783,111.0,0.011999845504760742
527,784,111.0,0.011999845504760742
528,785,116.0,0.011999845504760742
529,786,116.0,0.011999845504760742
530,787,116.0,0.011999845504760742
531,788,116.0,0.011999845504760742
532,789,116.0,0.011999845504760742
533,790,116.0,0.011999845504760742
534,791,116.0,0.011999845504760742
535,792,116.0,0.011999845504760742
536,793,116.0,0.011999845504760742
537,794,116.0,0.011999845504760742
538,795,116.0,0.011999845504760742
539,796,116.0,0.011999845504760742
540,797,116.0,0.011999845504760742
541,798,116.0,0.011999845504760742
542,799,116.0,0.011999845504760742
543,800,116.0,0.011999845504760742
544,801,116.0,0.011999845504760742
545,802,116.0,0.011999845504760742
546,803,116.0,0.011999845504760742
547,804,116.0,0.011999845504760742
548,805,116.0,0.011999845504760742
549,806,116.0,0.011999845504760742
550,807,116.0,0.011999845504760742
551,808,116.0,0.011999845504760742
552,809,116.0,0.011999845504760742
553,810,116.0,0.011999845504760742
554,811,116.0,0.011999845504760742
555,812,116.0,0.011999845504760742
