iters,fevals,fitness,time
0,400,171.0,0.05000019073486328
1,1800,171.0,0.14800000190734863
2,2400,171.0,0.17200016975402832
3,3000,171.0,0.19700002670288086
4,3600,171.0,0.22300004959106445
5,4200,171.0,0.25
6,4800,171.0,0.27700018882751465
7,5400,170.0,0.3040001392364502
8,6000,178.0,0.32899999618530273
9,6600,171.0,0.3510000705718994
10,7200,171.0,0.3730001449584961
11,7800,171.0,0.3950002193450928
12,8400,171.0,0.4180002212524414
13,9000,170.0,0.440000057220459
14,9600,171.0,0.4610002040863037
15,10200,171.0,0.4830000400543213
16,10800,180.0,0.5060000419616699
17,11400,173.0,0.5270001888275146
18,12000,180.0,0.5470001697540283
19,12600,180.0,0.567000150680542
20,13200,180.0,0.5860002040863037
21,13800,172.0,0.6050000190734863
22,14400,172.0,0.624000072479248
23,15000,181.0,0.6430001258850098
24,16000,174.0,0.6780002117156982
25,16600,179.0,0.6980001926422119
26,17200,182.0,0.7170000076293945
27,17800,183.0,0.7320001125335693
28,18400,182.0,0.7470002174377441
29,19000,173.0,0.7620000839233398
30,19600,173.0,0.7770001888275146
31,20200,182.0,0.7930002212524414
32,20800,173.0,0.8080000877380371
33,21400,182.0,0.8220000267028809
34,22000,174.0,0.8380000591278076
35,22600,175.0,0.8540000915527344
36,23200,179.0,0.8700001239776611
37,23800,175.0,0.8870000839233398
38,24400,179.0,0.9040000438690186
39,25000,179.0,0.9200000762939453
40,25600,179.0,0.9360001087188721
41,26200,179.0,0.9520001411437988
42,26800,184.0,0.9680001735687256
43,27400,179.0,0.9850001335144043
44,28000,175.0,1.001000165939331
45,28800,177.0,1.0250000953674316
46,29400,180.0,1.0420000553131104
47,30000,180.0,1.058000087738037
48,30600,180.0,1.0740001201629639
49,31200,181.0,1.0900001525878906
50,31800,175.0,1.1070001125335693
51,32400,177.0,1.123000144958496
52,33000,180.0,1.1380000114440918
53,33600,179.0,1.1540000438690186
54,34200,175.0,1.1700000762939453
55,34800,176.0,1.186000108718872
56,35400,176.0,1.2020001411437988
57,36000,176.0,1.2180001735687256
58,36600,180.0,1.2340002059936523
59,37200,178.0,1.251000165939331
60,37800,180.0,1.2680001258850098
61,38400,180.0,1.2840001583099365
62,39000,177.0,1.3000001907348633
63,39600,180.0,1.31600022315979
64,40200,180.0,1.3330001831054688
65,40800,184.0,1.3500001430511475
66,41600,188.0,1.374000072479248
67,42200,189.0,1.3900001049041748
68,42800,188.0,1.4050002098083496
69,43400,188.0,1.4190001487731934
70,44000,185.0,1.434000015258789
71,44600,188.0,1.4490001201629639
72,45600,198.0,1.4780001640319824
73,46200,190.0,1.4940001964569092
74,46800,191.0,1.510000228881836
75,47400,192.0,1.5250000953674316
76,48000,192.0,1.5400002002716064
77,48600,189.0,1.558000087738037
78,49200,191.0,1.5750000476837158
79,49800,189.0,1.5910000801086426
80,50400,191.0,1.6050000190734863
81,51000,189.0,1.6200001239776611
82,51600,189.0,1.636000156402588
83,52200,191.0,1.6510000228881836
84,52800,192.0,1.6670000553131104
85,53400,191.0,1.6820001602172852
86,54000,189.0,1.6990001201629639
87,54600,189.0,1.7140002250671387
88,55200,191.0,1.7290000915527344
89,55800,192.0,1.7440001964569092
90,56400,191.0,1.760000228881836
91,57000,192.0,1.7760000228881836
92,57600,192.0,1.7920000553131104
93,58200,194.0,1.809000015258789
94,58800,194.0,1.8260002136230469
95,59400,192.0,1.8420000076293945
96,60000,192.0,1.8580000400543213
97,60800,193.0,1.880000114440918
98,61400,194.0,1.8950002193450928
99,62000,195.0,1.9100000858306885
100,62600,195.0,1.9260001182556152
101,63200,193.0,1.942000150680542
102,63800,195.0,1.9590001106262207
103,64400,192.0,1.9740002155303955
104,65000,193.0,1.9890000820159912
105,65600,195.0,2.004000186920166
106,66200,196.0,2.0200002193450928
107,67200,199.0,2.0510001182556152
108,67800,199.0,2.068000078201294
109,68400,198.0,2.0870001316070557
110,69000,199.0,2.1060001850128174
111,69600,202.0,2.124000072479248
112,70200,202.0,2.142000198364258
113,71200,205.0,2.1720001697540283
114,71800,205.0,2.189000129699707
115,72400,205.0,2.2039999961853027
116,73000,206.0,2.2200000286102295
117,73600,203.0,2.2350001335144043
118,74200,206.0,2.251000165939331
119,74800,202.0,2.267000198364258
120,75400,205.0,2.2820000648498535
121,76000,206.0,2.2980000972747803
122,76600,205.0,2.317000150680542
123,77200,206.0,2.3360002040863037
124,77800,205.0,2.3560001850128174
125,78400,205.0,2.374000072479248
126,79000,205.0,2.390000104904175
127,79600,203.0,2.4050002098083496
128,80200,203.0,2.4200000762939453
129,80800,202.0,2.436000108718872
130,81400,206.0,2.452000141143799
131,82000,205.0,2.4670000076293945
132,82600,202.0,2.4820001125335693
133,83200,205.0,2.497000217437744
134,83800,206.0,2.513000011444092
135,84400,202.0,2.5280001163482666
136,85000,205.0,2.5440001487731934
137,85600,207.0,2.564000129699707
138,86200,205.0,2.5850000381469727
139,87000,206.0,2.615000009536743
140,87600,206.0,2.635000228881836
141,88200,205.0,2.6540000438690186
142,88800,205.0,2.6720001697540283
143,89400,205.0,2.687000036239624
144,90000,205.0,2.703000068664551
145,90600,205.0,2.7190001010894775
146,91200,204.0,2.7350001335144043
147,91800,205.0,2.752000093460083
148,92400,204.0,2.7680001258850098
149,93000,203.0,2.7860000133514404
150,93600,203.0,2.8010001182556152
151,94200,203.0,2.818000078201294
152,94800,205.0,2.8360002040863037
153,95400,204.0,2.8519999980926514
154,96000,208.0,2.869000196456909
155,96800,208.0,2.8930001258850098
156,97400,208.0,2.9090001583099365
157,98000,208.0,2.9250001907348633
158,98600,208.0,2.943000078201294
159,99200,208.0,2.9590001106262207
160,99800,207.0,2.9780001640319824
161,100400,207.0,2.994000196456909
162,101000,208.0,3.011000156402588
163,101600,208.0,3.0270001888275146
164,102200,207.0,3.0440001487731934
165,102800,208.0,3.061000108718872
166,103400,208.0,3.078000068664551
167,104000,208.0,3.0940001010894775
168,104600,208.0,3.1100001335144043
169,105200,208.0,3.126000165939331
170,105800,208.0,3.1410000324249268
171,106400,206.0,3.1570000648498535
172,107000,206.0,3.1710000038146973
173,107600,207.0,3.186000108718872
174,108200,208.0,3.201000213623047
175,108800,208.0,3.2150001525878906
176,109400,206.0,3.2300000190734863
177,110000,207.0,3.245000123977661
178,110600,206.0,3.259000062942505
179,111200,208.0,3.2730000019073486
180,111800,208.0,3.2870001792907715
181,112400,208.0,3.302000045776367
182,113000,208.0,3.31600022315979
183,114000,208.0,3.3450000286102295
