iters,fevals,fitness,time
0,1000,169.0,0.07700014114379883
1,2000,177.0,0.12000012397766113
2,2600,174.0,0.13899993896484375
3,3200,174.0,0.15899991989135742
4,3800,172.0,0.17600011825561523
5,4400,172.0,0.1940000057220459
6,5000,174.0,0.21200013160705566
7,5600,172.0,0.23000001907348633
8,6200,172.0,0.2480001449584961
9,7000,177.0,0.2720000743865967
10,7600,179.0,0.28800010681152344
11,8800,181.0,0.31999993324279785
12,9400,185.0,0.3340001106262207
13,10000,182.0,0.3489999771118164
14,10600,185.0,0.3640000820159912
15,11200,182.0,0.37800002098083496
16,11800,181.0,0.39300012588500977
17,12400,185.0,0.40799999237060547
18,13000,185.0,0.4219999313354492
19,13600,185.0,0.437000036239624
20,14400,186.0,0.46000003814697266
21,15000,187.0,0.4760000705718994
22,15600,186.0,0.49000000953674316
23,16200,188.0,0.505000114440918
24,16800,186.0,0.5199999809265137
25,17400,186.0,0.5339999198913574
26,18400,194.0,0.562999963760376
27,19000,195.0,0.5789999961853027
28,19600,194.0,0.5929999351501465
29,20400,195.0,0.6119999885559082
30,21000,196.0,0.627000093460083
31,22400,205.0,0.6670000553131104
32,23000,205.0,0.6809999942779541
33,23600,204.0,0.6949999332427979
34,24200,204.0,0.7100000381469727
35,24800,204.0,0.7239999771118164
36,25800,205.0,0.750999927520752
37,26400,216.0,0.7660000324249268
38,27000,206.0,0.7799999713897705
39,27600,206.0,0.7950000762939453
40,28200,206.0,0.8090000152587891
41,28800,208.0,0.8229999542236328
42,29400,208.0,0.8370001316070557
43,30000,208.0,0.8510000705718994
44,30600,208.0,0.8650000095367432
45,31200,210.0,0.8789999485015869
46,31800,209.0,0.8930001258850098
47,32400,209.0,0.9079999923706055
48,33000,209.0,0.9230000972747803
49,33600,211.0,0.937999963760376
50,34200,214.0,0.9530000686645508
51,34800,213.0,0.9679999351501465
52,35400,214.0,0.9850001335144043
53,36000,214.0,0.999000072479248
54,36600,214.0,1.0120000839233398
55,37400,215.0,1.0310001373291016
56,38000,215.0,1.0439999103546143
57,38600,213.0,1.056999921798706
58,39200,216.0,1.071000099182129
59,39800,216.0,1.0840001106262207
60,40400,215.0,1.0970001220703125
61,41400,219.0,1.123000144958496
62,42200,223.0,1.1419999599456787
63,42800,223.0,1.1560001373291016
64,43400,223.0,1.1700000762939453
65,44000,223.0,1.184000015258789
66,44800,225.0,1.2049999237060547
67,45400,225.0,1.2179999351501465
68,46000,227.0,1.2320001125335693
69,46600,224.0,1.246000051498413
70,47200,223.0,1.2650001049041748
71,47800,225.0,1.2790000438690186
72,48400,225.0,1.2920000553131104
73,49000,223.0,1.3050000667572021
74,49600,225.0,1.319000005722046
75,50200,223.0,1.3320000171661377
76,50800,223.0,1.3470001220703125
77,51400,223.0,1.3610000610351562
78,52200,227.0,1.380000114440918
79,52800,225.0,1.3930001258850098
80,53400,227.0,1.4060001373291016
81,54000,225.0,1.4200000762939453
82,54600,227.0,1.433000087738037
83,55200,227.0,1.4470000267028809
84,55800,225.0,1.4600000381469727
85,56400,225.0,1.4730000495910645
86,57200,227.0,1.4920001029968262
87,57800,227.0,1.505000114440918
88,58400,229.0,1.5180001258850098
89,59000,227.0,1.5310001373291016
90,59600,229.0,1.5439999103546143
91,60600,230.0,1.5699999332427979
92,61200,229.0,1.5829999446868896
93,61800,230.0,1.5959999561309814
94,62400,230.0,1.6100001335144043
95,63000,230.0,1.623000144958496
96,63600,230.0,1.6370000839233398
97,64200,230.0,1.6510000228881836
98,64800,230.0,1.6640000343322754
99,65400,229.0,1.6779999732971191
100,66000,231.0,1.693000078201294
101,66600,229.0,1.7090001106262207
102,67200,229.0,1.7239999771118164
103,67800,229.0,1.7379999160766602
104,68400,229.0,1.753000020980835
105,69000,229.0,1.7660000324249268
106,69600,230.0,1.7799999713897705
107,70200,229.0,1.7929999828338623
108,70800,230.0,1.806999921798706
109,71400,230.0,1.821000099182129
110,72000,230.0,1.8350000381469727
111,72600,229.0,1.8480000495910645
112,73200,229.0,1.8619999885559082
113,73800,229.0,1.875999927520752
114,74400,229.0,1.8889999389648438
115,75000,229.0,1.9019999504089355
116,75600,229.0,1.9149999618530273
117,76200,229.0,1.9279999732971191
118,76800,230.0,1.940999984741211
119,77400,229.0,1.9549999237060547
120,78000,229.0,1.9679999351501465
121,78600,229.0,1.9830000400543213
122,79200,229.0,1.996000051498413
123,79800,230.0,2.009000062942505
124,80400,229.0,2.0230000019073486
125,81000,230.0,2.0360000133514404
126,81800,231.0,2.055999994277954
127,82400,230.0,2.069999933242798
128,83000,230.0,2.0840001106262207
129,83600,230.0,2.0970001220703125
130,84200,231.0,2.1100001335144043
131,84800,231.0,2.124000072479248
132,85600,233.0,2.1480000019073486
133,86200,232.0,2.1660001277923584
134,86800,234.0,2.184999942779541
135,87800,237.0,2.2190001010894775
136,88400,239.0,2.236999988555908
137,89000,239.0,2.255000114440918
138,89600,240.0,2.2680001258850098
139,90200,237.0,2.2810001373291016
140,90800,237.0,2.2939999103546143
141,91400,239.0,2.308000087738037
142,92000,239.0,2.322000026702881
143,92600,237.0,2.3350000381469727
144,93200,237.0,2.3489999771118164
145,93800,237.0,2.361999988555908
146,94400,237.0,2.375999927520752
