iters,fevals,fitness,time
0,1600,180.0,0.11299991607666016
1,2200,180.0,0.13499999046325684
2,2800,180.0,0.1529998779296875
3,3400,180.0,0.16899991035461426
4,4200,181.0,0.19499993324279785
5,5000,185.0,0.21899986267089844
6,5600,187.0,0.2349998950958252
7,6200,187.0,0.25099992752075195
8,6800,187.0,0.2649998664855957
9,7400,187.0,0.2799999713897705
10,8000,187.0,0.29399991035461426
11,8600,187.0,0.307999849319458
12,9200,187.0,0.32399988174438477
13,9800,187.0,0.33899998664855957
14,10400,187.0,0.35500001907348633
15,11000,189.0,0.36999988555908203
16,12200,191.0,0.4069998264312744
17,12800,192.0,0.4219999313354492
18,13600,196.0,0.4440000057220459
19,14200,192.0,0.4589998722076416
20,14800,195.0,0.4739999771118164
21,15400,196.0,0.4889998435974121
22,16200,198.0,0.5089998245239258
23,17000,198.0,0.5289998054504395
24,17600,198.0,0.5429999828338623
25,18200,198.0,0.556999921798706
26,18800,198.0,0.5709998607635498
27,19400,199.0,0.5849997997283936
28,20000,198.0,0.5979998111724854
29,20600,199.0,0.6119999885559082
30,21200,199.0,0.625999927520752
31,21800,199.0,0.6389999389648438
32,22400,199.0,0.6559998989105225
33,23000,199.0,0.6699998378753662
34,23600,199.0,0.6869997978210449
35,24200,199.0,0.7039999961853027
36,24800,199.0,0.7179999351501465
37,25400,198.0,0.7319998741149902
38,26000,199.0,0.747999906539917
39,26600,198.0,0.7619998455047607
40,27200,199.0,0.7769999504089355
41,27800,199.0,0.7919998168945312
42,28400,199.0,0.8059999942779541
43,29000,199.0,0.8199999332427979
44,29800,200.0,0.8409998416900635
45,30400,200.0,0.8550000190734863
46,31200,200.0,0.875
47,32000,206.0,0.8980000019073486
48,32600,202.0,0.9129998683929443
49,33200,204.0,0.9269998073577881
50,34000,204.0,0.9559998512268066
51,34600,204.0,0.9749999046325684
52,35200,206.0,0.996999979019165
53,35800,210.0,1.0169999599456787
54,36400,210.0,1.0369999408721924
55,37000,210.0,1.059999942779541
56,37600,212.0,1.0849997997283936
57,38200,213.0,1.1009998321533203
58,38800,213.0,1.1159999370574951
59,39400,213.0,1.1299998760223389
60,40000,213.0,1.1449999809265137
61,40600,212.0,1.1589999198913574
62,41200,213.0,1.1729998588562012
63,41800,213.0,1.188999891281128
64,42400,212.0,1.2039999961853027
65,43000,213.0,1.2179999351501465
66,43600,213.0,1.2339999675750732
67,44200,212.0,1.246999979019165
68,44800,213.0,1.2599999904632568
69,45400,212.0,1.2739999294281006
70,46000,212.0,1.2899999618530273
71,46600,212.0,1.303999900817871
72,47200,212.0,1.316999912261963
73,47800,213.0,1.3329999446868896
74,48400,212.0,1.3479998111724854
75,49000,213.0,1.3609998226165771
76,49600,212.0,1.375999927520752
77,50200,213.0,1.3909997940063477
78,50800,213.0,1.4069998264312744
79,51400,213.0,1.4210000038146973
80,52000,212.0,1.436999797821045
81,52800,214.0,1.4599997997283936
82,53400,216.0,1.4759998321533203
83,54000,216.0,1.491999864578247
84,54600,216.0,1.5079998970031738
85,55200,214.0,1.5239999294281006
86,55800,216.0,1.5399999618530273
87,56400,216.0,1.553999900817871
88,57000,216.0,1.5679998397827148
89,57600,216.0,1.5809998512268066
90,58200,214.0,1.5949997901916504
91,58800,214.0,1.6089999675750732
92,59400,216.0,1.622999906539917
93,60000,214.0,1.6369998455047607
94,60800,217.0,1.6559998989105225
95,61400,217.0,1.6699998378753662
96,62000,216.0,1.682999849319458
97,62600,217.0,1.6979999542236328
98,63400,218.0,1.7179999351501465
99,64200,224.0,1.7400000095367432
100,64800,218.0,1.7579998970031738
101,65400,218.0,1.7730000019073486
102,66000,224.0,1.7869999408721924
103,66600,224.0,1.7999999523162842
104,67200,222.0,1.813999891281128
105,68000,224.0,1.8339998722076416
106,69000,225.0,1.8599998950958252
107,69600,224.0,1.873999834060669
108,70200,225.0,1.8880000114440918
109,71200,229.0,1.9129998683929443
110,71800,229.0,1.926999807357788
111,72400,230.0,1.940999984741211
112,73000,231.0,1.9539999961853027
113,73600,231.0,1.9670000076293945
114,74200,231.0,1.9809999465942383
115,75200,235.0,2.005999803543091
116,75800,236.0,2.0189998149871826
117,76400,235.0,2.0319998264312744
118,77000,231.0,2.051999807357788
119,77600,235.0,2.06499981880188
120,78200,235.0,2.0789999961853027
121,78800,235.0,2.0929999351501465
122,79400,235.0,2.1059999465942383
123,80000,235.0,2.119999885559082
124,80600,231.0,2.133999824523926
125,81200,231.0,2.1469998359680176
126,81800,235.0,2.1599998474121094
127,82400,231.0,2.1740000247955322
128,83000,235.0,2.186999797821045
129,83600,235.0,2.1999998092651367
130,84200,231.0,2.2129998207092285
131,84800,231.0,2.2259998321533203
132,85400,235.0,2.240000009536743
133,86200,235.0,2.258999824523926
134,86800,235.0,2.2719998359680176
135,87400,235.0,2.2849998474121094
136,88200,236.0,2.303999900817871
137,88800,237.0,2.316999912261963
138,89400,238.0,2.3299999237060547
139,90000,238.0,2.3439998626708984
140,90600,238.0,2.3569998741149902
141,91200,239.0,2.369999885559082
142,91800,241.0,2.388000011444092
143,92400,239.0,2.4069998264312744
144,93000,238.0,2.426999807357788
145,93600,241.0,2.4489998817443848
146,94200,239.0,2.4709999561309814
147,94800,239.0,2.490999937057495
148,95400,239.0,2.509999990463257
149,96000,239.0,2.5239999294281006
150,96600,238.0,2.5379998683929443
151,97200,238.0,2.549999952316284
152,97800,238.0,2.563999891281128
153,98400,239.0,2.5779998302459717
154,99000,238.0,2.5909998416900635
155,99600,239.0,2.6050000190734863
156,100200,239.0,2.617999792098999
157,100800,239.0,2.630999803543091
158,101400,239.0,2.6439998149871826
159,102000,239.0,2.6579999923706055
160,102600,239.0,2.6710000038146973
161,103200,239.0,2.684000015258789
162,103800,239.0,2.6969997882843018
163,104400,238.0,2.7099997997283936
164,105000,239.0,2.7239999771118164
165,105600,239.0,2.736999988555908
166,106200,238.0,2.75
167,106800,238.0,2.763000011444092
168,107400,239.0,2.7760000228881836
169,108000,239.0,2.7889997959136963
170,108600,238.0,2.801999807357788
171,109200,240.0,2.81499981880188
172,109800,240.0,2.8289999961853027
173,110400,241.0,2.8429999351501465
174,111000,241.0,2.8559999465942383
175,111600,245.0,2.86899995803833
176,112200,241.0,2.881999969482422
177,112800,245.0,2.8949999809265137
178,113400,241.0,2.9079999923706055
179,114000,242.0,2.9210000038146973
180,114600,241.0,2.934999942779541
181,115200,241.0,2.947999954223633
182,115800,241.0,2.9609999656677246
183,116400,245.0,2.9739999771118164
184,117000,241.0,2.98799991607666
185,117600,241.0,3.0
186,118200,245.0,3.0139999389648438
187,118800,241.0,3.0269999504089355
188,119400,246.0,3.0409998893737793
189,120000,241.0,3.052999973297119
190,120800,246.0,3.072999954223633
191,121400,246.0,3.0869998931884766
192,122000,245.0,3.0999999046325684
193,122600,245.0,3.113999843597412
194,123200,245.0,3.128000020980835
195,123800,247.0,3.1419999599456787
196,124400,245.0,3.1559998989105225
197,125000,245.0,3.1689999103546143
198,125600,245.0,3.182999849319458
199,126200,245.0,3.1989998817443848
200,126800,245.0,3.2119998931884766
201,127400,245.0,3.2249999046325684
202,128000,245.0,3.238999843597412
