iters,fevals,fitness,time
0,1600,287.0,0.25800013542175293
1,2200,294.0,0.30500006675720215
2,3800,309.0,0.43900012969970703
3,4400,309.0,0.4790000915527344
4,5000,309.0,0.5169999599456787
5,5600,309.0,0.5540001392364502
6,6400,311.0,0.6059999465942383
7,7000,309.0,0.6430001258850098
8,7600,309.0,0.6820001602172852
9,8200,310.0,0.7209999561309814
10,8800,309.0,0.7620000839233398
11,9600,313.0,0.8289999961853027
12,10200,313.0,0.871999979019165
13,10800,313.0,0.9190001487731934
14,11400,313.0,0.9579999446868896
15,12000,315.0,0.9980001449584961
16,12600,313.0,1.0399999618530273
17,13600,315.0,1.123000144958496
18,14200,315.0,1.1649999618530273
19,14800,318.0,1.2060000896453857
20,15400,318.0,1.248000144958496
21,16200,319.0,1.3040001392364502
22,16800,317.0,1.3420000076293945
23,17800,318.0,1.4140000343322754
24,18400,321.0,1.4530000686645508
25,19000,323.0,1.4930000305175781
26,20000,329.0,1.571000099182129
27,20600,329.0,1.6100001335144043
28,21200,326.0,1.6480000019073486
29,21800,329.0,1.684000015258789
30,22400,329.0,1.7200000286102295
31,23000,327.0,1.753999948501587
32,24000,330.0,1.8389999866485596
33,24600,331.0,1.8900001049041748
34,25200,332.0,1.937999963760376
35,26000,332.0,1.9880001544952393
36,26600,333.0,2.0210001468658447
37,27200,335.0,2.058000087738037
38,27800,334.0,2.1019999980926514
39,28400,333.0,2.13700008392334
40,29000,334.0,2.171999931335449
41,29600,334.0,2.205000162124634
42,30200,334.0,2.240999937057495
43,30800,334.0,2.2760000228881836
44,31400,336.0,2.311000108718872
45,32000,334.0,2.3470001220703125
46,32600,334.0,2.38100004196167
47,33200,335.0,2.4160001277923584
48,33800,335.0,2.449000120162964
49,34400,335.0,2.4820001125335693
50,35000,334.0,2.5139999389648438
51,35600,335.0,2.546999931335449
52,36400,337.0,2.5959999561309814
53,37000,338.0,2.63100004196167
54,37600,338.0,2.6660001277923584
55,38200,338.0,2.7109999656677246
56,38800,338.0,2.751000165939331
57,39400,338.0,2.7869999408721924
58,40000,338.0,2.825000047683716
59,40600,338.0,2.864000082015991
60,41200,338.0,2.9010000228881836
61,41800,337.0,2.937999963760376
62,42600,339.0,2.986999988555908
63,43400,339.0,3.0360000133514404
64,44000,339.0,3.0759999752044678
65,44600,342.0,3.118000030517578
66,45200,340.0,3.1600000858306885
67,45800,342.0,3.203000068664551
68,46400,342.0,3.245000123977661
69,47000,341.0,3.2869999408721924
70,47600,340.0,3.330000162124634
71,48200,339.0,3.371000051498413
72,48800,340.0,3.4110000133514404
73,49400,342.0,3.444000005722046
74,50000,340.0,3.4809999465942383
75,50600,342.0,3.5230000019073486
76,51200,342.0,3.567000150680542
77,51800,347.0,3.6089999675750732
78,52600,347.0,3.6690001487731934
79,53200,344.0,3.7079999446868896
80,53800,347.0,3.749000072479248
81,54400,345.0,3.7910001277923584
82,55000,346.0,3.8320000171661377
83,55600,347.0,3.878999948501587
84,56200,345.0,3.9230000972747803
85,56800,345.0,3.9670000076293945
86,57400,345.0,4.002000093460083
87,58000,348.0,4.0340001583099365
88,58600,348.0,4.065999984741211
89,59200,348.0,4.0970001220703125
90,59800,350.0,4.128999948501587
91,60400,350.0,4.163000106811523
92,61000,350.0,4.197000026702881
93,61600,350.0,4.230999946594238
94,62200,348.0,4.265000104904175
95,62800,350.0,4.29800009727478
96,63400,349.0,4.332000017166138
97,64000,348.0,4.365000009536743
98,64600,349.0,4.4079999923706055
99,65200,350.0,4.462000131607056
100,66000,351.0,4.528000116348267
101,67400,356.0,4.640000104904175
102,68000,357.0,4.67900013923645
103,69200,360.0,4.772000074386597
104,69800,361.0,4.811000108718872
105,70800,364.0,4.884999990463257
106,71400,364.0,4.92300009727478
107,72000,365.0,4.960000038146973
108,72600,364.0,4.998000144958496
109,73200,364.0,5.03600001335144
110,73800,365.0,5.077000141143799
111,74400,365.0,5.117000102996826
112,75000,365.0,5.1570000648498535
113,75800,369.0,5.216000080108643
114,76400,370.0,5.255000114440918
115,77000,365.0,5.292999982833862
116,77600,369.0,5.332000017166138
117,78200,365.0,5.371999979019165
