iters,fevals,fitness,time
0,1200,274.0,0.20599985122680664
1,1800,274.0,0.247999906539917
2,2600,276.0,0.30499982833862305
3,3200,280.0,0.34200000762939453
4,3800,277.0,0.3789999485015869
5,5000,281.0,0.4659998416900635
6,5800,282.0,0.5219998359680176
7,6400,287.0,0.5590000152587891
8,7000,284.0,0.5949997901916504
9,7800,286.0,0.6480000019073486
10,8400,287.0,0.6840000152587891
11,9000,285.0,0.7209999561309814
12,9800,290.0,0.7769999504089355
13,10400,289.0,0.8149998188018799
14,11400,291.0,0.8829998970031738
15,12400,293.0,0.9499998092651367
16,13000,294.0,0.9859998226165771
17,13600,295.0,1.0209999084472656
18,14200,295.0,1.055999994277954
19,14800,294.0,1.0909998416900635
20,15400,295.0,1.126999855041504
21,16000,295.0,1.1619999408721924
22,16600,295.0,1.1959998607635498
23,17200,295.0,1.2319998741149902
24,17800,299.0,1.2659997940063477
25,18600,299.0,1.315999984741211
26,19200,299.0,1.3509998321533203
27,19800,299.0,1.3869998455047607
28,20400,299.0,1.4229998588562012
29,21000,299.0,1.4579999446868896
30,21600,298.0,1.491999864578247
31,22200,299.0,1.5269999504089355
32,22800,299.0,1.5679998397827148
33,24000,303.0,1.6579999923706055
34,24600,305.0,1.694000005722046
35,25600,309.0,1.7630000114440918
36,26200,308.0,1.7979998588562012
37,26800,309.0,1.8339998722076416
38,27400,310.0,1.875
39,28200,312.0,1.934000015258789
40,28800,313.0,1.9729998111724854
41,29400,313.0,2.013000011444092
42,30600,318.0,2.107999801635742
43,31200,318.0,2.1449999809265137
44,31800,321.0,2.175999879837036
45,32400,321.0,2.2089998722076416
46,33000,321.0,2.241999864578247
47,33600,318.0,2.2759997844696045
48,34200,319.0,2.309000015258789
49,34800,319.0,2.3429999351501465
50,35400,320.0,2.375999927520752
51,36000,319.0,2.4099998474121094
52,36600,319.0,2.444000005722046
53,37200,320.0,2.4779999256134033
54,38000,320.0,2.5269999504089355
55,38600,320.0,2.561999797821045
56,39200,324.0,2.5969998836517334
57,39800,326.0,2.632999897003174
58,40400,325.0,2.6679999828338623
59,41000,327.0,2.7039999961853027
60,41600,324.0,2.738999843597412
61,42200,324.0,2.7730000019073486
62,42800,325.0,2.806999921798706
63,43400,327.0,2.8409998416900635
64,44000,327.0,2.875
65,44800,331.0,2.924999952316284
66,45400,331.0,2.9579999446868896
67,46000,332.0,2.991999864578247
68,47000,333.0,3.059000015258789
69,48000,337.0,3.125999927520752
70,48600,342.0,3.1610000133514404
71,49800,348.0,3.242999792098999
72,50400,345.0,3.2779998779296875
73,51000,346.0,3.312999963760376
74,51600,346.0,3.3479998111724854
75,52400,346.0,3.3969998359680176
76,53000,346.0,3.428999900817871
77,53600,347.0,3.4629998207092285
78,54200,349.0,3.497999906539917
79,54800,349.0,3.5329999923706055
80,55400,347.0,3.569000005722046
81,56000,347.0,3.6049997806549072
82,56600,347.0,3.6399998664855957
83,57200,349.0,3.674999952316284
84,57800,349.0,3.7099997997283936
85,58600,350.0,3.759999990463257
86,59400,351.0,3.809999942779541
87,60200,351.0,3.8589999675750732
88,60800,351.0,3.8919999599456787
89,61400,352.0,3.925999879837036
90,62400,357.0,3.990000009536743
91,63000,357.0,4.023999929428101
92,63600,357.0,4.059000015258789
93,64200,357.0,4.0920000076293945
94,64800,357.0,4.125999927520752
95,65400,357.0,4.159999847412109
96,66000,356.0,4.194000005722046
97,66600,357.0,4.227999925613403
98,67200,357.0,4.260999917984009
99,67800,357.0,4.292999982833862
100,68400,356.0,4.32699990272522
101,69000,357.0,4.360999822616577
102,69600,356.0,4.393999814987183
103,70200,356.0,4.425999879837036
104,70800,357.0,4.45799994468689
105,71400,356.0,4.490000009536743
106,72000,357.0,4.523000001907349
107,72600,357.0,4.556999921798706
108,73200,357.0,4.5909998416900635
109,73800,357.0,4.623999834060669
110,74400,357.0,4.656999826431274
111,75000,357.0,4.688999891281128
112,75600,357.0,4.721999883651733
113,76200,357.0,4.758999824523926
114,76800,357.0,4.791999816894531
115,77400,357.0,4.824999809265137
116,78000,359.0,4.857999801635742
117,78600,362.0,4.890999794006348
118,79200,362.0,4.923999786376953
119,79800,362.0,4.957000017166138
120,80400,364.0,4.988999843597412
121,81000,366.0,5.023000001907349
122,81600,366.0,5.060999870300293
123,82200,363.0,5.09499979019165
124,82800,366.0,5.127999782562256
125,83400,365.0,5.161999940872192
126,84200,366.0,5.2099997997283936
127,84800,368.0,5.24399995803833
128,85400,367.0,5.2769999504089355
129,86000,367.0,5.309999942779541
130,86600,367.0,5.3429999351501465
131,87200,366.0,5.375999927520752
132,88000,367.0,5.424999952316284
133,88600,368.0,5.458999872207642
134,89200,367.0,5.491999864578247
135,89800,368.0,5.5249998569488525
136,90400,368.0,5.559999942779541
137,91000,368.0,5.5929999351501465
138,91600,368.0,5.625
139,92200,369.0,5.6579999923706055
140,92800,369.0,5.68999981880188
141,93600,372.0,5.740000009536743
142,94200,369.0,5.773999929428101
143,94800,371.0,5.807999849319458
144,95400,369.0,5.8420000076293945
145,96000,371.0,5.876999855041504
146,96600,371.0,5.915999889373779
147,97400,372.0,5.9649999141693115
148,98000,370.0,5.996999979019165
149,98600,372.0,6.0309998989105225
150,99200,370.0,6.06499981880188
151,99800,372.0,6.096999883651733
152,100400,371.0,6.129999876022339
153,101000,373.0,6.162999868392944
154,101800,373.0,6.210999965667725
155,102400,373.0,6.244999885559082
156,103000,373.0,6.2789998054504395
157,103600,376.0,6.312999963760376
158,104200,373.0,6.347999811172485
159,104800,374.0,6.382999897003174
160,105400,374.0,6.417999982833862
161,106000,373.0,6.45199990272522
162,106600,373.0,6.486999988555908
163,107200,376.0,6.519999980926514
164,107800,373.0,6.552999973297119
165,108400,373.0,6.586999893188477
166,109000,375.0,6.622999906539917
167,109600,376.0,6.6559998989105225
168,110200,373.0,6.688999891281128
169,110800,373.0,6.71999979019165
170,111400,374.0,6.754999876022339
171,112000,376.0,6.788999795913696
172,112600,373.0,6.821999788284302
173,113200,374.0,6.854999780654907
174,113800,376.0,6.889999866485596
175,114400,376.0,6.925999879837036
176,115000,378.0,6.958999872207642
177,115800,378.0,7.007999897003174
178,116400,378.0,7.040999889373779
179,117000,378.0,7.074999809265137
180,117600,380.0,7.107999801635742
181,118200,379.0,7.140999794006348
182,118800,380.0,7.174999952316284
183,119400,380.0,7.2099997997283936
184,120200,381.0,7.260999917984009
