iters,fevals,fitness,time
0,482,62.0,0.002000093460083008
1,4370,70.0,0.009000062942504883
2,16303,74.0,0.020999908447265625
3,20554,74.0,0.023999929428100586
4,22325,74.0,0.02500009536743164
5,30407,78.0,0.03299999237060547
6,30468,77.0,0.03299999237060547
7,30529,78.0,0.03299999237060547
8,30590,78.0,0.03299999237060547
9,30654,78.0,0.03299999237060547
10,30714,78.0,0.03299999237060547
11,30773,78.0,0.03299999237060547
12,30837,78.0,0.03299999237060547
13,30901,81.0,0.03299999237060547
14,30964,81.0,0.03299999237060547
15,31026,81.0,0.03299999237060547
16,31088,81.0,0.03399991989135742
17,31149,81.0,0.03399991989135742
18,31207,81.0,0.03399991989135742
19,31268,81.0,0.03399991989135742
20,31331,81.0,0.03399991989135742
21,31393,81.0,0.03399991989135742
22,31454,81.0,0.03399991989135742
23,31513,81.0,0.03399991989135742
24,31576,81.0,0.03399991989135742
25,31633,78.0,0.03399991989135742
26,31693,78.0,0.03399991989135742
27,31753,78.0,0.03399991989135742
28,31813,78.0,0.03399991989135742
29,31876,78.0,0.03399991989135742
30,31938,81.0,0.03399991989135742
31,31998,81.0,0.03500008583068848
32,32060,81.0,0.03500008583068848
33,32122,81.0,0.03500008583068848
34,32184,81.0,0.03500008583068848
35,32246,81.0,0.03500008583068848
36,32308,82.0,0.03500008583068848
37,32367,81.0,0.03500008583068848
38,32431,81.0,0.03500008583068848
39,32490,81.0,0.03500008583068848
40,32554,81.0,0.03500008583068848
41,32616,82.0,0.03500008583068848
42,32676,82.0,0.03500008583068848
43,32737,82.0,0.03500008583068848
44,32796,82.0,0.03500008583068848
45,32855,83.0,0.03500008583068848
46,32918,82.0,0.03500008583068848
47,32980,82.0,0.03500008583068848
48,33038,81.0,0.03500008583068848
49,33100,82.0,0.03500008583068848
50,33159,81.0,0.03500008583068848
51,33223,81.0,0.03600001335144043
52,33285,81.0,0.03600001335144043
53,33345,81.0,0.03600001335144043
54,33406,81.0,0.03600001335144043
55,33469,81.0,0.03600001335144043
56,33532,81.0,0.03600001335144043
57,33591,81.0,0.03600001335144043
58,33655,82.0,0.03600001335144043
59,33715,82.0,0.03600001335144043
60,33776,82.0,0.03600001335144043
61,33834,82.0,0.03600001335144043
62,33897,82.0,0.03600001335144043
63,33958,82.0,0.03600001335144043
64,34020,82.0,0.03600001335144043
65,34083,82.0,0.03699994087219238
66,34143,82.0,0.03699994087219238
67,34200,82.0,0.03699994087219238
68,34262,82.0,0.03699994087219238
69,34326,82.0,0.03699994087219238
70,34387,82.0,0.03699994087219238
71,34448,82.0,0.03699994087219238
72,34508,82.0,0.03699994087219238
73,34569,82.0,0.03699994087219238
74,34633,82.0,0.03699994087219238
75,34692,82.0,0.03699994087219238
76,34751,82.0,0.03699994087219238
77,34812,82.0,0.03699994087219238
78,34876,82.0,0.03699994087219238
79,34936,82.0,0.03699994087219238
80,34998,82.0,0.03699994087219238
81,35058,82.0,0.03699994087219238
82,35118,82.0,0.03699994087219238
83,35180,82.0,0.03699994087219238
84,35241,82.0,0.03800010681152344
85,35302,82.0,0.03800010681152344
86,35363,82.0,0.03800010681152344
87,35424,86.0,0.03800010681152344
88,35483,86.0,0.03800010681152344
89,35545,82.0,0.03800010681152344
90,35607,82.0,0.03800010681152344
91,35668,82.0,0.03800010681152344
92,35731,82.0,0.03800010681152344
93,35789,82.0,0.03800010681152344
94,35845,82.0,0.03800010681152344
95,35905,82.0,0.03800010681152344
96,35967,82.0,0.03800010681152344
97,36027,83.0,0.03800010681152344
98,36088,83.0,0.03800010681152344
99,36151,83.0,0.03800010681152344
100,36214,83.0,0.03800010681152344
101,36276,83.0,0.03800010681152344
102,36334,83.0,0.03800010681152344
103,36395,83.0,0.03900003433227539
104,36455,82.0,0.03900003433227539
105,36515,82.0,0.03900003433227539
106,36572,83.0,0.03900003433227539
107,36632,83.0,0.03900003433227539
108,36694,83.0,0.03900003433227539
109,36752,83.0,0.03900003433227539
110,36813,85.0,0.03900003433227539
111,36874,85.0,0.03900003433227539
112,36936,85.0,0.03900003433227539
113,36999,85.0,0.03900003433227539
114,37059,85.0,0.03900003433227539
115,37119,83.0,0.03900003433227539
116,37181,83.0,0.03900003433227539
117,37243,83.0,0.03900003433227539
118,37304,83.0,0.03900003433227539
119,37367,83.0,0.03900003433227539
120,37428,83.0,0.039999961853027344
121,37490,82.0,0.039999961853027344
122,37553,82.0,0.039999961853027344
123,37613,82.0,0.039999961853027344
124,37674,82.0,0.039999961853027344
125,37734,82.0,0.039999961853027344
126,37794,83.0,0.039999961853027344
127,37857,83.0,0.039999961853027344
128,37919,83.0,0.039999961853027344
129,37979,83.0,0.039999961853027344
130,38039,83.0,0.039999961853027344
131,38100,83.0,0.039999961853027344
132,38163,83.0,0.039999961853027344
133,38222,83.0,0.039999961853027344
134,38284,83.0,0.039999961853027344
135,38344,85.0,0.039999961853027344
136,38405,85.0,0.039999961853027344
137,38465,85.0,0.039999961853027344
138,38527,85.0,0.039999961853027344
139,38589,85.0,0.039999961853027344
140,38650,85.0,0.0409998893737793
141,38711,83.0,0.0409998893737793
142,38771,83.0,0.0409998893737793
143,38832,83.0,0.0409998893737793
144,38892,83.0,0.0409998893737793
145,38953,83.0,0.0409998893737793
146,39014,83.0,0.0409998893737793
147,39077,83.0,0.0409998893737793
148,39137,83.0,0.0409998893737793
149,39197,83.0,0.0409998893737793
150,39258,83.0,0.0409998893737793
151,39319,83.0,0.0409998893737793
152,39379,83.0,0.0409998893737793
153,39439,83.0,0.0409998893737793
154,39499,83.0,0.0409998893737793
155,39561,83.0,0.0409998893737793
156,39624,83.0,0.04200005531311035
157,39684,83.0,0.04200005531311035
158,39747,83.0,0.04200005531311035
159,39808,85.0,0.04200005531311035
160,39867,85.0,0.04200005531311035
161,39928,85.0,0.04200005531311035
162,39990,85.0,0.04200005531311035
163,40049,83.0,0.04200005531311035
164,40111,83.0,0.04200005531311035
165,40174,83.0,0.04200005531311035
166,40236,83.0,0.04200005531311035
167,40295,83.0,0.04200005531311035
168,40357,83.0,0.04200005531311035
169,40415,83.0,0.04200005531311035
170,40478,83.0,0.04200005531311035
171,40541,83.0,0.04200005531311035
172,40600,83.0,0.042999982833862305
173,40661,83.0,0.042999982833862305
174,40723,83.0,0.042999982833862305
175,40781,83.0,0.042999982833862305
176,40842,83.0,0.042999982833862305
177,40904,83.0,0.042999982833862305
178,40964,83.0,0.042999982833862305
179,41025,83.0,0.042999982833862305
180,41083,83.0,0.042999982833862305
181,41148,83.0,0.042999982833862305
182,41209,83.0,0.042999982833862305
183,41271,83.0,0.042999982833862305
184,41331,85.0,0.042999982833862305
185,41391,83.0,0.042999982833862305
186,41451,85.0,0.042999982833862305
187,41511,86.0,0.042999982833862305
188,41572,86.0,0.042999982833862305
189,41636,86.0,0.042999982833862305
190,41694,85.0,0.042999982833862305
191,41754,85.0,0.042999982833862305
192,41811,83.0,0.042999982833862305
193,41872,83.0,0.042999982833862305
194,41931,83.0,0.04399991035461426
195,41992,83.0,0.04399991035461426
196,42053,83.0,0.04399991035461426
197,42115,83.0,0.04399991035461426
198,42175,83.0,0.04399991035461426
199,42237,83.0,0.04399991035461426
200,42300,83.0,0.04399991035461426
201,42364,83.0,0.04399991035461426
202,42424,83.0,0.04399991035461426
203,42483,83.0,0.04399991035461426
204,42545,83.0,0.04399991035461426
205,42606,83.0,0.04399991035461426
206,42668,83.0,0.04399991035461426
207,42730,85.0,0.04399991035461426
208,42789,86.0,0.04399991035461426
209,42850,86.0,0.04399991035461426
210,42913,86.0,0.04399991035461426
211,42977,86.0,0.04399991035461426
212,43038,86.0,0.04399991035461426
213,43101,86.0,0.04399991035461426
214,43162,86.0,0.04500007629394531
215,43225,85.0,0.04500007629394531
216,43286,85.0,0.04500007629394531
217,43344,85.0,0.04500007629394531
218,43407,85.0,0.04500007629394531
219,43469,85.0,0.04500007629394531
220,43530,85.0,0.04500007629394531
221,43592,85.0,0.04500007629394531
222,43651,85.0,0.04500007629394531
223,43713,85.0,0.04500007629394531
224,43774,85.0,0.04500007629394531
225,43836,85.0,0.04500007629394531
226,43894,85.0,0.04500007629394531
227,43954,85.0,0.04500007629394531
228,44018,84.0,0.04500007629394531
229,44078,84.0,0.04500007629394531
230,44141,85.0,0.04500007629394531
231,44204,86.0,0.04500007629394531
232,44263,86.0,0.04500007629394531
233,44324,86.0,0.04500007629394531
234,44384,86.0,0.04500007629394531
235,44444,86.0,0.046000003814697266
236,44503,86.0,0.046000003814697266
237,44565,86.0,0.046000003814697266
238,44627,86.0,0.046000003814697266
239,44691,86.0,0.046000003814697266
240,44753,86.0,0.046000003814697266
241,44813,86.0,0.046000003814697266
242,44873,86.0,0.046000003814697266
243,44935,86.0,0.046000003814697266
244,44993,86.0,0.046000003814697266
245,45054,86.0,0.046000003814697266
246,45114,86.0,0.046000003814697266
247,45173,86.0,0.046000003814697266
248,45233,86.0,0.046000003814697266
249,45296,86.0,0.046000003814697266
250,45354,86.0,0.046000003814697266
251,45414,86.0,0.046000003814697266
252,45476,86.0,0.046000003814697266
253,45537,86.0,0.046000003814697266
254,45600,86.0,0.046000003814697266
255,45657,86.0,0.046000003814697266
256,45719,86.0,0.04699993133544922
257,45781,86.0,0.04699993133544922
258,45842,86.0,0.04699993133544922
259,45902,86.0,0.04699993133544922
260,45961,86.0,0.04699993133544922
261,46020,86.0,0.04699993133544922
262,46082,86.0,0.04699993133544922
263,46143,86.0,0.04699993133544922
264,46204,86.0,0.04699993133544922
265,46266,86.0,0.04699993133544922
266,46328,86.0,0.04699993133544922
267,46390,86.0,0.04699993133544922
268,46453,86.0,0.04699993133544922
269,46513,86.0,0.04699993133544922
270,46573,86.0,0.04699993133544922
271,46634,86.0,0.04699993133544922
272,46696,86.0,0.04699993133544922
273,46757,86.0,0.04699993133544922
274,46817,86.0,0.04699993133544922
275,46880,86.0,0.04800009727478027
276,46937,86.0,0.04800009727478027
277,46996,86.0,0.04800009727478027
278,47059,86.0,0.04800009727478027
279,47117,86.0,0.04800009727478027
280,47179,86.0,0.04800009727478027
281,47239,86.0,0.04800009727478027
282,47299,86.0,0.04800009727478027
283,47360,86.0,0.04800009727478027
284,47422,86.0,0.04800009727478027
285,47484,86.0,0.04800009727478027
286,47543,86.0,0.04800009727478027
287,47602,87.0,0.04800009727478027
288,47663,87.0,0.04800009727478027
289,47724,87.0,0.04800009727478027
290,47788,87.0,0.04800009727478027
291,47847,91.0,0.04800009727478027
292,47908,91.0,0.04800009727478027
293,47969,87.0,0.04800009727478027
294,48029,87.0,0.04800009727478027
295,48091,87.0,0.04900002479553223
296,48151,87.0,0.04900002479553223
297,48210,87.0,0.04900002479553223
298,48274,87.0,0.04900002479553223
299,48337,87.0,0.04900002479553223
300,48398,87.0,0.04900002479553223
301,48461,86.0,0.04900002479553223
302,48523,86.0,0.04900002479553223
303,48582,86.0,0.04900002479553223
304,48642,87.0,0.04900002479553223
305,48702,87.0,0.04900002479553223
306,48763,86.0,0.04900002479553223
307,48822,87.0,0.04900002479553223
308,48884,86.0,0.04900002479553223
309,48945,86.0,0.04900002479553223
310,49006,87.0,0.04900002479553223
311,49068,87.0,0.04900002479553223
312,49125,87.0,0.04900002479553223
313,49186,87.0,0.04900002479553223
314,49244,87.0,0.04999995231628418
315,49308,87.0,0.04999995231628418
316,49370,87.0,0.04999995231628418
317,49431,87.0,0.04999995231628418
318,49492,87.0,0.04999995231628418
319,49550,87.0,0.04999995231628418
320,49612,87.0,0.04999995231628418
321,49671,87.0,0.04999995231628418
322,49733,87.0,0.04999995231628418
323,49795,87.0,0.04999995231628418
324,49855,87.0,0.04999995231628418
325,49916,87.0,0.04999995231628418
326,49977,87.0,0.04999995231628418
327,50037,87.0,0.04999995231628418
328,50099,87.0,0.04999995231628418
329,50161,87.0,0.04999995231628418
330,50221,87.0,0.04999995231628418
331,50281,87.0,0.04999995231628418
332,50344,87.0,0.04999995231628418
333,50406,87.0,0.051000118255615234
334,50468,87.0,0.051000118255615234
335,50529,87.0,0.051000118255615234
336,50593,87.0,0.051000118255615234
337,50652,87.0,0.051000118255615234
338,50710,87.0,0.051000118255615234
339,50771,87.0,0.051000118255615234
340,50832,87.0,0.051000118255615234
341,50893,87.0,0.051000118255615234
342,50954,87.0,0.051000118255615234
343,51015,87.0,0.051000118255615234
344,51074,87.0,0.051000118255615234
345,51134,87.0,0.051000118255615234
346,51192,87.0,0.051000118255615234
347,51254,87.0,0.051000118255615234
348,51314,87.0,0.051000118255615234
349,51375,87.0,0.051000118255615234
350,51436,87.0,0.051000118255615234
351,51496,86.0,0.051000118255615234
352,51555,87.0,0.051000118255615234
353,51615,87.0,0.051000118255615234
354,51671,87.0,0.05200004577636719
355,51731,87.0,0.05200004577636719
356,51795,87.0,0.05200004577636719
357,51854,87.0,0.05200004577636719
358,51912,87.0,0.05200004577636719
359,51973,87.0,0.05200004577636719
360,52034,87.0,0.05200004577636719
361,52097,87.0,0.05200004577636719
362,52159,86.0,0.05200004577636719
363,52223,86.0,0.05200004577636719
364,52285,91.0,0.05200004577636719
365,52347,86.0,0.05200004577636719
366,52406,87.0,0.05200004577636719
367,52468,87.0,0.05200004577636719
368,52528,87.0,0.05200004577636719
369,52589,87.0,0.05200004577636719
370,52649,86.0,0.05200004577636719
371,52712,86.0,0.05200004577636719
372,52770,86.0,0.05200004577636719
373,52832,86.0,0.05200004577636719
374,52891,86.0,0.05200004577636719
375,52954,86.0,0.05299997329711914
376,53014,86.0,0.05299997329711914
377,53074,86.0,0.05299997329711914
378,53134,86.0,0.05299997329711914
379,53197,86.0,0.05299997329711914
380,53257,86.0,0.05299997329711914
381,53315,86.0,0.05299997329711914
382,53378,86.0,0.05299997329711914
383,53439,87.0,0.05299997329711914
384,53501,86.0,0.05299997329711914
385,53561,86.0,0.05299997329711914
386,53625,86.0,0.05299997329711914
387,53687,86.0,0.05299997329711914
388,53746,86.0,0.05299997329711914
389,53808,86.0,0.05299997329711914
390,53869,86.0,0.05299997329711914
391,53929,86.0,0.05299997329711914
392,53989,86.0,0.05299997329711914
393,54049,86.0,0.05299997329711914
394,54111,86.0,0.053999900817871094
395,54173,86.0,0.053999900817871094
396,54231,86.0,0.053999900817871094
397,54290,86.0,0.053999900817871094
398,54348,86.0,0.053999900817871094
399,54410,86.0,0.053999900817871094
400,54471,86.0,0.053999900817871094
401,54535,86.0,0.053999900817871094
402,54597,86.0,0.053999900817871094
403,54659,86.0,0.053999900817871094
404,54720,86.0,0.053999900817871094
405,54778,86.0,0.053999900817871094
406,54841,86.0,0.053999900817871094
407,54901,86.0,0.053999900817871094
408,54961,86.0,0.053999900817871094
409,55020,86.0,0.053999900817871094
410,55083,86.0,0.053999900817871094
411,55142,86.0,0.053999900817871094
412,55199,86.0,0.053999900817871094
413,55262,86.0,0.05500006675720215
414,55320,86.0,0.05500006675720215
415,55381,86.0,0.05500006675720215
416,55441,86.0,0.05500006675720215
417,55498,86.0,0.05500006675720215
418,55560,86.0,0.05500006675720215
419,55622,86.0,0.05500006675720215
420,55684,86.0,0.05500006675720215
421,55744,86.0,0.05500006675720215
422,55805,86.0,0.05500006675720215
423,55866,86.0,0.05500006675720215
424,55928,87.0,0.05500006675720215
425,55991,87.0,0.05500006675720215
426,56055,87.0,0.05500006675720215
427,56118,86.0,0.05500006675720215
