iters,fevals,fitness
0,18475,85.0
1,25484,85.0
2,41947,85.0
3,52456,86.0
4,52561,86.0
5,52667,86.0
6,52770,86.0
7,52874,86.0
8,52976,86.0
9,53083,86.0
10,53188,86.0
11,53291,86.0
12,53396,86.0
13,53502,86.0
14,53608,86.0
15,53712,86.0
16,53820,86.0
17,53924,86.0
18,54028,86.0
19,54134,86.0
20,54237,86.0
21,54343,86.0
22,54447,86.0
23,54550,86.0
24,54655,86.0
25,54760,86.0
26,54865,86.0
27,54969,85.0
28,55075,85.0
29,55180,85.0
30,55285,85.0
31,55388,85.0
32,55495,85.0
33,55600,85.0
34,55706,85.0
35,55812,85.0
36,55918,85.0
37,56023,85.0
38,56128,85.0
39,56233,85.0
40,56340,85.0
41,56442,85.0
42,56549,85.0
43,56654,86.0
44,56758,86.0
45,56861,86.0
46,56964,86.0
47,57071,86.0
48,57175,85.0
49,57280,86.0
50,57386,85.0
51,57491,84.0
52,57600,84.0
53,57708,84.0
54,57814,84.0
55,57920,84.0
56,58027,84.0
57,58130,84.0
58,58233,84.0
59,58338,84.0
60,58443,84.0
61,58547,84.0
62,58652,84.0
63,58757,84.0
64,58861,84.0
65,58968,84.0
66,59075,84.0
67,59180,84.0
68,59285,84.0
69,59390,84.0
70,59497,84.0
71,59601,85.0
72,59704,85.0
73,59809,84.0
74,59914,84.0
75,60019,85.0
76,60124,85.0
77,60231,84.0
78,60333,85.0
79,60440,85.0
80,60545,84.0
81,60650,84.0
82,60754,84.0
83,60860,84.0
84,60965,84.0
85,61068,84.0
86,61173,84.0
87,61278,84.0
88,61383,84.0
89,61489,84.0
90,61593,84.0
91,61698,84.0
92,61801,84.0
93,61906,84.0
94,62010,84.0
95,62112,84.0
96,62217,84.0
97,62324,84.0
98,62428,84.0
99,62532,84.0
100,62636,84.0
101,62741,84.0
102,62843,84.0
103,62947,84.0
104,63050,84.0
105,63156,84.0
106,63260,85.0
107,63368,85.0
108,63473,84.0
109,63581,84.0
110,63685,84.0
111,63792,84.0
112,63902,85.0
113,64009,84.0
114,64114,84.0
115,64217,84.0
116,64322,84.0
117,64427,84.0
118,64529,85.0
119,64632,85.0
120,64737,85.0
121,64840,85.0
122,64945,85.0
123,65047,85.0
124,65150,85.0
125,65254,85.0
126,65361,85.0
127,65464,85.0
128,65568,85.0
129,65674,85.0
130,65776,85.0
131,65882,85.0
132,65986,85.0
133,66091,85.0
134,66196,85.0
135,66300,85.0
136,66404,85.0
137,66510,85.0
138,66615,85.0
139,66719,85.0
140,66828,84.0
141,66933,85.0
142,67040,85.0
143,67143,85.0
144,67246,85.0
145,67352,85.0
146,67457,85.0
147,67562,85.0
148,67667,85.0
149,67773,85.0
150,67879,85.0
151,67985,85.0
152,68089,85.0
153,68193,85.0
154,68298,85.0
155,68402,85.0
156,68505,85.0
157,68612,85.0
158,68715,85.0
159,68820,85.0
160,68927,85.0
161,69031,85.0
162,69134,85.0
163,69239,85.0
164,69342,85.0
165,69447,85.0
166,69554,85.0
167,69658,85.0
168,69763,85.0
169,69870,85.0
170,69975,85.0
171,70078,85.0
172,70180,85.0
173,70286,85.0
174,70392,85.0
175,70498,85.0
176,70602,85.0
177,70709,85.0
178,70814,85.0
179,70919,85.0
180,71024,85.0
181,71130,85.0
182,71236,85.0
183,71338,85.0
184,71443,85.0
185,71548,85.0
186,71653,85.0
187,71757,85.0
188,71861,85.0
189,71966,85.0
190,72071,85.0
191,72176,85.0
192,72279,85.0
193,72384,85.0
194,72490,85.0
195,72594,85.0
196,72700,85.0
197,72806,85.0
198,72906,85.0
199,73011,85.0
200,73115,85.0
201,73219,85.0
202,73323,85.0
203,73428,85.0
204,73531,85.0
205,73637,85.0
206,73744,85.0
207,73847,85.0
208,73951,85.0
209,74059,85.0
210,74164,85.0
211,74271,85.0
212,74372,85.0
213,74479,85.0
214,74586,85.0
215,74690,85.0
216,74795,85.0
217,74901,85.0
218,75003,85.0
219,75110,85.0
220,75212,85.0
221,75315,85.0
222,75420,85.0
223,75523,85.0
224,75628,85.0
225,75732,85.0
226,75836,85.0
227,75942,85.0
228,76046,85.0
229,76148,85.0
230,76252,85.0
231,76357,85.0
232,76464,85.0
233,76569,85.0
234,76675,85.0
235,76781,85.0
236,76884,84.0
237,76989,84.0
238,77093,84.0
239,77199,84.0
240,77306,84.0
241,77411,84.0
242,77518,84.0
243,77623,84.0
244,77727,84.0
245,77830,84.0
246,77933,84.0
247,78039,84.0
248,78144,84.0
249,78248,84.0
250,78353,84.0
251,78459,84.0
252,78565,84.0
253,78671,84.0
254,78776,84.0
255,78883,84.0
256,78990,84.0
257,79096,84.0
258,79201,84.0
259,79306,84.0
260,79410,84.0
261,79513,84.0
262,79617,84.0
263,79723,84.0
264,79827,84.0
265,79934,84.0
266,80040,84.0
267,80144,84.0
268,80250,84.0
269,80352,84.0
270,80458,84.0
271,80564,84.0
272,80670,84.0
273,80773,84.0
274,80876,84.0
275,80982,84.0
276,81088,84.0
277,81193,84.0
278,81298,85.0
279,81404,84.0
280,81511,84.0
281,81616,85.0
282,81720,85.0
283,81824,84.0
284,81926,84.0
285,82028,85.0
286,82133,85.0
287,82238,85.0
288,82342,85.0
289,82447,85.0
290,82552,85.0
291,82657,84.0
292,82763,85.0
293,82868,84.0
294,82974,84.0
295,83079,84.0
296,83183,84.0
297,83290,84.0
298,83396,84.0
299,83501,85.0
300,83608,84.0
301,83714,84.0
302,83819,84.0
303,83925,84.0
304,84030,84.0
305,84134,84.0
306,84237,84.0
307,84342,84.0
308,84445,84.0
309,84551,84.0
310,84654,84.0
311,84758,84.0
312,84863,84.0
313,84969,84.0
314,85072,84.0
315,85176,84.0
316,85279,84.0
317,85384,84.0
318,85489,84.0
319,85596,84.0
320,85701,85.0
321,85806,85.0
322,85914,85.0
323,86021,85.0
324,86126,85.0
325,86231,85.0
326,86336,85.0
327,86445,85.0
328,86549,85.0
329,86655,85.0
330,86759,85.0
331,86865,85.0
332,86970,85.0
333,87079,85.0
334,87188,85.0
335,87294,85.0
336,87400,85.0
337,87506,85.0
338,87610,86.0
339,87715,86.0
340,87819,86.0
341,87925,86.0
342,88032,86.0
343,88135,85.0
344,88239,85.0
345,88345,85.0
346,88453,85.0
347,88557,85.0
348,88663,85.0
349,88768,85.0
350,88873,85.0
351,88976,85.0
352,89080,84.0
353,89183,84.0
354,89290,84.0
355,89397,84.0
356,89503,84.0
357,89608,85.0
358,89712,85.0
359,89816,85.0
360,89919,85.0
361,90023,85.0
362,90129,85.0
363,90235,85.0
364,90340,85.0
365,90445,85.0
366,90551,85.0
367,90655,85.0
368,90760,84.0
369,90864,85.0
370,90971,85.0
371,91075,85.0
372,91179,85.0
373,91281,85.0
374,91387,85.0
375,91491,85.0
376,91593,85.0
377,91698,85.0
378,91802,85.0
379,91906,85.0
380,92010,85.0
381,92112,85.0
382,92218,85.0
383,92323,85.0
384,92429,85.0
385,92536,85.0
386,92642,85.0
387,92746,85.0
388,92849,85.0
389,92955,85.0
390,93061,85.0
391,93168,85.0
392,93270,85.0
393,93375,85.0
394,93481,85.0
395,93584,85.0
396,93690,85.0
397,93794,85.0
398,93900,85.0
399,94003,85.0
400,94109,85.0
401,94216,85.0
402,94319,85.0
403,94425,85.0
404,94530,85.0
405,94636,85.0
406,94739,85.0
407,94845,85.0
408,94950,85.0
409,95058,85.0
410,95161,85.0
411,95268,85.0
412,95372,85.0
413,95477,85.0
414,95579,85.0
415,95683,85.0
416,95789,85.0
417,95893,85.0
418,95999,85.0
419,96103,85.0
420,96209,85.0
421,96314,85.0
422,96417,85.0
423,96520,85.0
424,96626,85.0
425,96729,85.0
426,96834,85.0
427,96939,85.0
428,97044,85.0
429,97148,85.0
430,97253,85.0
431,97357,89.0
432,97462,89.0
433,97568,89.0
434,97673,89.0
435,97780,89.0
436,97888,89.0
437,97993,89.0
438,98099,89.0
439,98202,89.0
440,98305,89.0
441,98409,89.0
442,98512,89.0
443,98617,89.0
444,98720,89.0
445,98826,89.0
446,98930,89.0
447,99036,89.0
448,99143,89.0
449,99248,89.0
450,99354,89.0
451,99458,89.0
452,99560,89.0
453,99663,89.0
454,99768,89.0
455,99873,89.0
456,99978,89.0
457,100083,89.0
458,100192,89.0
459,100296,89.0
460,100401,89.0
461,100506,89.0
462,100611,89.0
463,100716,89.0
464,100821,89.0
465,100927,89.0
466,101036,89.0
467,101140,89.0
468,101245,93.0
469,101351,89.0
470,101458,89.0
471,101564,89.0
472,101669,89.0
473,101772,89.0
474,101877,89.0
475,101984,89.0
476,102089,93.0
477,102197,89.0
478,102301,89.0
479,102405,89.0
480,102509,89.0
481,102614,89.0
482,102719,89.0
483,102823,89.0
484,102928,89.0
485,103034,89.0
486,103141,89.0
487,103247,89.0
488,103351,89.0
489,103455,89.0
490,103563,89.0
491,103666,89.0
492,103771,89.0
493,103877,89.0
494,103981,89.0
495,104086,89.0
496,104188,89.0
497,104291,89.0
498,104399,89.0
499,104502,89.0
500,104607,89.0
501,104713,89.0
502,104819,89.0
503,104924,89.0
504,105030,90.0
505,105136,93.0
506,105243,90.0
507,105349,90.0
508,105451,90.0
509,105554,90.0
510,105661,90.0
511,105766,90.0
512,105870,90.0
513,105976,90.0
514,106082,89.0
515,106189,89.0
516,106295,89.0
517,106399,90.0
518,106505,89.0
519,106611,90.0
520,106715,90.0
521,106819,90.0
522,106923,90.0
523,107026,90.0
524,107128,90.0
525,107235,89.0
526,107340,89.0
527,107445,89.0
528,107551,89.0
529,107656,93.0
530,107759,89.0
531,107862,93.0
532,107968,90.0
533,108071,89.0
534,108175,89.0
535,108281,89.0
536,108384,93.0
537,108486,93.0
538,108591,89.0
539,108695,89.0
540,108799,89.0
541,108903,89.0
542,109005,89.0
543,109109,89.0
544,109215,89.0
545,109318,89.0
546,109422,89.0
547,109529,89.0
548,109636,89.0
549,109742,89.0
550,109848,89.0
551,109953,89.0
552,110059,89.0
553,110166,89.0
554,110270,89.0
555,110377,89.0
556,110482,89.0
557,110587,89.0
558,110690,89.0
559,110794,89.0
560,110899,89.0
561,111004,89.0
562,111108,89.0
563,111215,89.0
564,111319,89.0
565,111423,89.0
566,111527,89.0
567,111632,89.0
568,111737,89.0
569,111841,89.0
570,111946,90.0
571,112049,90.0
572,112156,90.0
573,112259,90.0
574,112365,90.0
575,112470,90.0
576,112574,91.0
577,112678,91.0
578,112785,91.0
579,112889,91.0
580,112991,91.0
581,113094,91.0
582,113198,91.0
583,113302,91.0
584,113406,91.0
585,113512,91.0
586,113617,91.0
587,113723,91.0
588,113829,91.0
589,113936,91.0
590,114041,91.0
591,114148,91.0
592,114251,91.0
593,114355,91.0
594,114460,91.0
595,114567,91.0
596,114672,91.0
597,114779,91.0
598,114886,91.0
599,114992,91.0
600,115097,91.0
601,115203,91.0
602,115310,91.0
603,115416,91.0
604,115524,91.0
605,115628,91.0
606,115732,91.0
607,115840,91.0
608,115944,91.0
609,116049,91.0
610,116155,91.0
611,116259,91.0
612,116361,91.0
613,116469,91.0
614,116573,91.0
615,116680,91.0
616,116783,91.0
617,116888,91.0
618,116994,91.0
619,117098,90.0
620,117202,90.0
621,117308,89.0
622,117411,90.0
623,117515,90.0
624,117618,92.0
625,117725,93.0
626,117832,89.0
627,117938,89.0
628,118042,89.0
629,118146,89.0
630,118254,89.0
631,118360,89.0
632,118463,90.0
633,118566,90.0
634,118672,90.0
635,118778,90.0
636,118882,90.0
637,118983,90.0
638,119085,90.0
639,119189,90.0
640,119297,89.0
641,119403,89.0
642,119507,89.0
643,119610,89.0
644,119714,89.0
645,119818,89.0
646,119921,89.0
647,120026,89.0
648,120131,89.0
649,120233,89.0
650,120338,89.0
651,120442,89.0
652,120546,89.0
653,120649,89.0
654,120753,89.0
655,120860,89.0
656,120964,89.0
657,121070,89.0
658,121177,89.0
659,121280,89.0
660,121387,89.0
661,121494,93.0
662,121599,93.0
663,121705,93.0
664,121812,93.0
665,121915,93.0
666,122020,93.0
667,122126,93.0
668,122231,91.0
669,122332,91.0
670,122437,91.0
671,122543,91.0
672,122646,93.0
673,122751,93.0
674,122857,93.0
675,122963,93.0
676,123068,93.0
677,123172,93.0
678,123277,93.0
679,123382,93.0
680,123487,93.0
681,123592,93.0
682,123695,93.0
683,123798,93.0
684,123905,93.0
685,124011,93.0
686,124117,94.0
687,124219,93.0
688,124325,93.0
689,124431,93.0
690,124534,93.0
691,124639,93.0
692,124746,93.0
693,124851,93.0
694,124956,93.0
695,125058,93.0
696,125162,93.0
697,125266,93.0
698,125371,93.0
699,125474,93.0
700,125577,93.0
701,125684,93.0
702,125787,93.0
703,125892,93.0
704,125998,93.0
705,126105,93.0
706,126209,93.0
707,126312,93.0
708,126415,93.0
709,126517,93.0
710,126623,93.0
711,126728,93.0
712,126831,93.0
713,126936,89.0
714,127039,89.0
715,127145,89.0
716,127249,89.0
717,127354,89.0
718,127459,89.0
719,127564,89.0
720,127670,89.0
721,127774,90.0
722,127879,89.0
723,127985,89.0
724,128089,89.0
725,128192,89.0
726,128297,89.0
727,128400,89.0
728,128503,89.0
729,128609,89.0
730,128714,89.0
731,128817,89.0
732,128921,89.0
733,129027,93.0
734,129133,89.0
735,129239,93.0
736,129343,89.0
737,129448,91.0
738,129556,91.0
739,129663,89.0
740,129769,89.0
741,129874,89.0
742,129979,89.0
743,130084,89.0
744,130189,89.0
745,130295,89.0
746,130399,89.0
747,130505,89.0
748,130610,91.0
749,130717,89.0
750,130821,89.0
751,130926,89.0
752,131032,93.0
753,131137,93.0
754,131239,93.0
755,131343,93.0
756,131449,93.0
757,131555,93.0
758,131659,93.0
759,131764,92.0
760,131868,93.0
761,131974,92.0
762,132078,92.0
763,132182,92.0
764,132288,92.0
765,132393,92.0
766,132496,93.0
767,132600,93.0
768,132705,93.0
769,132808,93.0
770,132916,93.0
771,133022,93.0
772,133125,93.0
773,133230,93.0
774,133337,93.0
775,133441,93.0
776,133543,93.0
777,133646,93.0
778,133748,93.0
779,133855,93.0
780,133962,93.0
781,134068,93.0
782,134171,93.0
783,134276,93.0
784,134381,93.0
785,134488,89.0
786,134592,89.0
787,134696,89.0
788,134803,89.0
789,134908,89.0
790,135013,89.0
791,135118,89.0
792,135224,89.0
793,135328,91.0
794,135435,91.0
795,135540,91.0
796,135643,91.0
797,135747,91.0
798,135854,91.0
799,135958,92.0
800,136063,92.0
801,136166,92.0
802,136270,91.0
803,136376,91.0
804,136480,91.0
805,136584,91.0
806,136687,91.0
807,136795,91.0
808,136902,91.0
809,137007,91.0
810,137114,91.0
811,137221,91.0
812,137325,91.0
813,137433,91.0
814,137539,91.0
815,137644,91.0
816,137751,91.0
817,137854,91.0
818,137962,91.0
819,138064,91.0
820,138168,91.0
821,138274,91.0
822,138380,91.0
823,138482,91.0
824,138587,91.0
825,138693,91.0
826,138796,91.0
827,138901,91.0
828,139006,91.0
829,139112,91.0
830,139217,91.0
831,139323,91.0
832,139426,91.0
833,139528,91.0
834,139632,91.0
835,139737,91.0
836,139842,91.0
837,139947,91.0
838,140051,91.0
839,140155,91.0
840,140258,91.0
841,140360,91.0
842,140464,91.0
843,140568,91.0
844,140674,91.0
845,140778,91.0
846,140885,91.0
847,140993,91.0
848,141100,91.0
849,141206,91.0
850,141313,91.0
851,141416,91.0
852,141521,91.0
853,141624,91.0
854,141727,91.0
855,141833,91.0
856,141936,91.0
857,142040,91.0
858,142143,93.0
859,142250,91.0
860,142354,91.0
861,142459,91.0
862,142565,91.0
863,142667,91.0
864,142772,91.0
865,142876,91.0
866,142980,91.0
867,143087,91.0
868,143191,91.0
869,143293,91.0
870,143399,91.0
871,143503,91.0
872,143609,91.0
873,143713,91.0
874,143819,91.0
875,143924,91.0
876,144029,91.0
877,144133,91.0
878,144239,91.0
879,144342,91.0
880,144450,91.0
881,144556,91.0
882,144661,91.0
883,144766,91.0
884,144870,91.0
885,144975,95.0
886,145078,91.0
887,145184,91.0
