iters,fevals,fitness
0,1600,85.0
1,2200,82.0
2,2800,85.0
3,3400,81.0
4,4000,82.0
5,4600,83.0
6,5200,81.0
7,5800,83.0
8,6400,82.0
9,7000,81.0
10,7600,83.0
11,8200,83.0
12,8800,81.0
13,9400,83.0
14,10000,83.0
15,10600,82.0
16,11200,83.0
17,11800,81.0
18,12400,83.0
19,13000,85.0
20,13800,84.0
21,14400,85.0
22,15000,84.0
23,15600,84.0
24,16200,85.0
25,16800,85.0
26,17400,85.0
27,18000,88.0
28,18600,86.0
29,19200,85.0
30,19800,88.0
31,20400,87.0
32,21000,91.0
33,21600,91.0
34,22200,91.0
35,22800,90.0
36,23400,91.0
37,24000,91.0
38,24600,88.0
39,25200,91.0
40,25800,88.0
41,26400,89.0
42,27000,91.0
43,27600,91.0
44,28200,88.0
45,28800,91.0
46,29400,89.0
47,30000,88.0
48,30600,91.0
49,31200,91.0
50,31800,88.0
51,32400,91.0
52,33000,91.0
53,33600,90.0
54,34400,91.0
55,35000,91.0
56,35800,92.0
57,36400,93.0
58,37000,93.0
59,37600,92.0
60,38200,92.0
61,38800,93.0
62,39400,93.0
63,40000,94.0
64,40600,96.0
65,41200,93.0
66,41800,96.0
67,42400,96.0
68,43200,97.0
69,43800,96.0
70,44400,96.0
71,45000,96.0
72,45600,97.0
73,46200,96.0
74,46800,97.0
75,47400,97.0
76,48000,96.0
77,48600,97.0
78,49200,96.0
79,49800,96.0
80,50400,97.0
81,51000,96.0
82,51600,96.0
83,52200,96.0
84,52800,97.0
85,53400,97.0
86,54000,96.0
87,54600,96.0
88,55200,97.0
89,55800,97.0
90,56600,97.0
91,57200,97.0
92,57800,97.0
93,58400,97.0
94,59000,97.0
95,59600,97.0
96,60200,98.0
97,60800,98.0
98,61400,98.0
99,62000,97.0
100,62600,97.0
101,63200,97.0
102,63800,98.0
103,64400,98.0
104,65000,98.0
105,65600,97.0
106,66200,97.0
107,66800,98.0
108,67400,98.0
109,68000,97.0
110,68600,98.0
111,69200,98.0
112,69800,98.0
113,70400,98.0
114,71000,97.0
115,71600,97.0
116,72200,97.0
117,72800,98.0
118,73400,98.0
119,74000,98.0
120,74600,97.0
121,75200,97.0
122,75800,97.0
123,76400,97.0
124,77000,98.0
125,77800,99.0
126,78400,98.0
127,79000,99.0
128,79600,99.0
129,80200,99.0
130,80800,99.0
131,81400,99.0
132,82000,99.0
133,82600,99.0
134,83200,99.0
135,83800,98.0
136,84400,99.0
137,85000,98.0
138,85600,98.0
139,86200,98.0
140,86800,98.0
141,87400,98.0
142,88000,98.0
143,88600,98.0
144,89200,98.0
145,89800,98.0
146,90400,98.0
147,91000,99.0
148,91600,98.0
149,92200,98.0
150,92800,98.0
151,93400,98.0
152,94000,99.0
153,94600,98.0
154,95200,98.0
155,95800,99.0
156,96400,98.0
157,97000,98.0
158,97600,99.0
159,98200,99.0
160,98800,99.0
161,99400,99.0
162,100000,99.0
163,100600,98.0
164,101200,99.0
165,101800,99.0
166,102400,99.0
167,103000,98.0
168,103600,98.0
169,104200,99.0
170,104800,98.0
171,105400,98.0
172,106000,99.0
173,106600,98.0
174,107200,99.0
175,107800,98.0
176,108400,99.0
177,109000,99.0
178,109600,98.0
179,110200,99.0
180,110800,98.0
181,111400,98.0
182,112000,99.0
183,112600,98.0
184,113200,98.0
185,113800,99.0
186,114400,99.0
187,115000,98.0
188,115600,99.0
189,116200,99.0
190,116800,98.0
191,117400,99.0
192,118000,99.0
193,118600,99.0
194,119200,98.0
195,119800,99.0
196,120400,98.0
197,121000,98.0
198,121600,98.0
199,122200,98.0
200,122800,98.0
201,123400,98.0
202,124000,99.0
203,124600,98.0
204,125200,98.0
205,125800,98.0
206,126400,99.0
207,127000,99.0
208,127600,99.0
209,128200,100.0
210,128800,99.0
211,129400,99.0
212,130000,99.0
213,130600,99.0
214,131200,99.0
215,131800,99.0
216,132400,100.0
217,133000,99.0
218,133600,100.0
219,134200,100.0
220,135000,101.0
221,135800,101.0
222,136400,101.0
223,137000,101.0
224,137600,101.0
225,138200,101.0
226,138800,101.0
227,139400,101.0
228,140000,101.0
229,140600,101.0
230,141200,101.0
231,141800,101.0
232,142400,101.0
233,143000,101.0
234,143600,101.0
235,144200,101.0
236,144800,101.0
237,145400,101.0
238,146000,101.0
239,146600,101.0
240,147200,101.0
241,147800,101.0
242,148400,101.0
243,148800,101.0
244,149200,101.0
