iters,fevals,fitness
0,2,6.0
1,4,6.0
2,6,6.0
3,8,6.0
4,10,6.0
5,12,6.0
6,14,6.0
7,16,6.0
8,18,6.0
9,20,6.0
10,23,8.0
11,25,8.0
12,27,8.0
13,29,8.0
14,31,68.0
15,33,70.0
16,35,70.0
17,37,70.0
18,39,70.0
19,41,70.0
20,43,70.0
21,45,70.0
22,47,70.0
23,49,70.0
24,51,70.0
25,53,70.0
26,55,70.0
27,57,70.0
28,59,70.0
29,61,70.0
30,63,70.0
31,65,70.0
32,67,70.0
33,69,70.0
34,71,70.0
35,73,70.0
36,76,73.0
37,78,73.0
38,80,73.0
39,82,73.0
40,84,73.0
41,86,73.0
42,88,73.0
43,90,73.0
44,92,73.0
45,94,73.0
46,96,73.0
47,98,73.0
48,100,73.0
49,102,73.0
50,104,73.0
51,106,73.0
52,108,73.0
53,110,73.0
54,112,73.0
55,114,73.0
56,116,73.0
57,118,73.0
58,120,73.0
59,122,73.0
60,124,73.0
61,126,73.0
62,128,73.0
63,130,73.0
64,132,73.0
65,134,73.0
66,136,73.0
67,138,73.0
68,141,75.0
69,143,75.0
70,145,75.0
71,147,75.0
72,149,75.0
73,151,75.0
74,153,75.0
75,155,75.0
76,157,75.0
77,159,75.0
78,161,75.0
79,163,75.0
80,165,75.0
81,167,75.0
82,169,75.0
83,171,75.0
84,173,75.0
85,175,75.0
86,177,75.0
87,179,75.0
88,181,75.0
89,183,75.0
90,185,76.0
91,187,76.0
92,189,76.0
93,191,76.0
94,193,76.0
95,195,76.0
96,197,76.0
97,199,76.0
98,201,76.0
99,203,76.0
100,205,76.0
101,207,76.0
102,209,76.0
103,211,76.0
104,213,76.0
105,215,76.0
106,217,76.0
107,219,76.0
108,221,76.0
109,223,76.0
110,225,76.0
111,227,76.0
112,229,76.0
113,231,76.0
114,233,76.0
115,235,76.0
116,237,76.0
117,239,76.0
118,241,76.0
119,243,76.0
120,245,76.0
121,247,76.0
122,249,76.0
123,251,76.0
124,253,76.0
125,255,76.0
126,257,76.0
127,260,79.0
128,262,79.0
129,264,79.0
130,266,79.0
131,268,79.0
132,270,79.0
133,272,79.0
134,274,79.0
135,276,79.0
136,278,79.0
137,280,79.0
138,282,79.0
139,284,79.0
140,286,79.0
141,288,79.0
142,290,79.0
143,292,79.0
144,294,79.0
145,296,79.0
146,298,79.0
147,300,79.0
148,302,79.0
149,304,79.0
150,306,79.0
151,308,79.0
152,310,79.0
153,312,79.0
154,314,79.0
155,316,79.0
156,318,79.0
157,320,79.0
158,322,79.0
159,325,80.0
160,327,80.0
161,329,80.0
162,331,80.0
163,333,80.0
164,335,80.0
165,337,83.0
166,339,83.0
167,341,83.0
168,343,83.0
169,345,83.0
170,347,83.0
171,349,83.0
172,351,83.0
173,353,83.0
174,355,83.0
175,357,83.0
176,359,83.0
177,361,83.0
178,363,83.0
179,365,83.0
180,367,84.0
181,369,84.0
182,371,84.0
183,373,84.0
184,375,84.0
185,377,84.0
186,379,85.0
187,381,85.0
188,383,85.0
189,385,85.0
190,387,85.0
191,389,85.0
192,391,85.0
193,393,85.0
194,395,85.0
195,397,85.0
196,399,85.0
197,401,85.0
198,403,85.0
199,405,85.0
200,407,85.0
201,409,85.0
202,411,85.0
203,413,85.0
204,415,85.0
205,417,85.0
206,419,85.0
207,421,85.0
208,423,85.0
209,425,85.0
210,427,85.0
211,429,85.0
212,431,85.0
213,433,85.0
214,435,85.0
215,437,85.0
216,439,85.0
217,441,85.0
218,443,85.0
219,445,85.0
220,447,85.0
221,449,85.0
222,451,85.0
223,453,85.0
224,455,85.0
225,457,85.0
226,459,85.0
227,461,85.0
228,463,85.0
229,465,85.0
230,467,85.0
231,469,85.0
232,471,85.0
233,473,85.0
234,475,85.0
235,477,85.0
236,479,85.0
237,481,85.0
238,483,85.0
239,485,85.0
240,487,85.0
241,489,85.0
242,491,85.0
243,493,85.0
244,495,85.0
245,497,85.0
246,499,85.0
247,500,85.0
248,501,85.0
249,502,85.0
250,503,85.0
251,504,85.0
252,505,85.0
253,506,85.0
254,507,85.0
255,508,85.0
256,509,85.0
257,510,85.0
258,511,85.0
259,512,85.0
260,513,85.0
261,514,87.0
262,515,87.0
263,516,87.0
264,517,87.0
265,518,87.0
266,519,87.0
267,520,87.0
268,521,87.0
269,522,87.0
270,523,87.0
