iters,fevals,fitness
0,1400,19.0
1,2000,15.0
2,2600,16.0
3,3200,19.0
4,4000,24.0
5,4600,24.0
6,5200,24.0
7,5800,24.0
8,6400,19.0
9,7000,19.0
10,7600,19.0
11,8200,24.0
12,8800,24.0
13,9400,19.0
14,10000,19.0
15,10600,19.0
16,11200,24.0
17,11800,24.0
18,12400,19.0
19,13000,24.0
20,13800,26.0
21,14400,28.0
22,15000,26.0
23,15600,26.0
24,16200,24.0
25,16800,26.0
26,17400,26.0
27,18200,26.0
28,18800,28.0
29,19400,28.0
30,20000,28.0
31,20600,28.0
32,21200,30.0
33,21800,26.0
34,22400,28.0
35,23000,28.0
36,23600,28.0
37,24200,26.0
38,24800,28.0
39,25400,26.0
40,26000,28.0
41,26600,28.0
42,27200,26.0
43,27800,28.0
44,28400,30.0
45,29000,30.0
46,29600,37.0
47,30200,30.0
48,30800,30.0
49,31400,30.0
50,32000,38.0
51,32600,30.0
52,33200,30.0
53,33800,42.0
54,34400,30.0
55,35000,38.0
56,35600,30.0
57,36200,38.0
58,36800,38.0
59,37400,38.0
60,38000,42.0
61,38600,38.0
62,39200,30.0
63,39800,30.0
64,40400,38.0
65,41200,40.0
66,41800,40.0
67,43000,44.0
68,43600,44.0
69,44200,45.0
70,44800,45.0
71,45400,46.0
72,46000,44.0
73,46600,46.0
74,47200,46.0
75,47800,45.0
76,48400,45.0
77,49000,46.0
78,49600,45.0
79,50200,45.0
80,50800,45.0
81,51400,45.0
82,52000,45.0
83,52600,46.0
84,53200,45.0
85,53800,45.0
86,54400,46.0
87,55000,45.0
88,55600,46.0
89,56200,45.0
90,56800,46.0
91,57400,46.0
92,58000,47.0
93,58600,48.0
94,59200,48.0
95,59800,47.0
96,60400,47.0
97,61000,47.0
98,61600,47.0
99,62200,48.0
100,62800,48.0
101,63400,48.0
102,64000,48.0
103,64600,49.0
104,65200,49.0
105,65800,48.0
106,66400,48.0
107,67000,48.0
108,67600,52.0
109,68200,52.0
110,68800,49.0
111,69400,48.0
112,70000,48.0
113,70600,48.0
114,71200,52.0
115,71800,48.0
116,72400,49.0
117,73000,48.0
118,73600,49.0
119,74200,49.0
120,74800,49.0
121,75400,49.0
122,76000,52.0
123,76600,48.0
124,77200,48.0
125,77800,48.0
126,78400,48.0
127,79000,48.0
128,79600,48.0
129,80200,48.0
130,80800,49.0
131,81400,49.0
132,82000,48.0
133,82600,49.0
134,83200,49.0
135,83800,48.0
136,84400,49.0
137,85000,48.0
138,85600,55.0
139,86200,49.0
140,86800,48.0
141,87400,48.0
142,88000,49.0
143,88600,49.0
144,89200,49.0
145,89800,48.0
146,90400,49.0
147,91000,49.0
148,91600,48.0
149,92200,49.0
150,92800,49.0
151,93400,50.0
152,94200,49.0
153,94800,50.0
154,95400,49.0
155,96000,49.0
156,96600,50.0
157,97200,49.0
158,97800,49.0
159,98400,55.0
160,99000,50.0
161,99600,54.0
162,100200,50.0
163,100800,49.0
164,101400,50.0
165,102000,50.0
166,102600,50.0
167,103200,52.0
168,103800,50.0
169,104400,50.0
170,105000,52.0
171,105600,50.0
172,106200,49.0
173,106800,50.0
174,107400,52.0
175,108000,50.0
176,108600,52.0
177,109400,51.0
178,110000,52.0
179,110600,51.0
180,111200,51.0
181,112000,51.0
182,112600,57.0
183,113200,52.0
184,113800,56.0
185,114400,52.0
186,115000,51.0
187,115600,57.0
188,116200,52.0
189,116800,51.0
190,117400,57.0
191,118000,52.0
192,118600,51.0
193,119200,52.0
194,119800,57.0
195,120400,57.0
196,121000,52.0
197,121600,52.0
198,122200,51.0
199,122800,52.0
200,123400,51.0
201,124000,52.0
202,124600,51.0
203,125200,52.0
204,125800,51.0
205,126400,52.0
206,127000,52.0
207,127600,52.0
208,128200,51.0
209,128800,51.0
210,129400,51.0
211,130000,52.0
212,130600,52.0
213,131200,52.0
214,131800,52.0
215,132400,52.0
216,133000,57.0
217,133600,57.0
218,134200,52.0
219,134800,57.0
220,135400,57.0
221,136000,52.0
222,136600,52.0
223,137200,52.0
224,137800,52.0
225,138400,57.0
226,139000,57.0
227,139600,52.0
228,140200,52.0
229,140800,57.0
230,141400,52.0
231,142000,57.0
232,142600,52.0
233,143200,52.0
234,143800,57.0
235,144400,52.0
236,145000,52.0
237,145600,52.0
238,146200,54.0
239,146800,54.0
240,147600,57.0
241,148200,58.0
242,148600,57.0
243,149000,54.0
244,149400,57.0
245,149800,54.0
246,150200,54.0
247,150600,57.0
248,151000,54.0
249,151400,54.0
250,151800,54.0
251,152200,54.0
252,152600,54.0
253,153000,57.0
254,153400,54.0
255,153800,57.0
256,154200,57.0
257,154600,57.0
258,155000,54.0
259,155400,57.0
260,155800,56.0
261,156200,57.0
262,156600,57.0
263,157000,54.0
264,157400,57.0
265,157800,57.0
266,158200,57.0
267,158600,56.0
268,159000,56.0
269,159400,56.0
270,159800,57.0
271,160200,56.0
272,160600,56.0
273,161000,56.0
274,161400,56.0
275,161800,56.0
276,162200,56.0
277,162600,56.0
278,163000,56.0
279,163400,56.0
280,163800,56.0
281,164200,56.0
282,164600,56.0
283,165000,56.0
284,165400,56.0
285,165800,56.0
286,166200,57.0
287,166600,56.0
288,167000,56.0
289,167400,57.0
290,167800,57.0
291,168200,57.0
292,168600,56.0
293,169000,56.0
294,169400,57.0
295,169800,57.0
296,170200,56.0
297,170600,57.0
298,171000,56.0
299,171400,56.0
300,171800,56.0
301,172200,57.0
302,172600,56.0
303,173000,56.0
304,173400,56.0
305,173800,57.0
306,174200,56.0
307,174600,56.0
308,175000,56.0
309,175400,56.0
310,175800,57.0
311,176200,57.0
312,176600,57.0
313,177000,57.0
314,177400,56.0
315,177800,57.0
316,178200,57.0
317,178600,57.0
318,179000,57.0
319,179400,58.0
320,179800,57.0
321,180200,57.0
322,180600,56.0
323,181000,56.0
324,181400,57.0
325,181800,57.0
326,182200,56.0
327,182600,56.0
328,183000,56.0
329,183400,56.0
330,183800,57.0
331,184200,57.0
332,184600,57.0
333,185000,56.0
334,185400,56.0
335,185800,57.0
336,186200,57.0
337,186600,56.0
338,187000,56.0
339,187400,56.0
340,187800,57.0
341,188200,57.0
342,188600,58.0
343,189000,56.0
344,189400,56.0
345,189800,56.0
346,190200,56.0
347,190600,56.0
348,191000,56.0
349,191400,56.0
350,191800,56.0
351,192200,57.0
352,192600,57.0
353,193000,57.0
354,193400,57.0
355,193800,57.0
356,194200,57.0
357,194600,57.0
358,195000,57.0
359,195400,57.0
360,195800,57.0
361,196200,57.0
362,196600,57.0
363,197000,57.0
364,197400,57.0
365,197800,57.0
366,198200,58.0
367,198600,57.0
368,199000,57.0
369,199400,58.0
370,199800,57.0
371,200200,58.0
372,200600,58.0
373,201000,57.0
374,201400,57.0
375,201800,57.0
376,202200,57.0
377,202600,57.0
378,203000,57.0
379,203400,58.0
380,203800,58.0
381,204200,58.0
382,204600,58.0
383,205000,57.0
384,205400,58.0
385,205800,57.0
386,206200,57.0
387,206600,57.0
388,207000,58.0
389,207400,57.0
390,207800,57.0
391,208200,57.0
392,208600,57.0
393,209000,58.0
394,209400,58.0
395,209800,58.0
396,210200,58.0
397,210600,58.0
398,211000,58.0
399,211400,57.0
400,211800,58.0
401,212200,58.0
402,212600,58.0
403,213000,57.0
404,213400,58.0
405,213800,58.0
406,214200,58.0
407,214600,58.0
408,215000,57.0
409,215400,57.0
410,215800,58.0
411,216200,58.0
412,216600,58.0
413,217000,58.0
414,217400,57.0
415,217800,58.0
416,218200,58.0
417,218600,58.0
418,219000,58.0
419,219400,58.0
420,219800,58.0
421,220200,58.0
422,220600,58.0
423,221000,58.0
424,221400,58.0
425,221800,58.0
426,222200,58.0
427,222600,58.0
428,223000,58.0
429,223400,58.0
430,223800,58.0
431,224200,57.0
432,224600,57.0
433,225000,57.0
434,225400,57.0
435,225800,58.0
436,226200,58.0
437,226600,58.0
438,227000,58.0
439,227400,57.0
440,227800,57.0
441,228200,58.0
442,228600,58.0
443,229000,58.0
444,229400,58.0
445,229800,57.0
446,230200,58.0
447,230600,58.0
448,231000,59.0
449,231400,58.0
450,231800,58.0
451,232200,58.0
452,232600,57.0
453,233000,57.0
454,233400,58.0
455,233800,57.0
456,234200,58.0
457,234600,58.0
458,235000,57.0
459,235400,58.0
460,235800,57.0
461,236200,57.0
462,236600,58.0
463,237000,58.0
464,237400,58.0
465,237800,58.0
466,238200,61.0
467,238600,61.0
468,239000,58.0
469,239400,61.0
470,239800,58.0
471,240200,58.0
472,240600,58.0
473,241000,58.0
474,241400,62.0
475,241800,58.0
476,242200,58.0
477,242600,58.0
478,243000,58.0
479,243400,60.0
480,243800,60.0
481,244200,60.0
482,244600,67.0
483,245000,60.0
484,245400,60.0
485,245800,60.0
486,246200,60.0
487,246600,60.0
488,247000,60.0
489,247400,62.0
490,247800,62.0
491,248200,62.0
492,248600,62.0
493,249000,62.0
494,249400,60.0
495,249800,62.0
496,250200,60.0
497,250600,60.0
498,251000,62.0
499,251400,60.0
500,251800,63.0
501,252200,60.0
502,252600,60.0
503,253000,60.0
504,253400,60.0
505,253800,60.0
506,254200,62.0
507,254600,60.0
508,255000,63.0
509,255400,60.0
510,255800,62.0
511,256200,62.0
512,256600,63.0
513,257000,67.0
514,257400,67.0
515,257800,75.0
516,258200,67.0
517,258600,67.0
518,259000,67.0
519,259400,76.0
520,259800,67.0
521,260200,67.0
522,260600,76.0
523,261000,67.0
524,261400,76.0
525,261800,76.0
526,262200,76.0
527,262600,76.0
528,263000,67.0
529,263400,67.0
530,263800,67.0
531,264200,76.0
532,264600,68.0
533,265000,67.0
534,265400,67.0
535,265800,76.0
536,266200,67.0
537,266600,67.0
538,267000,67.0
539,267400,67.0
540,267800,67.0
541,268200,67.0
542,268600,76.0
543,269000,70.0
544,269400,71.0
545,269800,70.0
546,270200,68.0
547,270600,70.0
548,271000,68.0
549,271400,70.0
550,271800,68.0
551,272200,70.0
552,272600,70.0
553,273000,68.0
554,273400,70.0
555,273800,68.0
556,274200,70.0
557,274600,68.0
558,275000,68.0
559,275400,70.0
560,275800,70.0
561,276200,70.0
562,276600,69.0
563,277000,70.0
564,277400,70.0
565,277800,69.0
566,278200,69.0
567,278600,68.0
568,279000,68.0
569,279400,70.0
570,279800,68.0
571,280200,68.0
572,280600,68.0
573,281000,68.0
574,281400,70.0
575,281800,68.0
576,282200,68.0
577,282600,68.0
578,283000,70.0
579,283400,68.0
580,283800,70.0
581,284200,70.0
582,284600,70.0
583,285000,68.0
