iters,fevals,fitness
0,2,2.0
1,4,2.0
2,6,2.0
3,8,2.0
4,10,2.0
5,12,2.0
6,14,2.0
7,16,2.0
8,18,2.0
9,20,2.0
10,22,2.0
11,24,2.0
12,26,2.0
13,28,2.0
14,30,2.0
15,32,2.0
16,34,2.0
17,36,2.0
18,38,2.0
19,40,2.0
20,42,2.0
21,44,2.0
22,46,2.0
23,48,2.0
24,50,2.0
25,52,2.0
26,54,2.0
27,56,2.0
28,58,2.0
29,60,2.0
30,62,2.0
31,64,2.0
32,66,2.0
33,68,2.0
34,70,2.0
35,72,2.0
36,74,2.0
37,76,2.0
38,78,2.0
39,80,2.0
40,82,2.0
41,84,2.0
42,86,2.0
43,88,2.0
44,90,2.0
45,92,2.0
46,94,2.0
47,96,2.0
48,98,2.0
49,100,2.0
50,102,2.0
51,104,2.0
52,106,2.0
53,108,2.0
54,110,2.0
55,112,2.0
56,114,2.0
57,116,2.0
58,118,2.0
59,120,2.0
60,122,2.0
61,124,2.0
62,126,2.0
63,128,2.0
64,130,2.0
65,132,2.0
66,134,2.0
67,136,2.0
68,138,2.0
69,140,2.0
70,142,2.0
71,144,2.0
72,146,2.0
73,148,2.0
74,150,2.0
75,152,2.0
76,154,2.0
77,157,5.0
78,159,5.0
79,161,5.0
80,163,5.0
81,165,5.0
82,167,5.0
83,169,5.0
84,171,5.0
85,173,5.0
86,175,5.0
87,177,5.0
88,179,5.0
89,181,5.0
90,183,5.0
91,185,5.0
92,187,5.0
93,189,5.0
94,191,5.0
95,193,5.0
96,195,5.0
97,197,5.0
98,199,5.0
99,201,5.0
100,203,5.0
101,205,5.0
102,207,5.0
103,209,5.0
104,211,5.0
105,213,5.0
106,215,5.0
107,217,5.0
108,219,5.0
109,221,5.0
110,223,5.0
111,225,5.0
112,227,5.0
113,229,5.0
114,231,5.0
115,233,5.0
116,235,5.0
117,237,5.0
118,239,5.0
119,241,5.0
120,243,5.0
121,245,5.0
122,247,5.0
123,249,5.0
124,251,5.0
125,253,5.0
126,255,5.0
127,257,5.0
128,259,5.0
129,261,5.0
130,263,5.0
131,265,5.0
132,267,5.0
133,269,5.0
134,271,5.0
135,273,5.0
136,275,5.0
137,277,5.0
138,279,5.0
139,281,5.0
140,283,5.0
141,285,5.0
142,287,5.0
143,289,5.0
144,291,5.0
145,293,5.0
146,295,5.0
147,297,5.0
148,299,5.0
149,301,5.0
150,303,5.0
151,305,5.0
152,307,5.0
153,309,5.0
154,311,5.0
155,313,5.0
156,315,5.0
157,317,5.0
158,319,5.0
159,321,5.0
160,323,5.0
161,325,5.0
162,327,5.0
163,329,5.0
164,331,5.0
165,333,5.0
166,335,5.0
167,337,5.0
168,339,5.0
169,341,5.0
170,343,5.0
171,345,5.0
172,347,5.0
173,349,5.0
174,351,5.0
175,353,5.0
176,355,5.0
177,357,5.0
178,359,5.0
179,361,5.0
180,363,5.0
181,365,5.0
182,367,5.0
183,369,5.0
184,371,5.0
185,373,5.0
186,375,5.0
187,377,5.0
188,379,5.0
189,381,5.0
190,383,5.0
191,385,5.0
192,387,5.0
193,389,5.0
194,391,5.0
195,393,5.0
196,395,5.0
197,397,5.0
198,399,5.0
199,401,5.0
200,403,5.0
201,405,5.0
202,407,5.0
203,409,5.0
204,411,5.0
205,413,5.0
206,415,5.0
207,417,5.0
208,419,5.0
209,421,5.0
210,423,5.0
211,425,5.0
212,427,5.0
213,429,5.0
214,431,5.0
215,433,5.0
216,435,5.0
217,437,5.0
218,439,5.0
219,441,5.0
220,443,5.0
221,445,5.0
222,447,5.0
223,449,5.0
224,451,5.0
225,453,5.0
226,455,5.0
227,457,5.0
228,459,5.0
229,461,5.0
230,463,5.0
231,465,5.0
232,467,5.0
233,469,5.0
234,471,5.0
235,473,5.0
236,475,5.0
237,477,5.0
238,479,5.0
239,481,5.0
240,483,5.0
241,485,5.0
242,487,5.0
243,489,5.0
244,491,5.0
245,493,5.0
246,495,5.0
247,497,5.0
248,499,5.0
249,500,5.0
250,501,5.0
251,502,5.0
252,503,5.0
253,504,5.0
254,505,5.0
255,506,5.0
256,507,5.0
257,508,5.0
258,509,5.0
259,510,5.0
260,511,5.0
261,512,5.0
262,513,5.0
263,514,5.0
264,515,5.0
265,516,5.0
266,517,5.0
267,518,5.0
268,519,5.0
269,520,5.0
270,521,5.0
271,522,5.0
272,523,5.0
273,524,5.0
274,525,5.0
275,526,5.0
276,527,5.0
277,528,5.0
278,529,5.0
279,530,5.0
280,531,5.0
281,532,5.0
282,533,5.0
283,534,5.0
284,535,9.0
285,536,9.0
286,537,9.0
287,538,9.0
288,539,9.0
289,540,9.0
290,541,9.0
291,542,9.0
292,543,9.0
293,544,9.0
294,545,9.0
295,546,9.0
296,547,9.0
297,548,9.0
298,549,9.0
299,550,10.0
300,551,10.0
301,552,10.0
302,553,12.0
303,554,12.0
304,555,12.0
305,556,12.0
306,557,12.0
307,558,12.0
308,559,12.0
309,560,12.0
310,561,12.0
311,562,12.0
312,563,12.0
313,564,12.0
314,565,12.0
315,566,12.0
316,567,12.0
317,568,12.0
318,569,12.0
319,570,12.0
320,571,12.0
321,572,12.0
322,573,12.0
323,574,12.0
324,575,12.0
325,576,12.0
326,577,12.0
327,578,12.0
328,579,12.0
329,580,12.0
330,581,12.0
331,582,12.0
332,583,12.0
333,584,12.0
334,585,12.0
335,586,12.0
336,587,12.0
337,588,12.0
338,589,12.0
339,590,12.0
340,591,12.0
341,592,12.0
342,593,12.0
343,594,12.0
344,595,12.0
345,596,12.0
346,597,12.0
347,598,12.0
348,599,12.0
349,600,12.0
350,601,12.0
351,602,12.0
352,603,12.0
353,604,12.0
354,605,12.0
355,606,12.0
356,607,12.0
357,608,12.0
358,609,12.0
359,610,12.0
360,611,12.0
361,612,12.0
362,613,12.0
363,614,12.0
364,615,12.0
365,616,12.0
366,617,12.0
367,618,12.0
368,619,12.0
369,620,12.0
370,621,12.0
371,622,12.0
372,623,12.0
373,624,12.0
374,625,12.0
375,626,12.0
376,627,12.0
377,628,12.0
378,629,12.0
379,630,12.0
380,631,12.0
381,632,12.0
382,633,12.0
383,634,12.0
384,635,12.0
385,636,12.0
386,637,12.0
387,638,12.0
388,639,12.0
389,640,12.0
390,641,12.0
391,642,12.0
392,643,12.0
393,644,12.0
394,645,12.0
395,646,12.0
396,647,12.0
397,648,12.0
398,649,12.0
399,650,12.0
400,651,12.0
401,652,12.0
402,653,12.0
403,654,12.0
404,655,12.0
405,656,12.0
406,657,12.0
407,658,12.0
408,659,12.0
409,660,12.0
410,661,12.0
411,662,12.0
412,663,12.0
413,664,12.0
414,665,12.0
415,666,12.0
416,667,12.0
417,668,12.0
418,669,12.0
419,670,12.0
420,671,12.0
421,672,12.0
422,673,12.0
423,674,12.0
424,675,12.0
425,676,12.0
426,677,12.0
427,678,12.0
428,679,12.0
429,680,12.0
430,681,12.0
431,682,12.0
432,683,12.0
433,684,12.0
434,685,12.0
435,686,12.0
436,687,12.0
437,688,12.0
438,689,12.0
439,690,12.0
440,691,12.0
441,692,12.0
442,693,12.0
443,694,12.0
444,695,12.0
445,696,12.0
446,697,12.0
447,698,12.0
448,699,12.0
449,700,12.0
450,701,12.0
451,702,12.0
