iters,fevals,fitness
0,77921,3338.446051785441
1,78074,3314.7707292266314
2,78228,3306.2282729976446
3,78384,3334.3867938707403
4,78540,3334.3867938707403
5,78694,3334.3867938707403
6,78852,3296.771077648765
7,79006,3316.11877882781
8,79162,3316.11877882781
9,79322,3334.32230920829
10,79478,3325.2874725262636
11,79634,3359.6598064547907
12,79789,3309.242998517531
13,79941,3323.6253757517625
14,80095,3361.7911538867443
15,80251,3361.7911538867443
16,80406,3290.5628519435986
17,80563,3357.671261430169
18,80719,3357.671261430169
19,80874,3306.029805837868
20,81031,3313.1969166708973
21,81184,3326.964575628653
22,81342,3359.769118935129
23,81500,3345.0472021055493
24,81656,3355.0809864029834
25,81810,3333.332923304248
26,81965,3319.432066521799
27,82121,3370.8132008401594
28,82277,3356.9917119457
29,82435,3350.7808336233184
30,82589,3350.7491727367164
31,82744,3414.920944272364
32,82898,3363.4775383780734
33,83051,3363.4775383780734
34,83204,3363.7039455564745
35,83360,3347.0664066051418
36,83515,3360.3603274805255
37,83671,3378.8811237274545
38,83825,3378.8811237274545
39,83980,3378.8811237274545
40,84134,3343.4693156688663
41,84291,3359.5540889904696
42,84449,3359.5540889904696
43,84604,3359.5540889904696
44,84760,3382.1890079227037
45,84918,3371.7383805191503
46,85072,3360.0954228293544
47,85228,3360.0954228293544
48,85384,3393.6687249386528
49,85539,3347.30335858574
50,85694,3353.525526608689
51,85849,3328.6970936614985
52,86005,3420.7498108389573
53,86162,3340.6634378632143
54,86316,3343.0848552338202
55,86471,3339.0598462793564
56,86624,3325.6640026855357
57,86777,3306.477472114211
58,86933,3300.708746424765
59,87086,3298.405972137373
60,87239,3348.989915733832
61,87395,3317.8093341989074
62,87552,3349.6547793870413
63,87710,3349.6547793870413
64,87868,3354.6384041896727
65,88025,3318.894642097703
66,88179,3350.6462595315734
67,88333,3319.0807758630144
68,88489,3329.862083672287
69,88645,3368.465508765982
70,88801,3359.5210522311118
71,88957,3359.5210522311118
72,89109,3311.513740213399
73,89264,3316.3427671060053
74,89418,3363.472036253943
75,89573,3363.472036253943
76,89729,3363.472036253943
77,89882,3381.282245693044
78,90036,3353.357732608126
79,90193,3336.928651643181
80,90349,3356.8769420564063
81,90508,3402.3794191155202
82,90663,3353.6627116650784
83,90819,3345.6874472972454
84,90971,3347.751536704086
85,91125,3396.4863040268056
86,91278,3305.6098061447
87,91436,3364.0339152417187
88,91594,3334.9038275864496
89,91751,3379.804573401141
90,91906,3348.071729005252
91,92061,3348.071729005252
92,92220,3324.9683007603517
93,92379,3324.9683007603517
94,92537,3330.3649277878903
95,92690,3379.9758954105205
96,92843,3379.9758954105205
97,92999,3358.3214748845185
98,93154,3325.6635936401435
99,93310,3382.5782783728478
100,93466,3308.894927200939
101,93622,3341.9305654036734
102,93777,3355.330891370493
103,93932,3335.3953938267236
104,94090,3361.6723152948866
105,94245,3363.841328770266
106,94406,3387.4968040575236
107,94566,3396.9679442157753
108,94721,3356.9870849637177
109,94874,3376.691550408861
110,95028,3404.3871044469024
111,95183,3369.473627220527
112,95337,3358.4440006459713
113,95496,3409.605921632989
114,95651,3407.7829373129607
115,95804,3382.598779763356
116,95962,3374.815720618567
117,96122,3448.9825198223916
118,96282,3378.520916565869
119,96436,3405.0843165869787
120,96589,3405.0843165869787
121,96746,3402.4033600962725
122,96899,3402.4033600962725
123,97055,3440.790979425518
124,97213,3381.7585352962087
125,97366,3359.299320799785
126,97519,3382.0440939987534
127,97677,3358.54912002031
128,97831,3377.0397755759454
129,97987,3435.6686191615304
130,98145,3390.5945342028103
131,98303,3358.445346324708
132,98457,3379.412555284963
133,98609,3363.28394533301
134,98764,3384.2786806752215
135,98918,3384.9771882869377
136,99070,3426.6154365465263
137,99228,3426.6154365465263
138,99384,3411.3991540746915
139,99543,3420.1964544629423
140,99698,3380.6654774189105
141,99852,3395.904460423583
142,100007,3417.0626657748694
143,100159,3419.9568535536305
144,100314,3425.9556347831513
145,100472,3413.6004037822036
146,100630,3440.1425560586995
147,100786,3453.2600654104135
148,100946,3459.0631334287905
149,101101,3431.9123544978706
150,101255,3431.220502612167
151,101412,3415.1823082513606
152,101565,3496.792411067602
153,101721,3430.26548089113
154,101879,3430.5118283556426
155,102037,3430.5118283556426
156,102194,3402.105908126858
157,102351,3426.9644961430513
158,102503,3456.052971814711
159,102657,3460.629680742081
160,102813,3440.7114993609366
161,102971,3395.272452198952
162,103128,3419.9638449200547
163,103286,3412.2238504800234
164,103440,3420.947927874917
165,103598,3391.321738745538
166,103754,3422.200790626245
167,103912,3422.200790626245
168,104068,3444.4862800195256
169,104224,3447.4217756986527
