iters,fevals,fitness
0,77926,6328.7100350790815
1,78080,6400.290976431622
2,78233,6364.091032002086
3,78389,6380.190342786479
4,78543,6414.569493986429
5,78694,6343.75247876808
6,78855,6322.674838592936
7,79009,6322.674838592936
8,79164,6317.886484160131
9,79319,6376.308155335606
10,79478,6305.5911699304625
11,79637,6267.982733730533
12,79796,6253.834687031221
13,79952,6335.493693489862
14,80108,6335.493693489862
15,80267,6273.96540676092
16,80421,6365.638535698875
17,80579,6252.660301115734
18,80733,6337.708995037542
19,80888,6317.472338100403
20,81043,6322.595451818838
21,81199,6215.411866255511
22,81356,6287.351826641635
23,81511,6318.370994204762
24,81666,6263.670516176729
25,81819,6265.414845913748
26,81976,6284.509160046285
27,82132,6307.264946855653
28,82286,6303.204292623698
29,82440,6355.880504816575
30,82595,6327.728304176589
31,82752,6382.525561146943
32,82905,6372.160167853625
33,83057,6318.313750441827
34,83211,6270.3455502609495
35,83366,6263.317761590276
36,83523,6259.02663792212
37,83681,6340.677097037874
38,83835,6321.603492554875
39,83992,6321.603492554875
40,84150,6331.1286459462
41,84303,6267.663466986177
42,84458,6210.633582863912
43,84615,6205.008886039031
44,84774,6260.8111170252805
45,84932,6211.343143577121
46,85089,6225.32523028543
47,85245,6251.856191166456
48,85401,6297.49905594189
49,85557,6297.49905594189
50,85710,6251.856191166456
51,85864,6204.0221967743755
52,86019,6220.907683181987
53,86175,6198.5847363616585
54,86331,6169.370046156663
55,86487,6147.448804849709
56,86641,6147.448804849709
57,86794,6153.66598669219
58,86950,6278.611104536108
59,87104,6199.103404092183
60,87261,6206.079034640846
61,87420,6166.355747771481
62,87581,6138.301672323617
63,87737,6143.762686895695
64,87895,6175.4562139429645
65,88050,6238.219878756866
66,88206,6238.219878756866
67,88363,6197.56373482427
68,88519,6197.56373482427
69,88673,6197.56373482427
70,88829,6242.840265235926
71,88986,6303.181844933136
72,89141,6225.9918556114635
73,89298,6196.599391926781
74,89453,6170.019608090398
75,89610,6166.817885414876
76,89764,6239.089256358216
77,89919,6188.62918147019
78,90075,6203.774723136853
79,90227,6182.503006746666
80,90380,6243.188112337649
81,90540,6306.2964695527235
82,90694,6255.3931009662565
83,90851,6255.3931009662565
84,91006,6202.4326298691185
85,91162,6347.166512398758
86,91319,6223.908782884836
87,91473,6289.035274426921
88,91628,6289.035274426921
89,91787,6209.193573411801
90,91940,6209.193573411801
91,92095,6315.584822507805
92,92250,6281.246086720502
93,92406,6250.903635797035
94,92560,6375.524185412133
95,92716,6375.524185412133
96,92871,6281.006975616497
97,93027,6316.523439096071
98,93183,6271.3169675822055
99,93342,6343.168489379318
100,93494,6358.252428687877
101,93652,6339.275714733746
102,93808,6380.578408372213
103,93966,6331.314460859015
104,94121,6331.314460859015
105,94278,6331.314460859015
106,94431,6331.314460859015
107,94585,6331.314460859015
108,94736,6330.256258093995
109,94891,6330.256258093995
110,95048,6345.681811886264
111,95203,6345.681811886264
112,95358,6360.812478891433
113,95512,6358.767558886476
114,95668,6359.706351810341
115,95830,6369.516819912008
116,95987,6377.77335316786
117,96141,6343.833088076834
118,96295,6420.7540889288
119,96450,6420.7540889288
120,96608,6420.7540889288
121,96766,6374.367198479876
122,96924,6425.5687169092025
123,97081,6521.779420234502
124,97232,6521.779420234502
125,97389,6521.779420234502
126,97546,6396.439197464023
127,97702,6396.439197464023
128,97859,6388.865426352907
129,98017,6465.9776171039
130,98172,6419.556713204921
131,98330,6406.452915905472
132,98485,6376.689482778263
133,98645,6392.337180314841
134,98800,6372.032750172294
135,98958,6399.915377825361
136,99114,6369.650977633651
137,99273,6445.040023333645
138,99429,6409.695136981222
139,99581,6395.52496665759
140,99736,6382.146766472634
141,99893,6351.8450719212005
142,100048,6400.228045672348
143,100201,6427.039214875552
144,100356,6353.0006528309905
145,100514,6353.0006528309905
146,100664,6340.467556006003
147,100818,6340.467556006003
148,100974,6439.6996631375905
149,101130,6439.6996631375905
150,101287,6406.873068659116
151,101447,6406.873068659116
152,101602,6423.688623527981
153,101755,6354.203760558669
154,101915,6384.389173471044
155,102072,6387.3998858771365
156,102228,6387.3998858771365
157,102381,6447.320606962486
158,102536,6317.934348420863
159,102691,6365.939078413171
160,102845,6424.126248308366
161,103000,6537.891897665909
162,103159,6405.970311948883
163,103316,6405.970311948883
164,103469,6378.418162445715
165,103629,6393.89135700797
166,103790,6393.89135700797
167,103947,6381.311917003012
168,104098,6418.031378822897
169,104253,6405.033676563678
170,104409,6394.034074071454
171,104563,6380.305282555862
172,104717,6380.305282555862
173,104871,6380.305282555862
174,105030,6397.566803726418
175,105187,6443.264309640649
176,105343,6423.130122094114
177,105500,6402.876330282
178,105657,6445.092651511829
179,105813,6387.411201034051
180,105969,6414.2088625884435
181,106126,6355.33919449308
182,106281,6406.273669283254
183,106438,6406.273669283254
184,106593,6376.937007835136
185,106751,6379.304556085414
186,106906,6401.828233627287
187,107063,6382.875849756189
188,107218,6438.738566502708
189,107373,6433.341291302969
190,107531,6405.091839468328
191,107689,6389.586474814475
192,107845,6371.980887150012
193,108000,6388.073080201565
194,108153,6411.522655761511
195,108310,6411.522655761511
196,108464,6411.522655761511
197,108618,6398.565205202452
198,108775,6432.408114835561
199,108933,6422.168525539969
200,109090,6432.354223934669
201,109249,6381.865092648802
202,109407,6323.226098839127
203,109566,6347.856341440834
204,109725,6368.100624255329
205,109882,6431.625781463449
206,110039,6502.545127147271
207,110197,6436.776726241774
208,110354,6436.776726241774
209,110513,6392.284783728931
210,110667,6390.898779403416
211,110824,6406.949997408788
212,110981,6408.255560894969
213,111135,6406.802212471671
214,111292,6406.515228234782
215,111452,6384.097784758521
216,111607,6368.666534167892
217,111763,6406.223896237331
218,111919,6459.524925863684
219,112073,6427.640139632743
220,112228,6354.304965854927
221,112388,6341.286706367929
222,112543,6383.874346069565
223,112697,6395.035815288101
224,112853,6483.033728189027
225,113010,6409.1284971365685
226,113165,6353.18181058111
227,113322,6409.340102964691
228,113477,6364.989303765548
229,113637,6375.482046769123
230,113794,6412.505556095154
231,113952,6342.281942489123
232,114107,6378.650570639896
233,114266,6450.722276422938
234,114421,6380.889328131977
235,114579,6367.297050304532
236,114732,6443.534243108824
237,114888,6369.600963193724
238,115049,6388.877613440166
