iters,fevals,fitness
0,6200,3640.5514050279967
1,6800,3640.5514050279967
2,7400,3640.5514050279967
3,8000,3640.5514050279967
4,8600,3651.2154092812507
5,9200,3645.743322713365
6,9800,3645.743322713365
7,10400,3638.317632014839
8,11000,3656.887763794805
9,11600,3638.317632014839
10,12200,3652.5569331932547
11,12800,3652.5569331932547
12,13400,3652.5569331932547
13,14000,3633.986801413289
14,14600,3633.986801413289
15,15200,3633.986801413289
16,15800,3639.3834284408276
17,16400,3633.986801413289
18,17000,3633.986801413289
19,17600,3633.986801413289
20,18200,3633.986801413289
21,18800,3633.986801413289
22,19400,3633.986801413289
23,20000,3633.986801413289
24,20600,3633.986801413289
25,21200,3633.986801413289
26,21800,3633.986801413289
27,22400,3633.986801413289
28,23000,3633.986801413289
29,23600,3633.986801413289
30,24200,3654.1278598828917
31,24800,3633.986801413289
32,25400,3633.986801413289
33,26000,3639.3834284408276
34,26600,3633.986801413289
35,27200,3633.986801413289
36,27800,3633.986801413289
37,28400,3633.986801413289
38,29000,3633.986801413289
39,29600,3633.986801413289
40,30200,3633.986801413289
41,30800,3633.986801413289
42,31400,3641.4124921118146
43,32000,3641.4124921118146
44,32600,3641.4124921118146
45,33200,3641.4124921118146
46,33800,3641.4124921118146
47,34400,3641.4124921118146
48,35000,3641.4124921118146
49,35600,3633.986801413289
50,36200,3633.986801413289
51,36800,3639.3834284408276
52,37400,3641.4124921118146
53,38000,3633.986801413289
54,38600,3633.986801413289
55,39200,3633.986801413289
56,39800,3633.986801413289
57,40400,3633.986801413289
58,41000,3633.986801413289
59,41600,3633.986801413289
60,42200,3633.986801413289
61,42800,3633.986801413289
62,43400,3633.986801413289
63,44000,3633.986801413289
64,44600,3633.986801413289
65,45200,3633.986801413289
66,45800,3633.986801413289
67,46400,3641.4124921118146
68,47000,3633.986801413289
69,47600,3633.986801413289
70,48200,3633.986801413289
71,48800,3641.4124921118146
72,49400,3641.4124921118146
73,50000,3633.986801413289
74,50600,3639.3834284408276
75,51200,3633.986801413289
76,51800,3633.986801413289
77,52400,3633.986801413289
78,53000,3633.986801413289
79,53600,3633.986801413289
80,54200,3633.986801413289
81,54800,3633.986801413289
82,55400,3633.986801413289
83,56000,3633.986801413289
84,56600,3633.986801413289
85,57200,3633.986801413289
86,57800,3633.986801413289
87,58400,3633.986801413289
88,59000,3641.4124921118146
89,59600,3652.5569331932547
90,60200,3633.986801413289
91,60800,3633.986801413289
92,61400,3633.986801413289
93,62000,3633.986801413289
94,62600,3633.986801413289
95,63200,3633.986801413289
96,63800,3633.986801413289
97,64400,3635.4404303547053
98,65000,3633.986801413289
99,65600,3635.4404303547053
100,66200,3635.4404303547053
101,66800,3635.4404303547053
102,67400,3641.4124921118146
103,68000,3641.4124921118146
104,68600,3639.7021689805783
105,69200,3633.986801413289
106,69800,3633.986801413289
107,70400,3633.986801413289
108,71000,3633.986801413289
109,71600,3633.986801413289
110,72200,3633.986801413289
111,72800,3633.986801413289
112,73400,3633.986801413289
113,74000,3635.4404303547053
114,74600,3635.4404303547053
115,75200,3635.4404303547053
116,75800,3639.7021689805783
117,76400,3639.7021689805783
118,77000,3639.7021689805783
119,77600,3639.7021689805783
120,78200,3635.4404303547053
121,78800,3639.7021689805783
122,79400,3639.7021689805783
123,80000,3639.7021689805783
124,80600,3633.986801413289
125,81200,3633.986801413289
126,81800,3633.986801413289
127,82400,3633.986801413289
128,83000,3639.3834284408276
129,83600,3633.986801413289
130,84200,3633.986801413289
131,84800,3633.986801413289
132,85400,3633.986801413289
133,86000,3633.986801413289
134,86600,3633.986801413289
135,87200,3633.986801413289
136,87800,3633.986801413289
137,88400,3633.986801413289
138,89000,3633.986801413289
139,89600,3633.986801413289
140,90200,3633.986801413289
141,90800,3633.986801413289
142,91400,3633.986801413289
143,92000,3635.940405543929
144,92600,3633.986801413289
145,93200,3635.940405543929
146,93800,3633.986801413289
147,94400,3633.986801413289
148,95000,3633.986801413289
149,95600,3633.986801413289
150,96200,3654.1278598828917
151,96800,3633.986801413289
152,97400,3633.986801413289
153,98000,3633.986801413289
154,98600,3635.4404303547053
155,99200,3633.986801413289
156,99800,3633.986801413289
157,100400,3633.986801413289
158,101000,3633.986801413289
159,101600,3633.986801413289
160,102200,3633.986801413289
161,102800,3633.986801413289
162,103400,3633.986801413289
163,104000,3633.986801413289
164,104600,3633.986801413289
165,105200,3633.986801413289
166,105800,3633.986801413289
167,106400,3633.986801413289
168,107000,3633.986801413289
169,107600,3633.986801413289
170,108200,3633.986801413289
171,108800,3641.4124921118146
172,109400,3641.4124921118146
173,110000,3633.986801413289
174,110600,3639.7021689805783
175,111200,3633.986801413289
176,111800,3633.986801413289
177,112400,3633.986801413289
178,113000,3633.986801413289
179,113600,3633.986801413289
180,114200,3633.986801413289
181,114800,3633.986801413289
182,115400,3633.986801413289
183,116000,3633.986801413289
184,116600,3633.986801413289
185,117200,3635.940405543929
186,117800,3633.986801413289
187,118400,3633.986801413289
188,119000,3633.986801413289
189,119600,3635.940405543929
190,120200,3635.940405543929
191,120800,3633.986801413289
192,121400,3639.3834284408276
193,122000,3639.3834284408276
194,122600,3639.3834284408276
195,123200,3639.3834284408276
196,123800,3641.4124921118146
197,124400,3639.3834284408276
198,125000,3639.3834284408276
199,125600,3633.986801413289
200,126200,3633.986801413289
201,126800,3633.986801413289
202,127400,3633.986801413289
203,128000,3633.986801413289
204,128600,3633.986801413289
205,129200,3633.986801413289
206,129800,3633.986801413289
207,130400,3633.986801413289
208,131000,3633.986801413289
209,131600,3633.986801413289
210,132200,3633.986801413289
211,132800,3635.4404303547053
212,133400,3633.986801413289
213,134000,3633.986801413289
214,134600,3633.986801413289
215,135200,3641.4124921118146
216,135800,3633.986801413289
217,136400,3633.986801413289
218,137000,3633.986801413289
219,137600,3633.986801413289
220,138200,3652.5569331932547
221,138800,3633.986801413289
222,139400,3633.986801413289
223,140000,3633.986801413289
224,140600,3633.986801413289
225,141200,3635.940405543929
226,141800,3633.986801413289
227,142400,3633.986801413289
228,143000,3633.986801413289
229,143600,3633.986801413289
230,144200,3633.986801413289
231,144800,3633.986801413289
232,145400,3633.986801413289
233,146000,3633.986801413289
234,146600,3641.4124921118146
235,147000,3633.986801413289
236,147400,3633.986801413289
237,147800,3633.986801413289
238,148200,3633.986801413289
239,148600,3633.986801413289
240,149000,3633.986801413289
241,149400,3639.3834284408276
242,149800,3633.986801413289
243,150200,3635.940405543929
244,150600,3633.986801413289
245,151000,3633.986801413289
246,151400,3633.986801413289
247,151800,3633.986801413289
248,152200,3633.986801413289
249,152600,3633.986801413289
250,153000,3633.986801413289
251,153400,3633.986801413289
252,153800,3633.986801413289
253,154200,3633.986801413289
254,154600,3633.986801413289
255,155000,3633.986801413289
256,155400,3633.986801413289
257,155800,3633.986801413289
258,156200,3633.986801413289
259,156600,3633.986801413289
260,157000,3633.986801413289
261,157400,3652.5569331932547
262,157800,3633.986801413289
263,158200,3633.986801413289
264,158600,3633.986801413289
265,159000,3635.4404303547053
266,159400,3633.986801413289
267,159800,3635.940405543929
268,160200,3639.3834284408276
269,160600,3633.986801413289
270,161000,3633.986801413289
271,161400,3633.986801413289
272,161800,3633.986801413289
273,162200,3633.986801413289
274,162600,3633.986801413289
275,163000,3633.986801413289
276,163400,3633.986801413289
277,163800,3633.986801413289
278,164200,3633.986801413289
279,164600,3633.986801413289
280,165000,3635.940405543929
281,165400,3633.986801413289
282,165800,3633.986801413289
283,166200,3633.986801413289
284,166600,3633.986801413289
285,167000,3633.986801413289
286,167400,3633.986801413289
287,167800,3633.986801413289
288,168200,3635.4404303547053
289,168600,3633.986801413289
290,169000,3633.986801413289
291,169400,3633.986801413289
292,169800,3633.986801413289
293,170200,3633.986801413289
294,170600,3635.697124544525
295,171000,3635.697124544525
296,171400,3635.697124544525
297,171800,3633.986801413289
298,172200,3633.986801413289
299,172600,3633.986801413289
300,173000,3633.986801413289
301,173400,3633.986801413289
302,173800,3633.986801413289
303,174200,3633.986801413289
304,174600,3633.986801413289
305,175000,3633.986801413289
306,175400,3633.986801413289
307,175800,3633.986801413289
308,176200,3633.986801413289
309,176600,3639.7021689805783
310,177000,3633.986801413289
311,177400,3633.986801413289
312,177800,3633.986801413289
313,178200,3639.7021689805783
314,178600,3633.986801413289
315,179000,3633.986801413289
316,179400,3633.986801413289
317,179800,3635.4404303547053
318,180200,3642.257105448498
319,180600,3633.986801413289
320,181000,3633.986801413289
321,181400,3633.986801413289
322,181800,3633.986801413289
323,182200,3633.986801413289
324,182600,3633.986801413289
325,183000,3633.986801413289
326,183400,3633.986801413289
327,183800,3633.986801413289
328,184200,3633.986801413289
329,184600,3633.986801413289
330,185000,3635.4404303547053
331,185400,3633.986801413289
332,185800,3633.986801413289
333,186200,3633.986801413289
334,186600,3633.986801413289
335,187000,3635.940405543929
336,187400,3633.986801413289
337,187800,3633.986801413289
338,188200,3633.986801413289
339,188600,3633.986801413289
340,189000,3633.986801413289
341,189400,3633.986801413289
342,189800,3633.986801413289
343,190200,3633.986801413289
344,190600,3633.986801413289
345,191000,3633.986801413289
346,191400,3633.986801413289
347,191800,3633.986801413289
348,192200,3633.986801413289
349,192600,3633.986801413289
350,193000,3633.986801413289
351,193400,3633.986801413289
352,193800,3633.986801413289
353,194200,3641.4124921118146
354,194600,3633.986801413289
355,195000,3633.986801413289
356,195400,3633.986801413289
357,195800,3633.986801413289
358,196200,3633.986801413289
359,196600,3633.986801413289
360,197000,3633.986801413289
361,197400,3639.3834284408276
362,197800,3633.986801413289
363,198200,3633.986801413289
364,198600,3640.8728472070857
365,199000,3633.986801413289
366,199400,3633.986801413289
367,199800,3635.940405543929
368,200200,3633.986801413289
369,200600,3633.986801413289
370,201000,3633.986801413289
371,201400,3633.986801413289
372,201800,3633.986801413289
373,202200,3633.986801413289
374,202600,3633.986801413289
375,203000,3633.986801413289
376,203400,3633.986801413289
377,203800,3633.986801413289
378,204200,3633.986801413289
379,204600,3633.986801413289
380,205000,3633.986801413289
381,205400,3633.986801413289
382,205800,3633.986801413289
383,206200,3633.986801413289
384,206600,3633.986801413289
385,207000,3633.986801413289
386,207400,3633.986801413289
387,207800,3635.940405543929
388,208200,3645.0442909457342
389,208600,3645.0442909457342
390,209000,3633.986801413289
391,209400,3633.986801413289
392,209800,3633.986801413289
393,210200,3633.986801413289
394,210600,3633.986801413289
395,211000,3633.986801413289
396,211400,3633.986801413289
397,211800,3633.986801413289
398,212200,3633.986801413289
399,212600,3633.986801413289
400,213000,3633.986801413289
401,213400,3633.986801413289
402,213800,3633.986801413289
403,214200,3633.986801413289
404,214600,3633.986801413289
405,215000,3633.986801413289
406,215400,3633.986801413289
407,215800,3633.986801413289
408,216200,3633.986801413289
409,216600,3633.986801413289
410,217000,3633.986801413289
411,217400,3633.986801413289
412,217800,3633.986801413289
413,218200,3633.986801413289
414,218600,3633.986801413289
415,219000,3641.4124921118146
416,219400,3633.986801413289
417,219800,3633.986801413289
418,220200,3633.986801413289
419,220600,3633.986801413289
420,221000,3633.986801413289
421,221400,3633.986801413289
422,221800,3633.986801413289
423,222200,3633.986801413289
424,222600,3633.986801413289
425,223000,3633.986801413289
426,223400,3633.986801413289
427,223800,3633.986801413289
428,224200,3633.986801413289
429,224600,3633.986801413289
430,225000,3633.986801413289
431,225400,3633.986801413289
432,225800,3633.986801413289
433,226200,3633.986801413289
434,226600,3633.986801413289
435,227000,3633.986801413289
436,227400,3633.986801413289
437,227800,3633.986801413289
438,228200,3635.4404303547053
439,228600,3635.940405543929
440,229000,3633.986801413289
441,229400,3633.986801413289
442,229800,3633.986801413289
443,230200,3633.986801413289
444,230600,3633.986801413289
445,231000,3633.986801413289
446,231400,3633.986801413289
447,231800,3633.986801413289
448,232200,3633.986801413289
449,232600,3633.986801413289
450,233000,3633.986801413289
451,233400,3633.986801413289
452,233800,3633.986801413289
453,234200,3633.986801413289
454,234600,3633.986801413289
455,235000,3654.7539597686455
456,235400,3633.986801413289
457,235800,3633.986801413289
458,236200,3638.8062960392504
459,236600,3633.986801413289
460,237000,3633.986801413289
461,237400,3633.986801413289
462,237800,3635.940405543929
463,238200,3639.7021689805783
464,238600,3633.986801413289
465,239000,3633.986801413289
466,239400,3633.986801413289
467,239800,3633.986801413289
468,240200,3633.986801413289
469,240600,3633.986801413289
470,241000,3633.986801413289
471,241400,3633.986801413289
472,241800,3633.986801413289
473,242200,3633.986801413289
474,242600,3633.986801413289
475,243000,3633.986801413289
476,243400,3633.986801413289
477,243800,3633.986801413289
478,244200,3633.986801413289
479,244600,3633.986801413289
480,245000,3633.986801413289
481,245400,3633.986801413289
482,245800,3633.986801413289
483,246200,3633.986801413289
484,246600,3633.986801413289
485,247000,3633.986801413289
486,247400,3633.986801413289
487,247800,3633.986801413289
488,248200,3633.986801413289
489,248600,3633.986801413289
490,249000,3633.986801413289
491,249400,3633.986801413289
492,249800,3633.986801413289
493,250200,3633.986801413289
494,250600,3633.986801413289
495,251000,3633.986801413289
496,251400,3633.986801413289
497,251800,3633.986801413289
498,252200,3633.986801413289
499,252600,3655.5204620298928
500,253000,3633.986801413289
501,253400,3633.986801413289
502,253800,3633.986801413289
503,254200,3633.986801413289
504,254600,3633.986801413289
505,255000,3633.986801413289
506,255400,3633.986801413289
507,255800,3633.986801413289
508,256200,3635.4404303547053
509,256600,3633.986801413289
510,257000,3633.986801413289
511,257400,3633.986801413289
512,257800,3633.986801413289
513,258200,3633.986801413289
514,258600,3633.986801413289
515,259000,3633.986801413289
516,259400,3633.986801413289
517,259800,3633.986801413289
518,260200,3635.940405543929
519,260600,3633.986801413289
520,261000,3633.986801413289
521,261400,3633.986801413289
522,261800,3641.4124921118146
523,262200,3639.3834284408276
524,262600,3639.7021689805783
525,263000,3633.986801413289
526,263400,3633.986801413289
527,263800,3633.986801413289
528,264200,3639.7021689805783
529,264600,3639.7021689805783
530,265000,3633.986801413289
531,265400,3641.4124921118146
532,265800,3633.986801413289
533,266200,3633.986801413289
534,266600,3633.986801413289
535,267000,3633.986801413289
536,267400,3633.986801413289
537,267800,3633.986801413289
538,268200,3633.986801413289
539,268600,3635.6307454672865
540,269000,3635.6307454672865
541,269400,3633.986801413289
542,269800,3635.6307454672865
543,270200,3633.986801413289
544,270600,3641.4124921118146
545,271000,3633.986801413289
546,271400,3633.986801413289
547,271800,3633.986801413289
548,272200,3633.986801413289
549,272600,3633.986801413289
550,273000,3633.986801413289
551,273400,3635.4404303547053
552,273800,3633.986801413289
553,274200,3633.986801413289
554,274600,3633.986801413289
555,275000,3633.986801413289
556,275400,3633.986801413289
557,275800,3633.986801413289
558,276200,3633.986801413289
559,276600,3633.986801413289
560,277000,3633.986801413289
561,277400,3633.986801413289
562,277800,3633.986801413289
563,278200,3633.986801413289
564,278600,3633.986801413289
565,279000,3633.986801413289
566,279400,3633.986801413289
567,279800,3633.986801413289
568,280200,3633.986801413289
569,280600,3633.986801413289
570,281000,3633.986801413289
571,281400,3633.986801413289
572,281800,3641.4124921118146
573,282200,3641.4124921118146
574,282600,3641.4124921118146
575,283000,3641.4124921118146
576,283400,3641.4124921118146
577,283800,3641.4124921118146
578,284200,3641.4124921118146
579,284600,3633.986801413289
580,285000,3633.986801413289
581,285400,3633.986801413289
582,285800,3633.986801413289
583,286200,3633.986801413289
584,286600,3633.986801413289
585,287000,3633.986801413289
586,287400,3635.940405543929
587,287800,3633.986801413289
588,288200,3639.3834284408276
589,288600,3633.986801413289
590,289000,3633.986801413289
591,289400,3633.986801413289
592,289800,3633.986801413289
593,290200,3633.986801413289
594,290600,3633.986801413289
595,291000,3633.986801413289
596,291400,3633.986801413289
597,291800,3633.986801413289
598,292200,3633.986801413289
599,292600,3633.986801413289
600,293000,3633.986801413289
601,293400,3633.986801413289
602,293800,3641.4124921118146
603,294200,3633.986801413289
604,294600,3633.986801413289
605,295000,3633.986801413289
606,295400,3633.986801413289
607,295800,3633.986801413289
608,296200,3633.986801413289
609,296600,3633.986801413289
610,297000,3633.986801413289
611,297400,3633.986801413289
612,297800,3633.986801413289
613,298200,3639.3834284408276
614,298600,3633.986801413289
615,299000,3633.986801413289
616,299400,3633.986801413289
617,299800,3633.986801413289
618,300200,3633.986801413289
619,300600,3633.986801413289
620,301000,3633.986801413289
621,301400,3633.986801413289
622,301800,3633.986801413289
623,302200,3633.986801413289
624,302600,3633.986801413289
625,303000,3633.986801413289
626,303400,3633.986801413289
627,303800,3633.986801413289
628,304200,3633.986801413289
629,304600,3633.986801413289
630,305000,3633.986801413289
631,305400,3633.986801413289
632,305800,3633.986801413289
633,306200,3633.986801413289
634,306600,3633.986801413289
635,307000,3633.986801413289
636,307400,3633.986801413289
637,307800,3633.986801413289
638,308200,3639.3834284408276
639,308600,3635.940405543929
640,309000,3644.306581238837
641,309400,3644.306581238837
642,309800,3657.339212332891
643,310200,3639.3834284408276
644,310600,3639.3834284408276
645,311000,3639.3834284408276
646,311400,3639.3834284408276
647,311800,3639.3834284408276
648,312200,3639.3834284408276
649,312600,3639.3834284408276
650,313000,3639.3834284408276
651,313400,3639.3834284408276
652,313800,3639.3834284408276
653,314200,3639.3834284408276
654,314600,3639.3834284408276
655,315000,3639.3834284408276
656,315400,3639.3834284408276
657,315800,3639.3834284408276
658,316200,3639.3834284408276
659,316600,3639.3834284408276
660,317000,3639.3834284408276
661,317400,3639.3834284408276
662,317800,3639.3834284408276
663,318200,3633.986801413289
664,318600,3639.3834284408276
665,319000,3639.3834284408276
666,319400,3641.3370325714677
667,319800,3641.3370325714677
668,320200,3633.986801413289
669,320600,3633.986801413289
670,321000,3633.986801413289
671,321400,3633.986801413289
672,321800,3633.986801413289
673,322200,3633.986801413289
674,322600,3633.986801413289
675,323000,3633.986801413289
676,323400,3633.986801413289
677,323800,3633.986801413289
678,324200,3641.4124921118146
679,324600,3633.986801413289
680,325000,3633.986801413289
681,325400,3633.986801413289
682,325800,3633.986801413289
683,326200,3633.986801413289
684,326600,3633.986801413289
685,327000,3633.986801413289
686,327400,3633.986801413289
687,327800,3633.986801413289
688,328200,3633.986801413289
689,328600,3652.5569331932547
690,329000,3635.940405543929
691,329400,3633.986801413289
692,329800,3641.4124921118146
693,330200,3633.986801413289
694,330600,3635.4404303547053
695,331000,3633.986801413289
696,331400,3633.986801413289
697,331800,3641.4124921118146
698,332200,3633.986801413289
699,332600,3633.986801413289
700,333000,3633.986801413289
701,333400,3633.986801413289
702,333800,3633.986801413289
703,334200,3633.986801413289
704,334600,3641.4124921118146
705,335000,3641.4124921118146
706,335400,3641.4124921118146
707,335800,3641.4124921118146
708,336200,3641.4124921118146
709,336600,3641.4124921118146
710,337000,3641.4124921118146
711,337400,3641.4124921118146
712,337800,3641.4124921118146
713,338200,3641.4124921118146
714,338600,3641.4124921118146
715,339000,3641.4124921118146
