iters,fevals,fitness
0,5200,2408.3846625975475
1,5800,2408.3846625975475
2,6400,2393.9345735601773
3,7000,2401.1596180788624
4,7600,2430.2700572514764
5,8200,2430.2700572514764
6,8800,2393.9345735601773
7,9400,2393.9345735601773
8,10000,2401.1596180788624
9,10600,2401.1596180788624
10,11200,2430.2700572514764
11,11800,2430.2700572514764
12,12400,2430.2700572514764
13,13000,2430.2700572514764
14,13600,2430.2700572514764
15,14200,2401.884087285346
16,14800,2399.2342493769565
17,15400,2393.9345735601773
18,16000,2408.6133079161973
19,16600,2430.2700572514764
20,17200,2393.9345735601773
21,17800,2393.9345735601773
22,18400,2396.584411468567
23,19000,2393.9345735601773
24,19600,2393.9345735601773
25,20200,2393.9345735601773
26,20800,2393.9345735601773
27,21400,2408.6133079161973
28,22000,2401.1596180788624
29,22600,2393.9345735601773
30,23200,2401.1596180788624
31,23800,2393.9345735601773
32,24400,2393.9345735601773
33,25000,2393.9345735601773
34,25600,2408.6133079161973
35,26200,2401.884087285346
36,26800,2408.6133079161973
37,27400,2430.2700572514764
38,28000,2399.2342493769565
39,28600,2399.2342493769565
40,29200,2393.9345735601773
41,29800,2393.9345735601773
42,30400,2393.9345735601773
43,31000,2393.9345735601773
44,31600,2393.9345735601773
45,32200,2393.9345735601773
46,32800,2393.9345735601773
47,33400,2393.9345735601773
48,34000,2393.9345735601773
49,34600,2393.9345735601773
50,35200,2430.2700572514764
51,35800,2393.9345735601773
52,36400,2401.884087285346
53,37000,2401.884087285346
54,37600,2393.9345735601773
55,38200,2393.9345735601773
56,38800,2395.4995788099145
57,39400,2404.5339251937357
58,40000,2395.4995788099145
59,40600,2393.9345735601773
60,41200,2393.9345735601773
61,41800,2393.9345735601773
62,42400,2393.9345735601773
63,43000,2393.9345735601773
64,43600,2393.9345735601773
65,44200,2393.9345735601773
66,44800,2408.3846625975475
67,45400,2408.3846625975475
68,46000,2408.3846625975475
69,46600,2408.3846625975475
70,47200,2430.2700572514764
71,47800,2408.3846625975475
72,48400,2393.9345735601773
73,49000,2393.9345735601773
74,49600,2393.9345735601773
75,50200,2444.948791607496
76,50800,2430.2700572514764
77,51400,2430.2700572514764
78,52000,2444.948791607496
79,52600,2441.8187811080215
80,53200,2430.2700572514764
81,53800,2430.2700572514764
82,54400,2430.2700572514764
83,55000,2430.2700572514764
84,55600,2430.2700572514764
85,56200,2430.2700572514764
86,56800,2430.2700572514764
87,57400,2393.9345735601773
88,58000,2401.1596180788624
89,58600,2408.3846625975475
90,59200,2393.9345735601773
91,59800,2393.9345735601773
92,60400,2393.9345735601773
93,61000,2393.9345735601773
94,61600,2401.1596180788624
95,62200,2393.9345735601773
96,62800,2393.9345735601773
97,63400,2393.9345735601773
98,64000,2393.9345735601773
99,64600,2404.5339251937357
100,65200,2393.9345735601773
101,65800,2393.9345735601773
102,66400,2393.9345735601773
103,67000,2393.9345735601773
104,67600,2393.9345735601773
105,68200,2393.9345735601773
106,68800,2393.9345735601773
107,69400,2399.2342493769565
108,70000,2399.2342493769565
109,70600,2393.9345735601773
110,71200,2395.4995788099145
111,71800,2393.9345735601773
112,72400,2399.2342493769565
113,73000,2399.2342493769565
114,73600,2393.9345735601773
115,74200,2393.9345735601773
116,74800,2393.9345735601773
117,75400,2408.6133079161973
118,76000,2408.6133079161973
119,76600,2393.9345735601773
120,77200,2408.3846625975475
121,77800,2393.9345735601773
122,78400,2393.9345735601773
123,79000,2393.9345735601773
124,79600,2408.3846625975475
125,80200,2430.2700572514764
126,80800,2430.2700572514764
127,81400,2430.2700572514764
128,82000,2430.2700572514764
129,82600,2430.2700572514764
130,83200,2430.2700572514764
131,83800,2423.601614080702
132,84400,2430.2700572514764
133,85000,2430.2700572514764
134,85600,2430.2700572514764
135,86200,2430.2700572514764
136,86800,2393.9345735601773
137,87400,2404.5339251937357
138,88000,2393.9345735601773
139,88600,2393.9345735601773
140,89200,2396.584411468567
141,89800,2393.9345735601773
142,90400,2393.9345735601773
143,91000,2393.9345735601773
144,91600,2393.9345735601773
145,92200,2401.884087285346
146,92800,2430.2700572514764
147,93400,2393.9345735601773
148,94000,2393.9345735601773
149,94600,2408.3846625975475
150,95200,2408.3846625975475
151,95800,2393.9345735601773
152,96400,2393.9345735601773
153,97000,2393.9345735601773
154,97600,2399.2342493769565
155,98200,2408.3846625975475
156,98800,2399.2342493769565
157,99400,2404.5339251937357
158,100000,2393.9345735601773
159,100600,2393.9345735601773
160,101200,2393.9345735601773
161,101800,2393.9345735601773
162,102400,2393.9345735601773
163,103000,2393.9345735601773
164,103600,2401.1596180788624
165,104200,2393.9345735601773
166,104800,2393.9345735601773
167,105400,2430.2700572514764
168,106000,2430.2700572514764
169,106600,2430.2700572514764
170,107200,2430.2700572514764
171,107800,2430.2700572514764
172,108400,2430.2700572514764
173,109000,2430.2700572514764
174,109600,2430.2700572514764
175,110200,2408.3846625975475
176,110800,2393.9345735601773
177,111400,2393.9345735601773
178,112000,2393.9345735601773
179,112600,2393.9345735601773
180,113200,2393.9345735601773
181,113800,2393.9345735601773
182,114400,2393.9345735601773
183,115000,2393.9345735601773
184,115600,2393.9345735601773
185,116200,2393.9345735601773
186,116800,2396.584411468567
187,117400,2393.9345735601773
188,118000,2410.8968936214073
189,118600,2401.1596180788624
190,119200,2393.9345735601773
191,119800,2408.6133079161973
192,120400,2393.9345735601773
193,121000,2399.2342493769565
194,121600,2399.2342493769565
195,122200,2399.2342493769565
196,122800,2399.2342493769565
197,123400,2399.2342493769565
198,124000,2393.9345735601773
199,124600,2393.9345735601773
200,125200,2408.3846625975475
201,125800,2393.9345735601773
202,126400,2408.6133079161973
203,127000,2408.6133079161973
204,127600,2408.6133079161973
205,128200,2408.6133079161973
206,128800,2408.6133079161973
207,129400,2395.4995788099145
208,130000,2430.2700572514764
209,130600,2408.6133079161973
210,131200,2408.6133079161973
211,131800,2393.9345735601773
212,132400,2393.9345735601773
213,133000,2401.884087285346
214,133600,2393.9345735601773
215,134200,2401.1596180788624
216,134800,2408.3846625975475
217,135400,2393.9345735601773
218,136000,2393.9345735601773
219,136600,2393.9345735601773
220,137200,2393.9345735601773
221,137800,2393.9345735601773
222,138400,2393.9345735601773
223,139000,2393.9345735601773
224,139600,2393.9345735601773
225,140200,2393.9345735601773
226,140800,2408.3846625975475
227,141400,2393.9345735601773
228,142000,2395.4995788099145
229,142600,2395.4995788099145
230,143200,2395.4995788099145
231,143800,2395.4995788099145
232,144400,2393.9345735601773
233,145000,2395.4995788099145
234,145600,2395.4995788099145
235,146200,2395.4995788099145
236,146800,2395.4995788099145
237,147400,2393.9345735601773
238,147800,2393.9345735601773
239,148200,2393.9345735601773
240,148600,2393.9345735601773
241,149000,2393.9345735601773
242,149400,2393.9345735601773
243,149800,2393.9345735601773
244,150200,2401.884087285346
245,150600,2401.884087285346
246,151000,2393.9345735601773
247,151400,2393.9345735601773
248,151800,2393.9345735601773
249,152200,2408.3846625975475
250,152600,2393.9345735601773
251,153000,2393.9345735601773
252,153400,2393.9345735601773
253,153800,2393.9345735601773
254,154200,2393.9345735601773
255,154600,2396.584411468567
256,155000,2396.584411468567
257,155400,2396.584411468567
258,155800,2393.9345735601773
259,156200,2396.584411468567
260,156600,2396.584411468567
261,157000,2396.584411468567
262,157400,2396.584411468567
263,157800,2396.584411468567
264,158200,2408.3846625975475
265,158600,2393.9345735601773
266,159000,2401.911409363669
267,159400,2401.911409363669
268,159800,2404.5339251937357
269,160200,2411.758969712421
270,160600,2393.9345735601773
271,161000,2393.9345735601773
272,161400,2393.9345735601773
273,161800,2404.5339251937357
274,162200,2393.9345735601773
275,162600,2393.9345735601773
276,163000,2393.9345735601773
277,163400,2405.8546255615097
278,163800,2405.8546255615097
279,164200,2408.6133079161973
280,164600,2408.6133079161973
281,165000,2408.6133079161973
282,165400,2408.6133079161973
283,165800,2408.6133079161973
284,166200,2444.948791607496
285,166600,2393.9345735601773
286,167000,2395.4995788099145
287,167400,2393.9345735601773
288,167800,2393.9345735601773
289,168200,2393.9345735601773
290,168600,2393.9345735601773
291,169000,2393.9345735601773
292,169400,2393.9345735601773
293,169800,2393.9345735601773
294,170200,2393.9345735601773
295,170600,2393.9345735601773
296,171000,2393.9345735601773
297,171400,2393.9345735601773
298,171800,2393.9345735601773
299,172200,2393.9345735601773
300,172600,2393.9345735601773
301,173000,2393.9345735601773
302,173400,2393.9345735601773
303,173800,2393.9345735601773
304,174200,2393.9345735601773
305,174600,2393.9345735601773
306,175000,2399.2342493769565
307,175400,2393.9345735601773
308,175800,2393.9345735601773
309,176200,2393.9345735601773
310,176600,2393.9345735601773
311,177000,2393.9345735601773
312,177400,2393.9345735601773
313,177800,2396.584411468567
314,178200,2393.9345735601773
315,178600,2393.9345735601773
316,179000,2393.9345735601773
317,179400,2393.9345735601773
318,179800,2393.9345735601773
319,180200,2393.9345735601773
320,180600,2393.9345735601773
321,181000,2393.9345735601773
322,181400,2408.3846625975475
323,181800,2395.4995788099145
324,182200,2395.4995788099145
325,182600,2395.4995788099145
326,183000,2393.9345735601773
