iters,fevals,fitness,time
0,5,3606.8339293926456,0.0
1,7,3597.515962304322,0.0
2,9,3693.019396755866,0.0
3,16,3619.794066931445,0.0
4,19,3512.0765008703934,0.0
5,26,3572.7063337920317,0.0
6,29,3646.4072531877064,0.0
7,37,3846.3951736390172,0.0
8,40,3830.8502813694636,0.0
9,46,3979.9383111100815,0.0
10,51,3853.5888674865896,0.0
11,53,3853.5888674865896,0.0
12,57,3905.917431087974,0.0
13,77,3737.178862110767,0.0
14,81,3749.6201575413197,0.0
15,83,3749.4023757773107,0.0
16,89,3755.554918600323,0.0
17,100,3718.648136110321,0.0
18,105,3678.249776763325,0.0
19,110,3846.8770221708583,0.0
20,112,3848.9747994085737,0.0
21,114,3848.9747994085737,0.0
22,117,3894.7416598405252,0.0
23,120,3751.6726099494745,0.0
24,123,3706.480677006478,0.0
25,125,3616.5799532953533,0.0
26,127,3605.55629763204,0.0
27,129,3602.2913727712744,0.0
28,131,3650.9815505557785,0.0
29,133,3599.2925903941746,0.0
30,136,3675.0965765694154,0.0
31,138,3678.487382116686,0.0
32,143,3694.0115439500205,0.0
33,151,3803.80453764416,0.0
34,158,3918.185547656125,0.0
35,166,4006.7782617241755,0.0
36,171,3876.9119859768425,0.0
37,175,3838.073719588587,0.0
38,179,3725.4558401468585,0.0
39,185,3678.470676193379,0.0
40,190,3416.0020536117977,0.0
41,193,3396.172514249735,0.0
42,195,3359.617478738196,0.0
43,197,3429.8797172422924,0.0
44,202,3304.434070593724,0.0
45,221,3399.8838408285183,0.0
46,227,3318.262655991113,0.0
47,230,3332.2941656564644,0.0
48,235,3303.6627654558133,0.0
49,237,3331.1760001247435,0.0
50,239,3272.2370954006487,0.0
51,252,3603.912763157244,0.0
52,259,3701.671356954371,0.0
53,268,3618.547539395702,0.0
54,274,3651.5474025082067,0.0
55,279,3755.9585365534062,0.0
56,287,3682.877753656561,0.0
57,290,3805.517455033129,0.0
58,292,3794.493799369815,0.0
59,294,3814.9826191121056,0.0
60,305,3945.6541324822165,0.0
61,311,4177.173032804729,0.0
62,314,4095.3980378855535,0.0
63,318,4059.9286963887607,0.0
64,338,4152.523530960162,0.0
65,340,4011.483680162121,0.0
66,343,4026.514991728093,0.0
67,354,3767.9048269365117,0.0
68,358,3909.862536762665,0.0
69,364,3830.743619084812,0.0
70,369,3805.0166075953457,0.0
71,376,3716.0043612107124,0.0
72,382,3811.5239752051752,0.0
73,388,3979.3499526351843,0.0
74,393,3988.187309521432,0.0
75,402,4090.189995465066,0.0
76,405,4091.2640997897147,0.0
77,410,4121.88077479086,0.0
