iters,fevals,fitness,time
0,3000,6744.347059445793,0.0560002326965332
1,3450,6717.915585518082,0.06000018119812012
2,4200,6780.774051465728,0.0690000057220459
3,5400,6866.0708412383,0.08300018310546875
4,5850,6894.531504537501,0.08700013160705566
5,6300,6875.442273718598,0.09200000762939453
6,6750,6850.426435537337,0.09600019454956055
7,7200,6850.426435537337,0.10100007057189941
8,7650,6875.442273718598,0.10500001907348633
9,8100,6850.426435537337,0.1100001335144043
10,8550,6874.705115319979,0.11400008201599121
11,9000,6864.5897241377825,0.11900019645690918
12,9450,6850.426435537337,0.12400007247924805
13,9900,6877.792130514568,0.12800002098083496
14,10350,6869.598509403088,0.13300013542175293
15,10800,6850.5115823225005,0.13700008392333984
16,11250,6850.5115823225005,0.1420001983642578
17,11700,6881.5195513148565,0.14700007438659668
18,12150,6896.446447118918,0.1510000228881836
19,12600,6941.253303180514,0.15600013732910156
20,13200,6982.795859750838,0.16300010681152344
21,13650,6982.795859750838,0.16700005531311035
22,14100,6972.816468102208,0.17200016975402832
23,14550,6978.1712716134125,0.1770000457763672
24,15000,7035.418621344779,0.1810002326965332
25,15600,7009.877484328108,0.18800020217895508
26,16200,7009.877484328108,0.19500017166137695
27,16650,7009.877484328108,0.20000004768371582
28,17100,7029.650036215183,0.20399999618530273
29,17550,7031.00717645055,0.2090001106262207
30,18000,7034.15616411075,0.21400022506713867
31,18450,7024.040772928553,0.21800017356872559
32,19050,7054.32903125436,0.22500014305114746
33,19500,7024.040772928553,0.23000001907348633
34,19950,7033.92704887209,0.23400020599365234
35,20400,7045.1704650509955,0.2390000820159912
36,20850,7033.92704887209,0.24300003051757812
37,21300,7034.384550208376,0.2480001449584961
38,21750,7031.7571529729885,0.252000093460083
39,22200,7033.92704887209,0.257000207901001
40,22800,7043.813324815628,0.2630000114440918
41,23550,7072.742113579589,0.2710001468658447
42,24000,7088.9286677302625,0.2760000228881836
43,24450,7077.685251551358,0.28100013732910156
44,24900,7067.7989756078205,0.2850000858306885
45,25350,7067.7989756078205,0.2890000343322754
46,25800,7069.9529291306435,0.29400014877319336
47,26250,7069.9529291306435,0.2980000972747803
48,26700,7067.7989756078205,0.30300021171569824
49,27150,7092.0776553904625,0.30700016021728516
50,27600,7067.7989756078205,0.312000036239624
51,28050,7092.0776553904625,0.31600022315979004
52,28500,7067.7989756078205,0.3210000991821289
53,28950,7092.0776553904625,0.3260002136230469
54,29400,7088.583135408285,0.3300001621246338
55,29850,7099.007906663128,0.33500003814697266
56,30300,7072.742113579589,0.3400001525878906
57,30750,7067.7989756078205,0.34400010108947754
58,31200,7092.0776553904625,0.3490002155303955
59,31650,7067.7989756078205,0.3540000915527344
60,32100,7076.894743113045,0.3580000400543213
61,32550,7071.703993467678,0.36300015449523926
62,33000,7067.7989756078205,0.3680000305175781
63,33450,7077.685251551358,0.37200021743774414
64,33900,7067.7989756078205,0.377000093460083
65,34350,7069.9529291306435,0.382000207901001
66,34800,7084.780668847215,0.3860001564025879
67,35250,7067.7989756078205,0.39100003242492676
68,35700,7082.628389523126,0.3960001468658447
69,36150,7092.0776553904625,0.40000009536743164
70,36600,7088.9286677302625,0.4050002098083496
71,37050,7067.7989756078205,0.4100000858306885
72,37500,7070.844209616147,0.41500020027160645
73,37950,7082.628389523126,0.41900014877319336
74,38400,7067.7989756078205,0.4240000247955322
75,38850,7068.112779442845,0.4290001392364502
76,39300,7093.620011247777,0.4330000877380371
77,39750,7081.620356554998,0.4380002021789551
78,40200,7067.7989756078205,0.44300007820129395
79,40650,7067.7989756078205,0.44700002670288086
80,41100,7074.49111011326,0.45200014114379883
81,41550,7085.458717529608,0.4570000171661377
82,42000,7067.7989756078205,0.4610002040863037
83,42450,7082.628389523126,0.4660000801086426
84,42900,7067.7989756078205,0.47100019454956055
85,43350,7109.6522030156075,0.47500014305114746
86,43800,7077.685251551358,0.48000001907348633
87,44250,7099.211037282838,0.4850001335144043
88,44700,7067.7989756078205,0.4890000820159912
89,45150,7082.628389523126,0.4940001964569092
90,45900,7082.628389523126,0.503000020980835
91,46350,7087.16784131251,0.507000207901001
92,46800,7082.628389523126,0.5120000839233398
93,47250,7082.628389523126,0.5160000324249268
94,47700,7082.628389523126,0.5210001468658447
95,48150,7082.628389523126,0.5250000953674316
96,48600,7103.224579403849,0.5300002098083496
97,49200,7103.224579403849,0.5360000133514404
98,49800,7139.9741000728545,0.5430002212524414
99,50250,7142.834899663108,0.5480000972747803
100,51000,7151.146232600678,0.5570001602172852
101,51450,7142.834899663108,0.5610001087188721
102,51900,7142.834899663108,0.56600022315979
103,52350,7142.834899663108,0.5710000991821289
104,52800,7142.834899663108,0.5760002136230469
105,53250,7142.834899663108,0.5810000896453857
106,53700,7142.834899663108,0.5860002040863037
107,54150,7142.834899663108,0.5900001525878906
108,54600,7142.834899663108,0.5950000286102295
109,55050,7142.834899663108,0.6000001430511475
110,55500,7142.834899663108,0.6050000190734863
111,55950,7142.834899663108,0.6100001335144043
112,56400,7142.834899663108,0.6160001754760742
113,56850,7142.834899663108,0.6210000514984131
114,57300,7142.834899663108,0.625
115,57750,7142.834899663108,0.629000186920166
116,58200,7142.834899663108,0.6340000629425049
117,58650,7142.834899663108,0.6380000114440918
118,59100,7142.834899663108,0.6430001258850098
