iters,fevals,fitness,time
0,4750,5983.317841178414,0.051000118255615234
1,6250,6061.741702237041,0.06500005722045898
2,7500,6073.14401266575,0.07500004768371582
3,8250,6089.4116793733265,0.08100008964538574
4,9000,6083.742835528658,0.08700013160705566
5,9750,6073.338087618776,0.09299993515014648
6,11000,6114.112928828772,0.10599994659423828
7,11750,6134.968119763172,0.1119999885559082
8,12500,6132.4664916007,0.11899995803833008
9,13250,6128.494309337933,0.125
10,14000,6107.258167458525,0.13000011444091797
11,14750,6117.682904079471,0.1359999179840088
12,15500,6112.3665043593965,0.1419999599456787
13,16250,6108.142609724624,0.14800000190734863
14,17000,6108.142609724624,0.15400004386901855
15,17750,6108.142609724624,0.16100001335144043
16,18500,6108.142609724624,0.16700005531311035
17,19250,6108.142609724624,0.17199993133544922
18,20000,6108.142609724624,0.17799997329711914
19,20750,6108.142609724624,0.18400001525878906
20,21500,6108.142609724624,0.19000005722045898
21,22250,6108.142609724624,0.19499993324279785
22,23000,6108.142609724624,0.20099997520446777
23,23750,6108.142609724624,0.2070000171661377
24,24500,6108.142609724624,0.21300005912780762
25,25250,6108.142609724624,0.21900010108947754
26,26000,6108.142609724624,0.22900009155273438
27,26750,6108.142609724624,0.23399996757507324
28,27500,6111.812964022957,0.24000000953674316
29,28250,6121.706086552275,0.24600005149841309
30,29000,6108.254203178108,0.252000093460083
31,29750,6108.142609724624,0.2569999694824219
32,30500,6108.142609724624,0.2630000114440918
33,31250,6128.39493932791,0.2690000534057617
34,32000,6115.721205640786,0.27500009536743164
35,32750,6108.142609724624,0.2799999713897705
36,33500,6117.825217050695,0.28600001335144043
37,34250,6108.142609724624,0.2929999828338623
38,35000,6108.142609724624,0.2990000247955322
39,35750,6108.142609724624,0.30500006675720215
40,36500,6108.142609724624,0.31100010871887207
41,37250,6118.1535339661505,0.3169999122619629
42,38000,6108.142609724624,0.3229999542236328
43,38750,6108.142609724624,0.32899999618530273
44,39500,6108.142609724624,0.3340001106262207
45,40250,6133.794192487281,0.3399999141693115
46,41000,6135.30505316107,0.34599995613098145
47,41750,6108.142609724624,0.35199999809265137
48,42500,6108.492508615951,0.36100006103515625
49,43500,6133.633660878679,0.37000012397766113
50,44500,6151.5630844692,0.38000011444091797
51,45250,6172.799226348608,0.3859999179840088
52,46000,6155.344641419136,0.3919999599456787
53,46750,6169.551491573726,0.3989999294281006
54,47500,6151.5630844692,0.4049999713897705
55,48250,6151.5630844692,0.41100001335144043
56,49000,6155.344641419136,0.41700005531311035
57,49750,6184.0865879064595,0.4240000247955322
58,50500,6162.627907689951,0.43000006675720215
59,51250,6172.799226348608,0.43600010871887207
60,52000,6151.5630844692,0.4419999122619629
61,52750,6151.5630844692,0.44900012016296387
62,53500,6171.087522153632,0.4549999237060547
63,54500,6155.344641419136,0.46399998664855957
64,55250,6163.660006310316,0.4700000286102295
65,56000,6155.344641419136,0.47699999809265137
66,56750,6155.344641419136,0.4830000400543213
67,58250,6190.298188843992,0.49699997901916504
68,59000,6169.076192339794,0.503000020980835
69,59750,6169.076192339794,0.5090000629425049
70,60500,6169.076192339794,0.5169999599456787
71,61250,6181.5289067073845,0.5230000019073486
72,62000,6169.076192339794,0.5290000438690186
73,62750,6176.309586866254,0.5350000858306885
74,63500,6178.905157822668,0.5410001277923584
75,64250,6184.226240354492,0.5460000038146973
76,65000,6172.857749289729,0.5520000457763672
77,66000,6205.456379220654,0.5610001087188721
78,67250,6188.415735687108,0.5710000991821289
79,68000,6193.568748129625,0.5770001411437988
80,68750,6193.517063536806,0.5829999446868896
81,69500,6208.872781625394,0.5889999866485596
82,70250,6192.876089429994,0.5950000286102295
83,71000,6209.852837309357,0.6010000705718994
84,71750,6200.151185111187,0.6070001125335693
85,72500,6202.538197025335,0.6129999160766602
86,73250,6188.415735687108,0.6189999580383301
87,74000,6204.43566502087,0.625
88,74750,6188.415735687108,0.6319999694824219
89,75500,6188.415735687108,0.6380000114440918
90,76250,6196.567799980472,0.6440000534057617
91,77000,6202.739156768175,0.6500000953674316
92,77750,6188.415735687108,0.6570000648498535
93,78500,6188.415735687108,0.6630001068115234
94,79250,6223.832855490326,0.6710000038146973
95,80000,6191.510722737818,0.6760001182556152
96,80750,6188.415735687108,0.6830000877380371
97,81500,6196.567799980472,0.689000129699707
98,82250,6188.415735687108,0.6949999332427979
99,83000,6188.415735687108,0.7009999752044678
100,83750,6188.415735687108,0.7079999446868896
101,84500,6188.415735687108,0.7139999866485596
102,85250,6213.253555053827,0.7209999561309814
103,86000,6188.415735687108,0.7269999980926514
104,86750,6188.415735687108,0.7330000400543213
105,87500,6188.415735687108,0.7390000820159912
106,88250,6188.415735687108,0.7450001239776611
107,89000,6188.415735687108,0.752000093460083
108,89750,6188.415735687108,0.7580001354217529
109,90500,6188.415735687108,0.7650001049041748
110,91250,6188.415735687108,0.7709999084472656
111,92000,6188.415735687108,0.7769999504089355
112,92750,6189.521568703292,0.7839999198913574
113,94500,6290.8939134697885,0.8010001182556152
114,95750,6296.027111593426,0.812000036239624
115,96500,6296.027111593426,0.8190000057220459
116,97250,6296.027111593426,0.8250000476837158
117,98000,6296.027111593426,0.8320000171661377
118,98750,6323.0893520846585,0.8399999141693115
119,99500,6296.027111593426,0.8459999561309814
120,100250,6296.027111593426,0.8510000705718994
121,101000,6296.027111593426,0.8570001125335693
122,101750,6319.417562677064,0.8629999160766602
123,102500,6296.027111593426,0.8689999580383301
124,103250,6296.388134276586,0.875
125,104000,6296.027111593426,0.880000114440918
126,104750,6296.405702974182,0.8859999179840088
127,105500,6296.027111593426,0.8930001258850098
128,106250,6296.027111593426,0.8989999294281006
129,107000,6296.027111593426,0.9049999713897705
130,107750,6296.027111593426,0.9119999408721924
131,108500,6305.724567641097,0.9179999828338623
132,109250,6304.832592987432,0.9240000247955322
133,110000,6296.027111593426,0.9300000667572021
134,110750,6296.027111593426,0.9360001087188721
135,111500,6296.027111593426,0.9419999122619629
136,112250,6303.493282856351,0.9479999542236328
137,113000,6296.027111593426,0.9539999961853027
138,113750,6296.027111593426,0.9600000381469727
139,114500,6296.027111593426,0.9660000801086426
140,115250,6296.027111593426,0.9720001220703125
141,116000,6296.027111593426,0.9779999256134033
142,116750,6296.027111593426,0.9839999675750732
143,117500,6296.027111593426,0.9909999370574951
144,118250,6296.027111593426,0.996999979019165
145,119000,6296.294131581282,1.003999948501587
146,119750,6296.027111593426,1.0120000839233398
147,120500,6296.027111593426,1.0169999599456787
148,121250,6296.027111593426,1.0230000019073486
149,122000,6310.317149261942,1.0290000438690186
150,122750,6296.027111593426,1.0350000858306885
151,123500,6296.027111593426,1.0410001277923584
152,124250,6296.027111593426,1.0469999313354492
153,125000,6324.988081038096,1.0529999732971191
154,125750,6296.0512816464925,1.059000015258789
155,126500,6296.027111593426,1.065000057220459
156,127250,6296.027111593426,1.0720000267028809
157,128000,6296.027111593426,1.0780000686645508
158,128750,6296.027111593426,1.0840001106262207
159,129500,6296.027111593426,1.0910000801086426
160,130250,6296.027111593426,1.0970001220703125
161,131000,6296.027111593426,1.1029999256134033
162,131750,6309.1460961618595,1.1100001335144043
163,132750,6311.877569397951,1.1200001239776611
164,133500,6311.877569397951,1.125999927520752
165,134250,6311.877569397951,1.133000135421753
166,135000,6311.877569397951,1.1389999389648438
167,135750,6311.877569397951,1.1449999809265137
168,136500,6313.410479144999,1.1500000953674316
169,137250,6316.4594516136085,1.1560001373291016
170,138000,6311.877569397951,1.1640000343322754
171,138750,6311.877569397951,1.1710000038146973
172,139500,6313.763939236375,1.1770000457763672
173,140250,6329.450432603442,1.184000015258789
174,141000,6311.877569397951,1.190999984741211
175,141750,6311.877569397951,1.1970000267028809
176,142500,6311.877569397951,1.2039999961853027
177,143250,6311.877569397951,1.2120001316070557
178,144000,6311.877569397951,1.2190001010894775
179,144750,6311.877569397951,1.2250001430511475
180,145500,6311.877569397951,1.2300000190734863
181,146250,6311.877569397951,1.2360000610351562
182,147000,6311.877569397951,1.2420001029968262
183,147750,6311.877569397951,1.249000072479248
184,148500,6311.877569397951,1.253999948501587
