iters,fevals,fitness,time
0,64939,21819.185864161052,0.1549999713897705
1,65067,21668.540533296382,0.15599989891052246
2,65198,21662.81147043757,0.15599989891052246
3,65328,21812.587709212043,0.15599989891052246
4,65459,21812.587709212043,0.15700006484985352
5,65593,21860.358783482385,0.15700006484985352
6,65722,21995.95464548518,0.15700006484985352
7,65853,21885.29583663474,0.15799999237060547
8,65983,21885.086329758167,0.15799999237060547
9,66109,21885.086329758167,0.15799999237060547
10,66239,21901.58670969229,0.15799999237060547
11,66369,21901.58670969229,0.15899991989135742
12,66498,21901.58670969229,0.15899991989135742
13,66626,21885.086329758167,0.15899991989135742
14,66755,21885.086329758167,0.15999984741210938
15,66883,21771.012458231657,0.15999984741210938
16,67013,21889.572806616237,0.16100001335144043
17,67141,21889.572806616237,0.16100001335144043
18,67272,21889.572806616237,0.16100001335144043
19,67403,21889.572806616237,0.16199994087219238
20,67530,21889.572806616237,0.16199994087219238
21,67661,21889.572806616237,0.16199994087219238
22,67789,21775.848700630588,0.16199994087219238
23,67919,21775.848700630588,0.16299986839294434
24,68050,21910.70199611847,0.16299986839294434
25,68181,21776.502944540884,0.16299986839294434
26,68309,21811.134930755765,0.1640000343322754
27,68441,21833.239260837345,0.1640000343322754
28,68573,21833.239260837345,0.1640000343322754
29,68700,21833.239260837345,0.16499996185302734
30,68830,21833.239260837345,0.16499996185302734
31,68959,21833.239260837345,0.16499996185302734
32,69088,21833.239260837345,0.1659998893737793
33,69217,21747.26585050228,0.1659998893737793
34,69346,21792.242438611953,0.1659998893737793
35,69477,21792.242438611953,0.1659998893737793
36,69608,21783.41748160195,0.16700005531311035
37,69737,21783.41748160195,0.16700005531311035
38,69866,21695.729681885197,0.16700005531311035
39,69996,21701.934796107867,0.1679999828338623
40,70124,21774.558200667132,0.1679999828338623
41,70253,21774.558200667132,0.1679999828338623
42,70383,21774.558200667132,0.16899991035461426
43,70515,21810.212929089575,0.16899991035461426
44,70643,21831.52972873211,0.16899991035461426
45,70772,21774.558200667132,0.1699998378753662
46,70901,21774.558200667132,0.1699998378753662
47,71032,21820.253129818328,0.1699998378753662
48,71165,21774.558200667132,0.1699998378753662
49,71294,21819.810271198014,0.17100000381469727
50,71423,21935.190511785386,0.17100000381469727
51,71551,21879.96135146825,0.17100000381469727
52,71679,21726.03924669506,0.17199993133544922
53,71811,21746.41771544079,0.17199993133544922
54,71942,21684.633444434865,0.17199993133544922
55,72072,21691.630542258943,0.17299985885620117
56,72203,21776.709902329865,0.17299985885620117
57,72334,21768.814799140335,0.17299985885620117
58,72464,21679.390396075425,0.17299985885620117
59,72593,21717.66852058877,0.17400002479553223
60,72723,21641.07207889696,0.17400002479553223
61,72854,21683.48396649949,0.17400002479553223
62,72984,21648.00591174958,0.17499995231628418
63,73111,21648.00591174958,0.17499995231628418
64,73242,21720.44916115733,0.17499995231628418
65,73371,21802.12044941827,0.17599987983703613
66,73502,21725.926926015545,0.17599987983703613
67,73631,21727.67380852852,0.17599987983703613
68,73762,21841.086020924904,0.17599987983703613
69,73889,21792.55651949331,0.1770000457763672
70,74019,21673.091746920316,0.1770000457763672
71,74148,21645.487623859823,0.1770000457763672
72,74279,21802.357448928546,0.17799997329711914
73,74409,21913.885158157394,0.17799997329711914
74,74537,21779.03870306254,0.17799997329711914
75,74667,21828.7199434368,0.17799997329711914
76,74797,21828.7199434368,0.1789999008178711
77,74927,21755.466682096867,0.1789999008178711
78,75055,21755.466682096867,0.1789999008178711
79,75185,21763.289273206396,0.18000006675720215
80,75313,21697.436832616604,0.18000006675720215
81,75442,21870.080695738357,0.18000006675720215
82,75572,21870.080695738357,0.1809999942779541
83,75701,21719.276217111554,0.1809999942779541
84,75832,21719.276217111554,0.1809999942779541
85,75962,21719.276217111554,0.1809999942779541
86,76091,21752.42948947797,0.18199992179870605
87,76220,21752.42948947797,0.18199992179870605
88,76347,21752.42948947797,0.18199992179870605
89,76478,21752.42948947797,0.182999849319458
90,76611,21726.353661896857,0.182999849319458
91,76740,21719.276217111554,0.182999849319458
92,76868,21917.81398891566,0.18400001525878906
93,76997,21909.176996520127,0.18400001525878906
94,77128,21702.91559417847,0.18400001525878906
95,77258,21728.850970092364,0.18499994277954102
96,77388,21787.004632258337,0.18499994277954102
97,77515,21787.004632258337,0.18499994277954102
98,77645,21787.004632258337,0.18499994277954102
99,77773,21787.004632258337,0.18599987030029297
