iters,fevals,fitness
0,779042,0.11852939611074553
1,780599,0.11866647261974382
2,782154,0.11885273581859913
3,783706,0.12053756195810318
4,785265,0.12094223400005989
5,786823,0.12094223400005989
6,788380,0.12094223400005989
7,789944,0.12280387943067612
8,791500,0.12280387943067612
9,793058,0.12280387943067612
10,794626,0.12280387943067612
11,796191,0.12013017795843722
12,797740,0.12127011625660811
13,799301,0.12109272414217273
14,800862,0.11787336672239845
15,802420,0.1177888840570783
16,803976,0.12337713574853805
17,805540,0.11951285878268676
18,807092,0.12021839661156221
19,808656,0.11991528292797711
20,810213,0.12321391761126442
21,811760,0.12321391761126442
22,813314,0.11887959635269083
23,814861,0.11938243644736946
24,816425,0.12154051011473728
25,817979,0.12231107723244077
26,819536,0.12153709632076722
27,821092,0.12153709632076719
28,822650,0.12153709632076719
29,824209,0.12153709632076719
30,825768,0.12153709632076719
31,827327,0.12175760492192295
32,828884,0.12135782563687297
33,830449,0.12119862680642268
34,832006,0.11960569339313236
35,833575,0.12099134928262459
36,835134,0.12099134928262459
37,836693,0.12099134928262459
38,838256,0.12210226264423418
39,839807,0.12210226264423418
40,841360,0.12252321038957126
41,842935,0.12251646500118536
42,844492,0.12139884671816903
43,846041,0.12139884671816903
44,847599,0.121398846718169
45,849154,0.121398846718169
46,850718,0.11862075324525417
47,852270,0.11903023003275487
48,853841,0.11888693754314339
49,855392,0.12145631084008908
50,856949,0.12180452862592814
51,858499,0.12145631084008905
52,860056,0.12145631084008911
53,861613,0.12113561869616993
54,863167,0.12017233151299114
55,864724,0.12046504376018273
56,866280,0.11920953022394633
57,867840,0.12077302559351726
58,869395,0.12177302198242121
59,870948,0.11935199346502609
60,872517,0.11971942696945637
61,874070,0.12202488940271639
62,875624,0.12202488940271639
63,877186,0.12134500334303824
64,878740,0.12125980568620447
65,880303,0.12125980568620447
66,881857,0.12144048708533103
67,883416,0.12063244826750777
68,884973,0.12032245699684482
69,886536,0.12032245699684482
70,888090,0.1198833342270217
71,889644,0.12048955741655432
72,891195,0.12048955741655432
73,892752,0.1201028480830856
74,894314,0.12137431037130714
75,895875,0.1210927241421727
76,897425,0.1210927241421727
77,898971,0.12206693920145718
78,900536,0.12226212035560331
79,902098,0.11882842753355027
80,903650,0.11999315680428697
81,905211,0.11945039279894452
82,906770,0.11864130071529148
83,908318,0.1207149116740066
84,909871,0.12199416583566249
85,911439,0.11929547790184776
86,912996,0.11699827796787099
87,914550,0.1189527622534414
88,916109,0.12126499850402278
89,917678,0.12126499850402278
90,919237,0.12126499850402281
91,920802,0.12062728196536221
92,922363,0.12243744091213064
93,923925,0.12060226989363844
94,925489,0.121513003621984
95,927044,0.12151300362198403
96,928607,0.11878099703835043
97,930175,0.12277772448425017
98,931725,0.12342889208189421
99,933286,0.12277772448425017
100,934841,0.12342889208189421
101,936402,0.12401091815216025
102,937958,0.12132937517089906
103,939522,0.11995884488579933
104,941075,0.11995884488579932
105,942636,0.12336199769599199
106,944195,0.12336199769599193
107,945752,0.12168887811046833
108,947315,0.12154364465471713
109,948868,0.12154364465471713
110,950442,0.11946368625733636
111,951997,0.11923133789913958
112,953547,0.1208585649099462
113,955105,0.11879163376786857
114,956661,0.12023206750292414
115,958223,0.11965752314602253
116,959787,0.11965752314602256
117,961361,0.11965752314602253
118,962920,0.12118286196908785
119,964478,0.12118286196908785
120,966033,0.1204788034153383
121,967585,0.12124495821929876
122,969150,0.12124495821929877
123,970704,0.12379812173641949
124,972267,0.12092932258534828
125,973827,0.12334755687743183
126,975376,0.12334755687743183
127,976941,0.1233475568774318
128,978506,0.1233475568774318
129,980061,0.1233475568774318
130,981612,0.12616373087282604
131,983169,0.12616373087282604
132,984721,0.12616373087282604
133,986267,0.12616373087282604
134,987838,0.12616373087282606
135,989401,0.12616373087282604
136,990965,0.126163730872826
137,992526,0.12616373087282604
138,994093,0.12616373087282604
139,995650,0.12069355284974814
140,997208,0.12094999624500322
141,998765,0.1186169437207643
142,1000322,0.11831051960107548
143,1001877,0.11831051960107548
144,1003431,0.11831051960107548
145,1004988,0.11826727261746646
146,1006558,0.12095777272990482
147,1008116,0.12095777272990482
148,1009670,0.12168135972721832
149,1011229,0.12054314944644846
150,1012781,0.1230568159379768
151,1014323,0.12018381961005199
152,1015885,0.12052939077498843
153,1017450,0.12134421174388388
154,1019008,0.11936718353358672
155,1020575,0.11907096822688408
156,1022144,0.11922650762958611
157,1023705,0.11981109204470326
158,1025259,0.11922650762958611
159,1026829,0.12148100427627778
160,1028382,0.12085065426428516
161,1029946,0.12085065426428516
162,1031497,0.11888693754314339
163,1033057,0.11850091522259923
164,1034614,0.1195013981928201
165,1036167,0.12114867191605556
166,1037723,0.11896491162787798
167,1039281,0.11944711531880653
168,1040847,0.11985044216794287
169,1042407,0.12061230284021941
170,1043975,0.12032591351429114
171,1045523,0.12082393480254212
172,1047084,0.12080111234504665
173,1048640,0.12080111234504665
174,1050188,0.11956507378789623
175,1051735,0.12197459182746631
176,1053303,0.11864441877687013
177,1054868,0.1191320288419445
178,1056430,0.12003132786320632
179,1058000,0.12415742425136835
180,1059552,0.11864441877687013
181,1061109,0.12104391020985941
182,1062676,0.12399328758991929
183,1064220,0.12401259661304005
184,1065781,0.12399328758991929
185,1067348,0.12399328758991929
186,1068917,0.11996010363236687
187,1070484,0.12487542443186542
188,1072040,0.1201817307051047
189,1073591,0.11684776168972039
190,1075146,0.11967728733139628
191,1076701,0.11950035124704773
192,1078262,0.11854587982125098
193,1079825,0.12050485265838383
194,1081395,0.12050485265838386
195,1082949,0.1198150831470323
196,1084507,0.12033216333454139
197,1086070,0.12033216333454139
198,1087625,0.12072145682776222
199,1089177,0.12068306986250803
200,1090747,0.11893854036249527
201,1092317,0.11967229063907886
202,1093871,0.12141506124932802
203,1095430,0.11782423119000403
204,1096984,0.11954300905039933
205,1098545,0.12413080483784478
206,1100096,0.12413080483784478
207,1101653,0.12381244765416656
208,1103217,0.12381244765416653
209,1104763,0.1216314529279155
210,1106324,0.1221548455548387
211,1107869,0.12213078498944868
212,1109420,0.11857588339650021
213,1110973,0.1221307849894487
214,1112524,0.12144478203206169
215,1114083,0.12390413086652095
216,1115637,0.12130955679605775
217,1117193,0.11917957291745739
218,1118750,0.12183522872382481
219,1120308,0.12183522872382481
220,1121874,0.1213435824178626
221,1123437,0.11900544450866907
222,1124998,0.12124201647900298
223,1126550,0.12124201647900298
224,1128109,0.12059403639754285
225,1129673,0.1213998798496943
226,1131227,0.1213998798496943
227,1132778,0.12072900459871308
228,1134328,0.12116721516084669
229,1135892,0.12224715341496062
230,1137455,0.11988480797000246
231,1139011,0.11907239156477395
232,1140574,0.12094503200519739
233,1142137,0.12086652127890314
234,1143683,0.12175218491928201
235,1145240,0.12175218491928201
236,1146799,0.12131286988139749
237,1148369,0.12131286988139749
238,1149926,0.121349156486928
239,1151492,0.12131286988139749
240,1153042,0.12131286988139749
241,1154600,0.12131286988139746
242,1156147,0.12131286988139746
243,1157702,0.12131286988139749
244,1159260,0.12370274308132737
245,1160810,0.12131286988139749
246,1162371,0.12131286988139749
247,1163928,0.12131286988139746
248,1165482,0.12131286988139746
249,1167035,0.12131286988139746
250,1168595,0.11890366201424732
251,1170164,0.12009502553254688
252,1171714,0.11947940801039489
253,1173278,0.119798527307552
254,1174846,0.1199713670825668
255,1176407,0.11966822060788529
256,1177963,0.12222078584921962
257,1179515,0.12333382830414852
258,1181072,0.11940016111263238
259,1182634,0.12073057625315452
260,1184186,0.12073057625315452
261,1185744,0.11994865760119802
262,1187301,0.1218283542950994
263,1188861,0.12066479744431871
264,1190423,0.12234928342432622
265,1191984,0.12084426604153369
266,1193545,0.12310373715833348
267,1195107,0.12170261066031023
268,1196666,0.12170261066031023
269,1198224,0.12105408557415086
270,1199779,0.12105408557415086
271,1201338,0.1223743134832248
272,1202912,0.12105408557415086
273,1204467,0.12137184034855018
274,1206016,0.12137184034855018
275,1207576,0.12050182159277982
276,1209150,0.12050182159277982
277,1210707,0.12050182159277985
278,1212269,0.12050182159277985
279,1213824,0.12050182159277982
280,1215385,0.11951067177983667
281,1216937,0.12182693607881821
282,1218493,0.11927715938353926
283,1220049,0.12119862680642268
284,1221607,0.11917698734336944
285,1223179,0.12194601957084904
286,1224740,0.11970270226973792
287,1226298,0.12005408444208632
288,1227860,0.11945797970565515
289,1229423,0.12034577790393955
290,1230976,0.12116188629010348
291,1232532,0.12140502503708217
292,1234096,0.12086602948414629
293,1235655,0.11935475274510184
294,1237214,0.12200869732589781
295,1238789,0.1192792282374999
296,1240346,0.12272288748599643
297,1241899,0.12272288748599645
298,1243466,0.12319733756339254
299,1245030,0.12272288748599645
300,1246590,0.12272288748599645
301,1248145,0.11986174848431197
302,1249702,0.12063265857494068
303,1251269,0.12282605627307859
304,1252828,0.12001365597140812
305,1254385,0.11965844879837012
306,1255941,0.12098610104473727
307,1257502,0.12143850950122478
308,1259059,0.11935576865968749
309,1260622,0.12132315726619075
310,1262191,0.12181153375900103
311,1263749,0.12181153375900103
312,1265302,0.12052230495594396
313,1266863,0.12005004083831387
314,1268424,0.12017883840559793
315,1269985,0.11862632261148769
316,1271539,0.12109740791392537
317,1273101,0.11940485586208945
318,1274650,0.12013685536998796
319,1276198,0.11785277037856155
320,1277758,0.1210927241421727
321,1279313,0.1210927241421727
322,1280865,0.12109272414217273
323,1282436,0.12109272414217273
324,1283991,0.12206707553724734
325,1285548,0.12040175293897791
326,1287119,0.12007067425067432
327,1288668,0.12007067425067434
328,1290228,0.11997112915960541
329,1291793,0.11997112915960541
330,1293344,0.11807500738509281
331,1294908,0.12177302198242121
332,1296464,0.12089765343810578
333,1298025,0.11850379393613111
334,1299580,0.11877804250731883
335,1301134,0.12005408444208632
336,1302685,0.12181153375900103
337,1304238,0.12055501933260886
338,1305798,0.12065833468190855
339,1307359,0.12003479124283327
340,1308918,0.12095276530435192
341,1310477,0.12134551770015481
342,1312035,0.12134551770015481
343,1313586,0.12099858096401027
344,1315141,0.12099858096401024
345,1316707,0.11858309897084625
346,1318269,0.12109740791392537
347,1319826,0.12109740791392537
348,1321395,0.12109740791392537
349,1322963,0.12272793645535125
350,1324520,0.11989501739143539
351,1326089,0.12416415947888372
352,1327649,0.12416415947888372
353,1329216,0.12416415947888372
354,1330773,0.12066317864997057
355,1332331,0.12539617333807004
356,1333897,0.12539617333807004
357,1335447,0.12437661268087838
358,1337013,0.12437661268087838
359,1338568,0.12358538968291014
360,1340126,0.12058642835208284
361,1341678,0.11917261730760945
362,1343234,0.12117812756065356
363,1344798,0.1211545652291587
364,1346356,0.12086315288878795
365,1347913,0.12038534184203763
366,1349476,0.12203708463490934
367,1351042,0.12055483898874153
368,1352601,0.12140678446458984
369,1354157,0.12156156260375585
370,1355721,0.12009956375841732
371,1357283,0.12148322442661796
372,1358843,0.12094223400005989
373,1360397,0.122113514592312
374,1361965,0.12133896946239674
