iters,fevals,fitness
0,0,0.4129117196596408
1,-1,0.4129117196596408
2,-2,0.3700061460041296
3,-3,0.4217089836390368
4,-4,0.3700061460041296
5,-5,0.35023674382063974
6,-6,0.35023674382063974
7,-7,0.3700061460041296
8,-8,0.35023674382063974
9,-9,0.3700061460041296
10,-10,0.35023674382063974
11,-11,0.3687490290893987
12,-12,0.3687490290893987
13,-13,0.357720810177828
14,-14,0.4217089836390368
15,-15,0.4217089836390368
16,-16,0.4129117196596408
17,-17,0.4129117196596408
18,-18,0.4217089836390368
19,-19,0.4217089836390368
20,-20,0.4217089836390368
21,-21,0.4217089836390368
22,-22,0.4217089836390368
23,-23,0.4217089836390368
24,-24,0.4217089836390368
25,-25,0.4217089836390368
26,-26,0.4217089836390368
27,-27,0.4129117196596408
28,-28,0.4129117196596408
29,-29,0.4129117196596408
30,-30,0.4217089836390368
31,-31,0.4217089836390368
32,-32,0.4129117196596408
33,-33,0.4217089836390368
34,-34,0.4217089836390368
35,-35,0.4129117196596408
36,-36,0.4217089836390368
37,-37,0.4217089836390368
38,-38,0.4129117196596408
39,-39,0.4217089836390368
40,-40,0.4129117196596408
41,-41,0.4217089836390368
42,-42,0.4129117196596408
43,-43,0.4129117196596408
44,-44,0.4129117196596408
45,-45,0.4129117196596408
46,-46,0.4217089836390368
47,-47,0.4217089836390368
48,-48,0.4129117196596408
49,-49,0.4217089836390368
50,-50,0.4217089836390368
51,-51,0.4220009261566464
52,-52,0.4129117196596408
53,-53,0.4217089836390368
54,-54,0.4129117196596408
55,-55,0.4217089836390368
56,-56,0.4217089836390368
57,-57,0.4129117196596408
58,-58,0.4217089836390368
59,-59,0.4217089836390368
60,-60,0.4129117196596408
61,-61,0.4129117196596408
62,-62,0.4129117196596408
63,-63,0.4129117196596408
64,-64,0.4217089836390368
65,-65,0.4129117196596408
66,-66,0.4129117196596408
67,-67,0.4217089836390368
68,-68,0.4129117196596408
69,-69,0.4129117196596408
70,-70,0.4217089836390368
71,-71,0.4217089836390368
72,-72,0.4217089836390368
73,-73,0.4217089836390368
74,-74,0.4129117196596408
75,-75,0.4217089836390368
76,-76,0.4217089836390368
77,-77,0.4217089836390368
78,-78,0.4129117196596408
79,-79,0.4217089836390368
80,-80,0.4217089836390368
81,-81,0.4129117196596408
82,-82,0.4129117196596408
83,-83,0.4217089836390368
84,-84,0.4217089836390368
85,-85,0.4217089836390368
86,-86,0.4129117196596408
87,-87,0.4129117196596408
88,-88,0.4129117196596408
89,-89,0.4129117196596408
90,-90,0.4217089836390368
91,-91,0.4217089836390368
92,-92,0.4129117196596408
93,-93,0.4217089836390368
94,-94,0.4129117196596408
95,-95,0.4217089836390368
